scenario,comparator,recorded_pairs,expected_pairs,failed_pairs,interpretation,delta_rmse,delta_absolute_mean_bias,delta_peak_absolute_error,delta_bad_path_m,delta_valid_coverage_rate_m_s,delta_valid_coverage_fraction,delta_registered_image_coverage_m,delta_acoustic_coverage_fraction,delta_angular_travel_rad,delta_measured_forward_m,delta_elapsed_s,delta_force_active_fraction,delta_aperture_active_fraction,delta_omega_width_mechanical_mean,delta_omega_width_force_mean,delta_omega_width_complete_mean,delta_controller_p50_ms,delta_controller_p99_ms,delta_controller_max_ms,delta_simulated_deadline_overruns
healthy,baseline,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.02073404305223075,-0.025071930197586918,-0.000471774765977262,0.0,-0.00011489872328590313,0.0,0.0002477235331229788,0.0,0.00036673828575760787,0.0,0.020499999999999872,0.0,0.0,,,,0.40541577618569136,0.49605477857403385,2.164025278761983,0.2
healthy,matched_scan_speed,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.020717302279041408,-0.02505544214074399,-0.000471774765977262,0.0,0.0,0.0,1.5819465052739623e-06,0.0,0.00036673828575760787,0.0,0.0,0.0,0.0,,,,0.3819319303147495,0.6324877766892346,2.5668907212093472,0.2
healthy,matched_rocking,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.02073404305223075,-0.025071930197586918,-0.000471774765977262,0.0,-0.00011489872328590313,0.0,0.0002477235331229788,0.0,0.00036673828575760787,0.0,0.020499999999999872,0.0,0.0,,,,0.3734619473107159,0.6020687979180366,2.3929509334266186,0.2
left_gap,baseline,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.001052666787975834,0.0009682308402272626,0.000921682316376371,-5.8953569426455074e-05,-0.00022934299666765024,0.0009825594904409151,0.0006433404798628542,0.0009825594904409151,0.0015218969491716011,0.0,0.04699999999999984,0.709407205023331,0.0,,,,0.4866392817348242,0.6501625801902261,0.762833608314395,0.0
left_gap,matched_scan_speed,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.0003270189733006135,0.0005784012747417402,6.725644691210064e-05,-5.000040861021168e-05,1.5142761845495998e-05,0.0008333401435035137,7.999922561155517e-05,0.0008333401435035137,0.0008268042695627094,0.0,0.0,0.709407205023331,0.0,,,,0.4815392312593758,0.8676900251302868,0.9539946913719177,0.0
left_gap,matched_rocking,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.001078606940104826,0.0009612477728772183,0.0008544163622233203,-0.000508953569426443,-9.13061868517022e-05,0.008482559490440711,0.001043340479862847,0.008482559490440711,0.0029220118104068193,0.0,0.04699999999999984,0.709407205023331,0.0,,,,0.462396745570004,0.9872336105909195,1.0426010703667998,0.0
right_gap,baseline,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.0015635264595459525,0.0009343493035710373,0.0036587037385968023,1.5725017162213083e-05,-0.0002629391354775069,-0.00026208361937021254,0.00012610851541034336,-0.00026208361937021254,0.0009913846875179585,0.0,0.04999999999999978,0.6957659475170315,0.0,,,,0.4714206559583545,1.4272087425924826,1.8097405787557364,0.1
right_gap,matched_scan_speed,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.00010899358151676697,0.0007335487232569321,0.00011880467180125365,3.641928719871485e-05,-1.0856547078102325e-05,-0.0006069881199785798,-8.014578437768386e-05,-0.0006069881199785798,0.0002755798078328842,0.0,0.0,0.6957659475170315,0.0,,,,0.47484138049185276,1.1722220005467563,1.2947792187333107,0.1
right_gap,matched_rocking,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.0015849503194286657,0.0009101172001167501,0.0035722085946828575,-0.00035427498283778226,-0.00014944220296217136,0.005904583047296385,0.0006061085154103342,0.005904583047296385,0.0027845441390673383,0.0,0.04999999999999978,0.6957659475170315,0.0,,,,0.4570458550006151,1.2981945259962226,1.6174342250451446,0.1
both_edges,baseline,9,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.00020632000431256633,-0.0005841712065380632,0.0007730970660290283,0.0,-0.00010246548380679813,0.0,0.0002497228468105346,0.0,0.00012039517616115045,0.0,0.01833333333333314,0.7027814071798869,0.0001673360107095047,,,,0.48574525862932205,1.177296039596614,1.781606011920505,0.0
