scenario,variant,recorded_n,expected_n,valid_n,complete_n,gaps_n,aborted_n,missing_n,rmse__mean,rmse__min,rmse__max,rmse__n,absolute_mean_bias__mean,absolute_mean_bias__min,absolute_mean_bias__max,absolute_mean_bias__n,peak_absolute_error__mean,peak_absolute_error__min,peak_absolute_error__max,peak_absolute_error__n,bad_path_m__mean,bad_path_m__min,bad_path_m__max,bad_path_m__n,valid_coverage_rate_m_s__mean,valid_coverage_rate_m_s__min,valid_coverage_rate_m_s__max,valid_coverage_rate_m_s__n,valid_coverage_fraction__mean,valid_coverage_fraction__min,valid_coverage_fraction__max,valid_coverage_fraction__n,registered_image_coverage_m__mean,registered_image_coverage_m__min,registered_image_coverage_m__max,registered_image_coverage_m__n,acoustic_coverage_fraction__mean,acoustic_coverage_fraction__min,acoustic_coverage_fraction__max,acoustic_coverage_fraction__n,angular_travel_rad__mean,angular_travel_rad__min,angular_travel_rad__max,angular_travel_rad__n,measured_forward_m__mean,measured_forward_m__min,measured_forward_m__max,measured_forward_m__n,elapsed_s__mean,elapsed_s__min,elapsed_s__max,elapsed_s__n,force_active_fraction__mean,force_active_fraction__min,force_active_fraction__max,force_active_fraction__n,aperture_active_fraction__mean,aperture_active_fraction__min,aperture_active_fraction__max,aperture_active_fraction__n,omega_width_mechanical_mean__mean,omega_width_mechanical_mean__min,omega_width_mechanical_mean__max,omega_width_mechanical_mean__n,omega_width_force_mean__mean,omega_width_force_mean__min,omega_width_force_mean__max,omega_width_force_mean__n,omega_width_complete_mean__mean,omega_width_complete_mean__min,omega_width_complete_mean__max,omega_width_complete_mean__n,controller_p50_ms__mean,controller_p50_ms__min,controller_p50_ms__max,controller_p50_ms__n,controller_p99_ms__mean,controller_p99_ms__min,controller_p99_ms__max,controller_p99_ms__n,controller_max_ms__mean,controller_max_ms__min,controller_max_ms__max,controller_max_ms__n,simulated_deadline_overruns__mean,simulated_deadline_overruns__min,simulated_deadline_overruns__max,simulated_deadline_overruns__n,measured_positive_travel_m__mean,measured_positive_travel_m__min,measured_positive_travel_m__max,measured_positive_travel_m__n,measured_reverse_travel_m__mean,measured_reverse_travel_m__min,measured_reverse_travel_m__max,measured_reverse_travel_m__n,scan_angular_travel_rad__mean,scan_angular_travel_rad__min,scan_angular_travel_rad__max,scan_angular_travel_rad__n,scan_aperture_active_fraction__mean,scan_aperture_active_fraction__min,scan_aperture_active_fraction__max,scan_aperture_active_fraction__n,scan_controller_p95_ms__mean,scan_controller_p95_ms__min,scan_controller_p95_ms__max,scan_controller_p95_ms__n,scan_end_s__mean,scan_end_s__min,scan_end_s__max,scan_end_s__n,scan_force_active_fraction__mean,scan_force_active_fraction__min,scan_force_active_fraction__max,scan_force_active_fraction__n,scan_max_abs_angle_rad__mean,scan_max_abs_angle_rad__min,scan_max_abs_angle_rad__max,scan_max_abs_angle_rad__n,scan_omega_width_complete_mean__mean,scan_omega_width_complete_mean__min,scan_omega_width_complete_mean__max,scan_omega_width_complete_mean__n,scan_omega_width_complete_samples__mean,scan_omega_width_complete_samples__min,scan_omega_width_complete_samples__max,scan_omega_width_complete_samples__n,scan_omega_width_force_mean__mean,scan_omega_width_force_mean__min,scan_omega_width_force_mean__max,scan_omega_width_force_mean__n,scan_omega_width_force_samples__mean,scan_omega_width_force_samples__min,scan_omega_width_force_samples__max,scan_omega_width_force_samples__n,scan_omega_width_mechanical_mean__mean,scan_omega_width_mechanical_mean__min,scan_omega_width_mechanical_mean__max,scan_omega_width_mechanical_mean__n,scan_omega_width_mechanical_samples__mean,scan_omega_width_mechanical_samples__min,scan_omega_width_mechanical_samples__max,scan_omega_width_mechanical_samples__n,scan_required_acoustic_bad_fraction__mean,scan_required_acoustic_bad_fraction__min,scan_required_acoustic_bad_fraction__max,scan_required_acoustic_bad_fraction__n,scan_samples__mean,scan_samples__min,scan_samples__max,scan_samples__n,recovery_events,recovery_confirmed,recovery_unconfirmed,recovery_no_deficit_runs,recovery_median_s
healthy,baseline,10,10,10,0,10,0,0,0.06033458363778108,0.05915581225966996,0.06219556103136942,10,0.05939566809114175,0.05820175081279649,0.06128790024268044,10,0.0743797135737088,0.07314831744356098,0.07634226448798032,10,0.0,0.0,0.0,10,0.01840490797546012,0.01840490797546012,0.01840490797546012,10,1.0,1.0,1.0,10,0.059438004310240176,0.05943800431024018,0.05943800431024018,10,1.0,1.0,1.0,10,0.0,0.0,0.0,10,0.06000000000000001,0.06,0.06,10,3.2600000000000002,3.2600000000000002,3.2600000000000002,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,,,,0,,,,0,1.2326886062510312,1.215197960846126,1.2673980090767145,10,1.8994433947373188,1.3788700592704117,2.5603601569309835,10,2.326541021466255,1.5215431340038776,2.8691559564322233,10,0.0,0.0,0.0,10,0.060781466524967874,0.06078146652496788,0.06078146652496788,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,1.3682878657709807,1.3255225494503975,1.5225261799059802,10,3.0049999999999257,3.004999999999926,3.004999999999926,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,0.0,0.0,0.0,10,602.0,602.0,602.0,10,0,0,0,10,
healthy,image_only,10,10,10,0,10,0,0,0.04013773078562789,0.03125564044393978,0.05404367378668562,10,0.03535615587390465,0.022600765395273233,0.052797160781141654,10,0.07393218418017895,0.0724215031355393,0.07620766536277923,10,0.0,0.0,0.0,10,0.018402089459690525,0.018376722817764164,0.01840490797546012,10,1.0,1.0,1.0,10,0.059421776133940354,0.05936585339743621,0.059438003645543545,10,1.0,1.0,1.0,10,0.000604545609826302,0.0001363413026335364,0.0012693070161422962,10,0.06000000000000001,0.06,0.06,10,3.2605000000000004,3.2600000000000002,3.265,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,1.6205175779759884,1.6042479546740651,1.6454559518024325,10,2.1254457603208725,1.9575684587471187,2.6105856965295993,10,2.4582931539043784,2.1919559221714735,3.6792061291635036,10,0.0,0.0,0.0,10,0.060775238336455394,0.060750781438476426,0.06080931561242651,10,0.0,0.0,0.0,10,0.0006039184435662438,0.0001303494110671138,0.0012693070161396165,10,0.0,0.0,0.0,10,1.9176643597893417,1.8864019541069863,1.9438954885117705,10,3.005499999999926,3.004999999999926,3.009999999999926,10,0.0,0.0,0.0,10,0.0004157684125473218,0.00013034941106711376,0.0007952662553208102,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,75.0,75.0,75.0,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,75.0,75.0,75.0,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,75.0,75.0,75.0,10,0.0,0.0,0.0,10,602.1,602.0,603.0,10,0,0,0,10,
healthy,no_aperture,10,10,10,1,9,0,0,0.040037822989636304,0.03112837345353233,0.054035055183407905,10,0.035205758947987206,0.02236101683266882,0.052789329021089154,10,0.07393218417957965,0.07242150312957696,0.07620766536277923,10,0.0,0.0,0.0,10,0.018290009252174215,0.0182370820668693,0.018376722817764164,10,1.0,1.0,1.0,10,0.05968488243966513,0.05922789200058164,0.059907465129856965,10,1.0,1.0,1.0,10,0.0006071275485793331,0.00013721285325967347,0.00126930700982208,10,0.06000000000000001,0.06,0.06,10,3.2805,3.265,3.29,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,1.6279306262731552,1.614284934476018,1.6526159597560763,10,2.227066077990458,2.0128970593214044,3.4459505695849653,10,2.497857785783708,2.1732449531555176,4.042330896481872,10,0.0,0.0,0.0,10,0.060796118596968464,0.06075092735357714,0.060837521779633516,10,0.0,0.0,0.0,10,0.0006040734914976153,0.0001315556377922101,0.0012693070098218605,10,0.0,0.0,0.0,10,2.029901526402682,1.894574984908104,3.0026123276911676,10,3.0254999999999255,3.009999999999926,3.0349999999999255,10,0.0,0.0,0.0,10,0.00041590401945616604,0.00013155563779221,0.0007952662655237224,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.0,0.0,0.0,10,606.1,603.0,608.0,10,0,0,0,10,
healthy,full,10,10,10,1,9,0,0,0.03960054058555033,0.03004196467129627,0.05408513272889753,10,0.03432373789355483,0.019832228750995596,0.05284320333722727,10,0.07390793880773154,0.07217666227437869,0.07620766536277923,10,0.0,0.0,0.0,10,0.018290009252174215,0.0182370820668693,0.018376722817764164,10,1.0,1.0,1.0,10,0.05968572784336316,0.05922789200033449,0.05990746512990474,10,1.0,1.0,1.0,10,0.00036673828575760787,9.652526926138636e-05,0.0007740141586732355,10,0.06000000000000001,0.06,0.06,10,3.2805,3.265,3.29,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,1.6381043824367225,1.6284449957311153,1.654870342463255,10,2.3954981733113527,2.1815713495016102,3.1133868149481727,10,4.490566300228238,2.3317739833146334,5.1235652063041925,10,0.2,0.0,1.0,10,0.06079696400068892,0.060750927353624924,0.06084317821608476,10,0.0,0.0,0.0,10,0.0003645449019138088,9.243015619889175e-05,0.0007740141586730759,10,0.0,0.0,0.0,10,2.002505916170776,1.97538094362244,2.046724199317396,10,3.0254999999999255,3.009999999999926,3.0349999999999255,10,0.0,0.0,0.0,10,0.00024682058850232285,9.243015619889176e-05,0.0004238983892558679,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.0,0.0,0.0,10,606.1,603.0,608.0,10,0,0,0,10,
healthy,full_consistency,10,10,10,1,9,0,0,0.0396747170565529,0.03004196467129627,0.05408513272889753,10,0.034572348856762115,0.019832228750995596,0.05284320333722727,10,0.07390793880773154,0.07217666227437869,0.07620766536277923,10,0.0,0.0,0.0,10,0.018290009252174215,0.0182370820668693,0.018376722817764164,10,1.0,1.0,1.0,10,0.059685727843363436,0.05922789200033449,0.05990746512990474,10,1.0,1.0,1.0,10,0.00035740814621530584,9.652526926138636e-05,0.0007334975120978528,10,0.06000000000000001,0.06,0.06,10,3.2805,3.265,3.29,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,1.6310284147039056,1.6225429717451334,1.6439314931631088,10,2.3909072254318744,2.124957568012177,3.37616365868598,10,2.7341799112036824,2.266329014673829,4.043942084535956,10,0.0,0.0,0.0,10,0.06079696400068925,0.060750927353624924,0.06084317821608476,10,0.0,0.0,0.0,10,0.00035540746954055837,9.243015619889175e-05,0.0007334975120977219,10,0.0,0.0,0.0,10,2.010474468115717,1.9870115909725428,2.068334585055709,10,3.0254999999999255,3.009999999999926,3.0349999999999255,10,0.0,0.0,0.0,10,0.0002427017866832288,9.243015619889176e-05,0.0004238983892558679,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.0,0.0,0.0,10,606.1,603.0,608.0,10,0,0,0,10,
healthy,matched_scan_speed,10,10,10,1,9,0,0,0.06031784286459174,0.05910670819757372,0.062232824356466016,10,0.059379180034298804,0.05815094782894849,0.061326599493759765,10,0.0743797135737088,0.07314831744356098,0.07634226448798032,10,0.0,0.0,0.0,10,0.018290009252174215,0.0182370820668693,0.018376722817764164,10,1.0,1.0,1.0,10,0.05968414589685789,0.059227892000172436,0.059907465129742696,10,1.0,1.0,1.0,10,0.0,0.0,0.0,10,0.06000000000000001,0.06,0.06,10,3.2805,3.265,3.29,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,,,,0,,,,0,1.256172452121973,1.2469799257814884,1.2729469453915954,10,1.7630103966221182,1.3861574232578278,2.5841514696367085,10,1.9236755790188909,1.4268688391894102,2.76812887750566,10,0.0,0.0,0.0,10,0.06079538205418363,0.06075092735346287,0.06083752177947088,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,1.6285609605256468,1.3355793431401253,2.3923488333821297,10,3.0254999999999255,3.009999999999926,3.0349999999999255,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,0.0,0.0,0.0,10,606.1,603.0,608.0,10,0,0,0,10,
healthy,matched_rocking,10,10,10,0,10,0,0,0.06033458363778108,0.05915581225966996,0.06219556103136942,10,0.05939566809114175,0.05820175081279649,0.06128790024268044,10,0.0743797135737088,0.07314831744356098,0.07634226448798032,10,0.0,0.0,0.0,10,0.01840490797546012,0.01840490797546012,0.01840490797546012,10,1.0,1.0,1.0,10,0.059438004310240176,0.05943800431024018,0.05943800431024018,10,1.0,1.0,1.0,10,0.0,0.0,0.0,10,0.06000000000000001,0.06,0.06,10,3.2600000000000002,3.2600000000000002,3.2600000000000002,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,,,,0,,,,0,1.2646424351260066,1.2470269575715065,1.2989219976589084,10,1.7934293753933161,1.3912732456810772,2.4870997411198914,10,2.0976153668016195,1.4393129386007786,2.691820031031966,10,0.0,0.0,0.0,10,0.060781466524967874,0.06078146652496788,0.06078146652496788,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,1.5594049857463688,1.3448767829686403,2.3261875030584633,10,3.0049999999999257,3.004999999999926,3.004999999999926,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,0.0,0.0,0.0,10,602.0,602.0,602.0,10,0,0,0,10,
left_gap,baseline,10,10,10,0,10,0,0,0.20557917493822936,0.2025523433142036,0.20739251465480657,10,0.000231772028269563,0.00013238443954489133,0.0005061285287071868,10,0.3192609836596879,0.3141295075600796,0.3222829184731948,10,0.0028299999999999346,0.0,0.004699999999999899,10,0.01753680981595094,0.01696319018404911,0.01840490797546012,10,0.9528333333333343,0.9216666666666683,1.0,10,0.05583800431024026,0.05383800431024031,0.05943800431024018,10,0.9528333333333343,0.9216666666666683,1.0,10,0.015029413944401887,0.011426043395379532,0.019844834906371463,10,0.06000000000000001,0.06,0.06,10,3.2600000000000002,3.2600000000000002,3.2600000000000002,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,,,,0,,,,0,1.2286892510019243,1.2114018900319934,1.245635561645031,10,1.9904563722666353,1.3384802220389247,2.6247221673838794,10,2.2302922792732716,1.3805229682475328,3.193808952346444,10,0.0,0.0,0.0,10,0.060781466524967874,0.060781466524967874,0.06078146652496788,10,0.0,0.0,0.0,10,0.01502941394440189,0.011426043395379537,0.019844834906371473,10,0.0,0.0,0.0,10,1.6576219443231817,1.3070871238596737,2.401986776385455,10,3.0049999999999257,3.004999999999926,3.004999999999926,10,0.0,0.0,0.0,10,0.015029413944401887,0.011426043395379532,0.019844834906371463,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,0.045514950166112955,0.0,0.07641196013289037,10,602.0,602.0,602.0,10,9,9,0,1,0.1449999999999969
left_gap,image_only,10,10,10,0,10,0,0,0.9708260595869828,0.8271898845180643,1.0249776699474717,10,0.5285950868765711,0.43706847545034727,0.5619771656919476,10,1.8253975431575664,1.551676756139841,1.9226805313705304,10,0.0027799999993619344,0.0,0.004699999993619863,10,0.01754946964947841,0.016963190186006175,0.01840490797546012,10,0.9536666666773013,0.9216666667730022,1.0,10,0.05590880097306937,0.05383800088606752,0.059438004087393956,10,0.9536666666773013,0.9216666667730022,1.0,10,0.036034938966263405,0.02668113187599789,0.046392384493545887,10,0.06000000000000001,0.06,0.06,10,3.2605000000000004,3.2600000000000002,3.265,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,1.7154295928776264,1.6366405179724097,1.7736690351739526,10,2.394046660978347,2.055842913687229,3.4219540772028267,10,2.7171429246664047,2.1083280444145203,3.8498640060424805,10,0.0,0.0,0.0,10,0.060782263076833584,0.06074367964839372,0.060839738111695955,10,0.0,0.0,0.0,10,0.03535348665296677,0.026249628944895746,0.046099398795525985,10,0.0,0.0,0.0,10,2.1090950607322156,1.9496618304401632,2.891721937339753,10,3.005499999999926,3.004999999999926,3.009999999999926,10,0.0,0.0,0.0,10,0.01824375438287352,0.011503783006264453,0.02344876516961558,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,75.0,75.0,75.0,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,75.0,75.0,75.0,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,75.0,75.0,75.0,10,0.04467639653339063,0.0,0.07641196013289037,10,602.1,602.0,603.0,10,9,9,0,1,0.1449999999999969
left_gap,no_aperture,10,10,10,0,10,0,0,0.20450821682901327,0.20125582998837488,0.20699083386656625,10,0.0011561791864116114,6.013862972528862e-05,0.001845748625742682,10,0.3201655197564709,0.3153459414838937,0.3225747325820749,10,0.0027610431921774475,0.0,0.0045603118512354684,10,0.017310507317275903,0.016598709026576206,0.0182648401826484,10,0.9539826134637093,0.9239948024794089,1.0,10,0.05648029025152407,0.05453867294057302,0.059798290278628055,10,0.9539826134637093,0.9239948024794089,1.0,10,0.01679534595427199,0.010458384117698383,0.025183334169987227,10,0.06000000000000001,0.06,0.06,10,3.307,3.285,3.34,10,0.7092561476215182,0.6681681681681682,0.7537993920972644,10,0.0,0.0,0.0,10,0.02999999999999999,0.02999999999999999,0.03,10,0.02999999999999999,0.02999999999999999,0.03,10,0.02999999999999999,0.02999999999999999,0.03,10,1.7089954344555736,1.6374115366488695,1.8123519839718938,10,2.5469695455394676,2.2597308037802577,3.7754501169547376,10,3.074980271048844,2.39955703727901,4.458628827705979,10,0.0,0.0,0.0,10,0.06080852817094533,0.060757693656766226,0.06084242264796591,10,0.0,0.0,0.0,10,0.016793597819495666,0.01045838402022902,0.02518309107809908,10,0.0,0.0,0.0,10,2.2951617906801403,2.0977936801500627,3.4200314665213223,10,3.051999999999925,3.0299999999999256,3.0849999999999245,10,0.7345798789287774,0.7224025974025974,0.7512355848434926,10,0.016759976797379533,0.010395910638001564,0.024977035689458738,10,0.02999999999999999,0.02999999999999999,0.029999999999999992,10,76.4,76.0,77.0,10,0.02999999999999999,0.02999999999999999,0.029999999999999992,10,76.4,76.0,77.0,10,0.02999999999999999,0.02999999999999999,0.029999999999999992,10,76.4,76.0,77.0,10,0.04390837544627749,0.0,0.0744336569579288,10,611.4,607.0,618.0,10,9,9,0,1,0.1499999999999968
