scenario,variant,recorded_n,expected_n,valid_n,complete_n,gaps_n,aborted_n,missing_n,rmse__mean,rmse__min,rmse__max,rmse__n,absolute_mean_bias__mean,absolute_mean_bias__min,absolute_mean_bias__max,absolute_mean_bias__n,peak_absolute_error__mean,peak_absolute_error__min,peak_absolute_error__max,peak_absolute_error__n,bad_path_m__mean,bad_path_m__min,bad_path_m__max,bad_path_m__n,valid_coverage_rate_m_s__mean,valid_coverage_rate_m_s__min,valid_coverage_rate_m_s__max,valid_coverage_rate_m_s__n,valid_coverage_fraction__mean,valid_coverage_fraction__min,valid_coverage_fraction__max,valid_coverage_fraction__n,registered_image_coverage_m__mean,registered_image_coverage_m__min,registered_image_coverage_m__max,registered_image_coverage_m__n,acoustic_coverage_fraction__mean,acoustic_coverage_fraction__min,acoustic_coverage_fraction__max,acoustic_coverage_fraction__n,angular_travel_rad__mean,angular_travel_rad__min,angular_travel_rad__max,angular_travel_rad__n,measured_forward_m__mean,measured_forward_m__min,measured_forward_m__max,measured_forward_m__n,elapsed_s__mean,elapsed_s__min,elapsed_s__max,elapsed_s__n,force_active_fraction__mean,force_active_fraction__min,force_active_fraction__max,force_active_fraction__n,aperture_active_fraction__mean,aperture_active_fraction__min,aperture_active_fraction__max,aperture_active_fraction__n,omega_width_mechanical_mean__mean,omega_width_mechanical_mean__min,omega_width_mechanical_mean__max,omega_width_mechanical_mean__n,omega_width_force_mean__mean,omega_width_force_mean__min,omega_width_force_mean__max,omega_width_force_mean__n,omega_width_complete_mean__mean,omega_width_complete_mean__min,omega_width_complete_mean__max,omega_width_complete_mean__n,controller_p50_ms__mean,controller_p50_ms__min,controller_p50_ms__max,controller_p50_ms__n,controller_p99_ms__mean,controller_p99_ms__min,controller_p99_ms__max,controller_p99_ms__n,controller_max_ms__mean,controller_max_ms__min,controller_max_ms__max,controller_max_ms__n,simulated_deadline_overruns__mean,simulated_deadline_overruns__min,simulated_deadline_overruns__max,simulated_deadline_overruns__n,measured_positive_travel_m__mean,measured_positive_travel_m__min,measured_positive_travel_m__max,measured_positive_travel_m__n,measured_reverse_travel_m__mean,measured_reverse_travel_m__min,measured_reverse_travel_m__max,measured_reverse_travel_m__n,scan_angular_travel_rad__mean,scan_angular_travel_rad__min,scan_angular_travel_rad__max,scan_angular_travel_rad__n,scan_aperture_active_fraction__mean,scan_aperture_active_fraction__min,scan_aperture_active_fraction__max,scan_aperture_active_fraction__n,scan_center_acoustic_bad_fraction__mean,scan_center_acoustic_bad_fraction__min,scan_center_acoustic_bad_fraction__max,scan_center_acoustic_bad_fraction__n,scan_controller_p95_ms__mean,scan_controller_p95_ms__min,scan_controller_p95_ms__max,scan_controller_p95_ms__n,scan_end_s__mean,scan_end_s__min,scan_end_s__max,scan_end_s__n,scan_force_active_fraction__mean,scan_force_active_fraction__min,scan_force_active_fraction__max,scan_force_active_fraction__n,scan_max_abs_angle_rad__mean,scan_max_abs_angle_rad__min,scan_max_abs_angle_rad__max,scan_max_abs_angle_rad__n,scan_omega_width_complete_mean__mean,scan_omega_width_complete_mean__min,scan_omega_width_complete_mean__max,scan_omega_width_complete_mean__n,scan_omega_width_complete_samples__mean,scan_omega_width_complete_samples__min,scan_omega_width_complete_samples__max,scan_omega_width_complete_samples__n,scan_omega_width_force_mean__mean,scan_omega_width_force_mean__min,scan_omega_width_force_mean__max,scan_omega_width_force_mean__n,scan_omega_width_force_samples__mean,scan_omega_width_force_samples__min,scan_omega_width_force_samples__max,scan_omega_width_force_samples__n,scan_omega_width_mechanical_mean__mean,scan_omega_width_mechanical_mean__min,scan_omega_width_mechanical_mean__max,scan_omega_width_mechanical_mean__n,scan_omega_width_mechanical_samples__mean,scan_omega_width_mechanical_samples__min,scan_omega_width_mechanical_samples__max,scan_omega_width_mechanical_samples__n,scan_required_acoustic_bad_fraction__mean,scan_required_acoustic_bad_fraction__min,scan_required_acoustic_bad_fraction__max,scan_required_acoustic_bad_fraction__n,scan_samples__mean,scan_samples__min,scan_samples__max,scan_samples__n,recovery_events,recovery_confirmed,recovery_unconfirmed,recovery_no_deficit_runs,recovery_median_s
healthy,baseline,10,10,10,0,10,0,0,0.06033458363778108,0.05915581225966996,0.06219556103136942,10,0.05939566809114175,0.05820175081279649,0.06128790024268044,10,0.0743797135737088,0.07314831744356098,0.07634226448798032,10,0.0,0.0,0.0,10,0.01840490797546012,0.01840490797546012,0.01840490797546012,10,1.0,1.0,1.0,10,0.059438004310240176,0.05943800431024018,0.05943800431024018,10,1.0,1.0,1.0,10,0.0,0.0,0.0,10,0.06000000000000001,0.06,0.06,10,3.2600000000000002,3.2600000000000002,3.2600000000000002,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,,,,0,,,,0,1.2577947694808245,1.2440995778888464,1.2722860556095839,10,1.6776124949101359,1.3869284396059811,2.3464690148830414,10,1.7805878771468997,1.4034160412847996,2.560865134000778,10,0.0,0.0,0.0,10,0.060781466524967874,0.06078146652496788,0.06078146652496788,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,1.3805650034919381,1.359587616752833,1.4249679865315554,10,3.0049999999999257,3.004999999999926,3.004999999999926,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,0.0,0.0,0.0,10,602.0,602.0,602.0,10,0,0,0,10,
healthy,image_only,10,10,10,0,10,0,0,0.040137730788093656,0.03125564044808092,0.05404367378489132,10,0.03535615587888043,0.022600765410389943,0.05279716077932161,10,0.07393218417994744,0.07242150313319717,0.07620766536277923,10,0.0,0.0,0.0,10,0.018402089459690525,0.018376722817764164,0.01840490797546012,10,1.0,1.0,1.0,10,0.05942177576496642,0.05936585341554218,0.059438003644505064,10,1.0,1.0,1.0,10,0.0006045456097831291,0.00013634130264477242,0.001269307016226113,10,0.06000000000000001,0.06,0.06,10,3.2605000000000004,3.2600000000000002,3.265,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,1.6602329560555518,1.6403835033997893,1.6817378345876932,10,2.7424997035413985,2.024924075230956,3.6095118173398077,10,3.080602758564055,2.2266509477049112,3.7882081232964993,10,0.0,0.0,0.0,10,0.060775237967485254,0.06075078143781003,0.06080931563053249,10,0.0,0.0,0.0,10,0.0006039184435230684,0.0001303494110783256,0.0012693070162234335,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,2.248358089709654,1.9500688649713993,3.144652757328001,10,3.005499999999926,3.004999999999926,3.009999999999926,10,0.0,0.0,0.0,10,0.00041576841248560785,0.00013034941107832555,0.0007952662553854991,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,75.0,75.0,75.0,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,75.0,75.0,75.0,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,75.0,75.0,75.0,10,0.0,0.0,0.0,10,602.1,602.0,603.0,10,0,0,0,10,
healthy,no_aperture,10,10,10,1,9,0,0,0.04003782309836772,0.031128374423401207,0.05403505519759262,10,0.035205759110363465,0.022361018272355416,0.05278932903669062,10,0.07393218417999962,0.07242150313374296,0.07620766536277923,10,0.0,0.0,0.0,10,0.018290009252174215,0.0182370820668693,0.018376722817764164,10,1.0,1.0,1.0,10,0.05968488640791706,0.05922789200057972,0.05990746512965258,10,1.0,1.0,1.0,10,0.0006071275464995445,0.00013721285316503794,0.001269307004842126,10,0.06000000000000001,0.06,0.06,10,3.2805,3.265,3.29,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,1.6578675829805434,1.6429679235443473,1.6825641505420208,10,2.344153802841901,2.042628517374397,3.195012407377362,10,2.6360758813098073,2.242037793621421,3.809066955000162,10,0.0,0.0,0.0,10,0.0607961225652099,0.06075092735337275,0.06083752177963302,10,0.0,0.0,0.0,10,0.0006040734894433274,0.00013155563769780734,0.0012693070048419056,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,2.0142107515130183,1.9366619526408613,2.3066404741257385,10,3.0254999999999255,3.009999999999926,3.0349999999999255,10,0.0,0.0,0.0,10,0.000415904017582815,0.00013155563769780734,0.000795266265104322,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.0,0.0,0.0,10,606.1,603.0,608.0,10,0,0,0,10,
healthy,full,10,10,10,1,9,0,0,0.03960335591811896,0.03004196466340231,0.05408513277770128,10,0.03432741467014395,0.019832228702186674,0.0528432033894131,10,0.07390793880456092,0.07217666224197261,0.07620766536277923,10,0.0,0.0,0.0,10,0.018292793526592306,0.0182370820668693,0.018376722817764164,10,1.0,1.0,1.0,10,0.05969038336520381,0.05924581150246857,0.05990746512966668,10,1.0,1.0,1.0,10,0.00036673828552623967,9.652526830160797e-05,0.0007740141613325538,10,0.06000000000000001,0.06,0.06,10,3.2800000000000002,3.265,3.29,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,1.6954896040260792,1.6481514321640134,1.9705559825524688,10,2.858320102794101,2.188999876379969,4.12169456249104,10,19.678350840695202,2.4338660296052694,25.243466952815652,10,1.2,0.0,3.0,10,0.060791619779924325,0.06075092735338686,0.06083752177963208,10,0.0,0.0,0.0,10,0.0003645449017057182,9.243015523893821e-05,0.0007740141613323943,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,2.350788952317089,2.028297947254032,3.7035587592981756,10,3.024999999999926,3.009999999999926,3.0349999999999255,10,0.0,0.0,0.0,10,0.00024682058951544555,9.243015523893823e-05,0.00042389839427960167,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.0,0.0,0.0,10,606.0,603.0,608.0,10,0,0,0,10,
healthy,full_consistency,10,10,10,1,9,0,0,0.039677532388739375,0.03004196466340231,0.05408513277770128,10,0.03457602563080422,0.019832228702186674,0.0528432033894131,10,0.07390793880456092,0.07217666224197261,0.07620766536277923,10,0.0,0.0,0.0,10,0.018292793526592306,0.0182370820668693,0.018376722817764164,10,1.0,1.0,1.0,10,0.05969038336520358,0.05924581150246857,0.05990746512966668,10,1.0,1.0,1.0,10,0.0003574081460601597,9.652526830160797e-05,0.00073349751467331,10,0.06000000000000001,0.06,0.06,10,3.2800000000000002,3.265,3.29,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,0.02999999999999999,0.029999999999999992,0.030000000000000002,10,1.6560087446123362,1.6371344681829214,1.692452933639288,10,2.8214006414636987,2.1856268681585775,3.919489937834439,10,3.2466558273881674,2.3630980867892504,4.879343090578914,10,0.0,0.0,0.0,10,0.0607916197799241,0.06075092735338686,0.06083752177963208,10,0.0,0.0,0.0,10,0.0003554074694049474,9.243015523893821e-05,0.0007334975146731791,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,2.3614684923086315,2.0197021542117,3.4762669354677196,10,3.024999999999926,3.009999999999926,3.0349999999999255,10,0.0,0.0,0.0,10,0.00024270178778291527,9.243015523893823e-05,0.00042389839427960167,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.02999999999999999,0.029999999999999992,0.029999999999999995,10,75.8,75.0,76.0,10,0.0,0.0,0.0,10,606.0,603.0,608.0,10,0,0,0,10,
healthy,matched_scan_speed,10,10,10,1,9,0,0,0.060318043378491414,0.05910670819757372,0.062232824356466016,10,0.05937914282178993,0.05815094782894849,0.061326599493759765,10,0.0743797135737088,0.07314831744356098,0.07634226448798032,10,0.0,0.0,0.0,10,0.018292793526592306,0.0182370820668693,0.018376722817764164,10,1.0,1.0,1.0,10,0.059688801418692795,0.05924581150230652,0.059907465129504636,10,1.0,1.0,1.0,10,0.0,0.0,0.0,10,0.06000000000000001,0.06,0.06,10,3.2800000000000002,3.265,3.29,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,,,,0,,,,0,1.2687532347626984,1.2494600377976894,1.285790465772152,10,1.431585691170767,1.3859655521810055,1.4968641567975283,10,1.47691429592669,1.4157590921968222,1.5379919204860926,10,0.0,0.0,0.0,10,0.06079003783341328,0.060750927353224814,0.06083752177947003,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,1.3884759007487446,1.3574556913226843,1.4117268146947026,10,3.024999999999926,3.009999999999926,3.0349999999999255,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,0.0,0.0,0.0,10,606.0,603.0,608.0,10,0,0,0,10,
healthy,matched_rocking,10,10,10,0,10,0,0,0.06033458363778108,0.05915581225966996,0.06219556103136942,10,0.05939566809114175,0.05820175081279649,0.06128790024268044,10,0.0743797135737088,0.07314831744356098,0.07634226448798032,10,0.0,0.0,0.0,10,0.01840490797546012,0.01840490797546012,0.01840490797546012,10,1.0,1.0,1.0,10,0.059438004310240176,0.05943800431024018,0.05943800431024018,10,1.0,1.0,1.0,10,0.0,0.0,0.0,10,0.06000000000000001,0.06,0.06,10,3.2600000000000002,3.2600000000000002,3.2600000000000002,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,,,,0,,,,0,1.306658354587853,1.2862220173701644,1.3269110349938273,10,2.3095803279429674,1.4724969980306923,2.7138842199929063,10,2.6638494804501534,1.5626861713826656,3.9782559033483267,10,0.0,0.0,0.0,10,0.060781466524967874,0.06078146652496788,0.06078146652496788,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,2.0349825837183744,1.4217121410183604,2.5089475908316667,10,3.0049999999999257,3.004999999999926,3.004999999999926,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,0.0,0.0,0.0,10,602.0,602.0,602.0,10,0,0,0,10,
left_gap,baseline,10,10,10,0,10,0,0,0.20557917493822936,0.2025523433142036,0.20739251465480657,10,0.000231772028269563,0.00013238443954489133,0.0005061285287071868,10,0.3192609836596879,0.3141295075600796,0.3222829184731948,10,0.0028299999999999346,0.0,0.004699999999999899,10,0.01753680981595094,0.01696319018404911,0.01840490797546012,10,0.9528333333333343,0.9216666666666683,1.0,10,0.05583800431024026,0.05383800431024031,0.05943800431024018,10,0.9528333333333343,0.9216666666666683,1.0,10,0.015029413944401887,0.011426043395379532,0.019844834906371463,10,0.06000000000000001,0.06,0.06,10,3.2600000000000002,3.2600000000000002,3.2600000000000002,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,,,,0,,,,0,,,,0,1.2504847720265388,1.2368910247460008,1.2720836093649268,10,2.0019851268734783,1.4059391524642706,2.500760722905398,10,2.390195312909782,1.430755015462637,2.9206168837845325,10,0.0,0.0,0.0,10,0.060781466524967874,0.060781466524967874,0.06078146652496788,10,0.0,0.0,0.0,10,0.01502941394440189,0.011426043395379537,0.019844834906371473,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,1.5566354233305901,1.3557666679844256,2.2325782570987935,10,3.0049999999999257,3.004999999999926,3.004999999999926,10,0.0,0.0,0.0,10,0.015029413944401887,0.011426043395379532,0.019844834906371463,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,,,,0,0.0,0.0,0.0,10,0.045514950166112955,0.0,0.07641196013289037,10,602.0,602.0,602.0,10,9,9,0,1,0.1449999999999969
left_gap,image_only,10,10,10,0,10,0,0,0.9708497954916752,0.8271898842678165,1.0249776649300315,10,0.5286240504163765,0.43706847518772785,0.5619771625345374,10,1.8254525744112258,1.5516767562501466,1.9226805143242274,10,0.0027799999993569323,0.0,0.004699999993569834,10,0.017549469649479947,0.01696319018602152,0.01840490797546012,10,0.9536666666773845,0.9216666667738361,1.0,10,0.05591005052992613,0.05383800117598697,0.05943800409870956,10,0.9536666666773845,0.9216666667738361,1.0,10,0.03603449057138166,0.02668113197198735,0.04639238449292415,10,0.06000000000000001,0.06,0.06,10,3.2605000000000004,3.2600000000000002,3.265,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,1.738628267776221,1.7063345294445753,1.7915229545906186,10,2.6734236613847324,2.1778235072270036,3.4827771061100066,10,3.1424759421497583,2.2737449035048485,4.165256163105369,10,0.0,0.0,0.0,10,0.06078351266082342,0.0607436788702911,0.06083973761272442,10,0.0,0.0,0.0,10,0.03535303818522258,0.026249629040299878,0.046099398794626226,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,2.205214283894747,2.0440937834791835,3.20356412557885,10,3.005499999999926,3.004999999999926,3.009999999999926,10,0.0,0.0,0.0,10,0.0182424250979164,0.011503787132364229,0.023448765172161126,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,75.0,75.0,75.0,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,75.0,75.0,75.0,10,0.029999999999999992,0.029999999999999995,0.029999999999999995,10,75.0,75.0,75.0,10,0.04467639653339063,0.0,0.07641196013289037,10,602.1,602.0,603.0,10,9,9,0,1,0.1449999999999969
left_gap,no_aperture,10,10,10,0,10,0,0,0.2045082113538653,0.2012557968369779,0.2069908341124699,10,0.00115617979640188,6.013864369445065e-05,0.0018457489081943647,10,0.32016552064454284,0.3153459416808313,0.32257473256217484,10,0.0027610431921854793,0.0,0.004560311851191774,10,0.017310507317273426,0.01659870902658929,0.0182648401826484,10,0.9539826134635755,0.9239948024801371,1.0,10,0.05648029020129671,0.054538672940156435,0.05979829027800805,10,0.9539826134635755,0.9239948024801371,1.0,10,0.016795387989538973,0.010458387920735116,0.025183338144664093,10,0.06000000000000001,0.06,0.06,10,3.307,3.285,3.34,10,0.7089540217874776,0.6666666666666666,0.7537993920972644,10,0.0,0.0,0.0,10,0.02999999999999999,0.02999999999999999,0.03,10,0.02999999999999999,0.02999999999999999,0.03,10,0.02999999999999999,0.02999999999999999,0.03,10,1.7399729345925152,1.6780931036919355,1.896117813885212,10,2.703210236504674,2.3356842575594783,4.340951563790441,10,3.2861305167898536,2.3855820763856173,4.8834518529474735,10,0.0,0.0,0.0,10,0.060808528121203596,0.06075769365591863,0.060842422647345906,10,0.0,0.0,0.0,10,0.016793639850232585,0.010458387823272342,0.025183095052646626,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,2.3642947641201317,2.1084237960167225,3.831970319151878,10,3.051999999999925,3.0299999999999256,3.0849999999999245,10,0.7342530675822292,0.7207792207792207,0.7512355848434926,10,0.016760018447456306,0.01039591354408553,0.02497703666288923,10,0.02999999999999999,0.02999999999999999,0.029999999999999992,10,76.4,76.0,77.0,10,0.02999999999999999,0.02999999999999999,0.029999999999999992,10,76.4,76.0,77.0,10,0.02999999999999999,0.02999999999999999,0.029999999999999992,10,76.4,76.0,77.0,10,0.04390837544627749,0.0,0.0744336569579288,10,611.4,607.0,618.0,10,9,9,0,1,0.1499999999999968
