frame,image_time_s,effective_time_s,left,center,right,valid,force_n,torque_y_nm,aligned_covered,window_version,registration_version
0,0.0,-0.15196365053143768,0.021198482918565967,0.05652344081094618,0.0703868492361386,True,,,False,fecfe5c107ef36f7ce31,1abc2570751630674406
1,0.032045841217041016,-0.11991780931439666,0.02077611478471542,0.057081655744247554,0.0701077305219052,True,,,False,fecfe5c107ef36f7ce31,1abc2570751630674406
2,0.06400251388549805,-0.08796113664593963,0.021555671798199342,0.05844365825845347,0.07158626033753458,True,,,False,fecfe5c107ef36f7ce31,1abc2570751630674406
3,0.10000443458557129,-0.05195921594586639,0.004202727693987786,0.0010884275829872601,0.0035212489058811165,True,,,False,fecfe5c107ef36f7ce31,1abc2570751630674406
4,0.13199663162231445,-0.019967018909123224,0.0035262890488452674,0.0006537987161483153,0.0026971166579623372,True,3.695514753791527,-0.020810667187955025,True,fecfe5c107ef36f7ce31,1abc2570751630674406
5,0.16405296325683594,0.01208931272539826,0.0038743094053107314,0.004561429148064967,0.003985595676787708,True,3.678318067133034,-0.014852010265101955,True,fecfe5c107ef36f7ce31,1abc2570751630674406
6,0.20001769065856934,0.04805404012713166,0.009909749020952586,0.010626995118490622,0.009299141199328446,True,3.7189355224722336,-0.009884588414527997,True,fecfe5c107ef36f7ce31,1abc2570751630674406
7,0.23206353187561035,0.08009988134417267,0.0018954842943702068,0.002670730295017103,0.0017181563936170777,True,3.6984175310362315,-0.01778375678995152,True,fecfe5c107ef36f7ce31,1abc2570751630674406
8,0.26406097412109375,0.11209732358965607,0.0018666529003947328,0.0031541066105551796,0.0019820801424932774,True,3.6906027752862283,-0.03633414953771469,True,fecfe5c107ef36f7ce31,1abc2570751630674406
9,0.30003809928894043,0.14807444875750275,0.014217540743737092,0.024567952019441272,0.02917604101634726,True,3.851308496836694,-0.03720970930728432,True,fecfe5c107ef36f7ce31,1abc2570751630674406
10,0.3321378231048584,0.18017417257342072,0.016415411516667575,0.029163246373408464,0.03542989640775177,True,3.688665287008723,-0.018382755043253582,True,fecfe5c107ef36f7ce31,1abc2570751630674406
11,0.3640282154083252,0.21206456487688752,0.0154579511733311,0.02638139939569822,0.033123152655378595,True,3.8785654539516266,-0.012945695154683147,True,fecfe5c107ef36f7ce31,1abc2570751630674406
12,0.4000215530395508,0.2480579025081131,0.011651102853557934,0.01882299548002478,0.0230418550841556,True,3.777679436450397,-0.00356874077240159,True,fecfe5c107ef36f7ce31,1abc2570751630674406
13,0.4319777488708496,0.28001409833941193,0.008273465702246664,0.013894716616416981,0.01670539113631419,True,3.750672346472337,-0.002722254557163991,True,fecfe5c107ef36f7ce31,1abc2570751630674406
14,0.4640347957611084,0.3120711452296707,0.014286792395674163,0.01430038726785492,0.06525653642558316,True,3.730435116155264,-0.004371863757685357,True,fecfe5c107ef36f7ce31,1abc2570751630674406
15,0.5000045299530029,0.34804087942156525,0.013263099047694127,0.014823909091661626,0.06607010102633669,True,3.75853025859214,-0.0032122014344936646,True,fecfe5c107ef36f7ce31,1abc2570751630674406
16,0.5320825576782227,0.380118907146785,0.020427734728510616,0.028717657254157626,0.0376409762119457,True,3.7129147820213424,-0.020547325605617103,True,fecfe5c107ef36f7ce31,1abc2570751630674406
17,0.5640065670013428,0.4120429164699051,0.02086068784220288,0.032581396071820756,0.04042817209950436,True,3.789456299969124,-0.0169354965686932,True,fecfe5c107ef36f7ce31,1abc2570751630674406
