frame,image_time_s,effective_time_s,left,center,right,valid,force_n,torque_y_nm,aligned_covered,window_version,registration_version
0,0.0,-0.15196365053143768,0.014363548502679731,0.0394775595955396,0.04297679780203846,True,,,False,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
1,0.032030344009399414,-0.11993330652203826,0.016418510595364817,0.038595032520018,0.04480336477351176,True,,,False,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
2,0.06803345680236816,-0.08393019372906951,0.016292575603755573,0.04054144912851288,0.04512385327869811,True,,,False,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
3,0.10006093978881836,-0.05190271074261932,0.006770058778510992,0.013714873071273923,0.01828546689326693,True,,,False,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
4,0.13215374946594238,-0.019809901065495295,0.0049906864252567415,0.01099257628274566,0.015695425122536952,True,3.9106009408398172,-0.02818183910294391,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
5,0.16807794570922852,0.01611429517779084,0.012156507340881138,0.016703714693185007,0.017288666084873443,True,3.859627260194281,-0.0013050259654221155,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
6,0.2000131607055664,0.04804951017412873,0.00995823476694489,0.016377682463020102,0.021352890308666786,True,3.9360625227475152,-0.02820922935957798,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
7,0.2321467399597168,0.08018308942827912,0.01013046424656547,0.0192328309843967,0.026947252862975935,True,3.9386693241955695,-0.020942794332249482,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
8,0.2679901123046875,0.11602646177324982,0.012855962398044592,0.021733020631383302,0.03657258431405387,True,3.9587455972084955,-0.01647755305610098,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
9,0.3001272678375244,0.14816361730608674,0.009612360538038933,0.026298256057272734,0.023783536931850077,True,3.8481789045362627,-0.04042371208803824,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
10,0.3320915699005127,0.18012791936907502,0.010062219615527761,0.03018800698305754,0.02804263326517502,True,3.79585550476241,-0.02045252130986738,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
11,0.36815762519836426,0.21619397466692658,0.005948242478246094,0.017502275254783657,0.014028972314563118,True,3.846200493548882,-0.013749135777595439,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
12,0.40000271797180176,0.24803906744036408,0.0069114955844306976,0.021914119083427865,0.018504845435496034,True,3.8658643313260987,-0.028286868294890938,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
13,0.4320101737976074,0.28004652326616974,0.00854393664160516,0.025836402357596214,0.02230774117903134,True,3.822504954350344,-0.02108441609197981,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
14,0.46785593032836914,0.31589227979693146,0.006894412023064227,0.01970487360326813,0.01576332502500062,True,3.8702555972595736,-0.010401464454361358,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
15,0.4999415874481201,0.34797793691668244,0.004395990242106208,0.011801136106242982,0.009438985352297636,True,3.871139140690455,-0.035466195515704804,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
16,0.5319235324859619,0.37995988195452424,0.0114012590113529,0.022560710873597786,0.027485696859793685,True,3.8659735214132507,-0.035938777254776906,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
17,0.5679154396057129,0.4159517890742752,0.009312560313898443,0.016303317981630025,0.021837064810971283,True,3.9198070912296945,-0.025987013316919185,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
18,0.5998969078063965,0.4479332572749588,0.02475917233662096,0.03974784115568521,0.043684001534662446,True,3.8106936619120733,-0.04177640422664064,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
19,0.6319003105163574,0.47993665998491974,0.027150353700980144,0.04349792842400414,0.047387824574832295,True,3.87415349709291,-0.03204962641154245,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
20,0.6678788661956787,0.515915215664241,0.0017636976184672824,0.002154982763838371,0.003085289288696689,True,3.985979086700981,-0.01790327759907808,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
21,0.6998965740203857,0.5479329234889481,0.003575861362336,0.00471643821373865,0.006988254054285528,True,4.057779726579693,-0.044019244127605744,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
22,0.7319045066833496,0.5799408561519119,0.0009767851903953334,0.0012801795917898814,0.001988316359856327,True,4.099084750995284,-0.02207861426292735,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
23,0.7678766250610352,0.6159129745295975,0.018789222342914434,0.03016120060677164,0.03503351610322403,True,4.102689047505681,-0.029534721582641133,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
24,0.7998781204223633,0.6479144698909256,0.022447101483617803,0.0367894305853225,0.03858739412816427,True,4.06061902958224,-0.048821661462828146,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
25,0.8319556713104248,0.6799920207789871,0.006693494793223645,0.011377981155273966,0.008850603723622553,True,3.9368358761392725,-0.04243064865447736,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
26,0.868140697479248,0.7161770469478104,0.003450044186182651,0.006097217967595921,0.004896815443136848,True,3.962011195554662,-0.01819517475340022,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
27,0.8999912738800049,0.7480276233485672,0.04290923312541065,0.061499664836430025,0.038868808277795375,True,3.9914766420982186,-0.050026403534455775,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
28,0.9320049285888672,0.7800412780574295,0.0404264438682852,0.05971258936162676,0.043893854489515965,True,4.00565794178361,-0.044007827640094394,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
29,0.9679319858551025,0.8159683353236649,0.03380318162295009,0.029158291475893744,0.02124850736284535,True,3.8955642136475106,-0.0334672935673831,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
30,0.9999332427978516,0.8479695922664139,0.03925466179932784,0.03466077986639156,0.026623424601987015,True,4.073321039237294,-0.0654897880436135,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
31,1.0319147109985352,0.8799510604670975,0.04642970595028065,0.04128751085884709,0.029544184818033472,True,3.940973649472748,-0.048202998266798865,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
32,1.0679795742034912,0.9160159236720535,0.05925240173094442,0.04301346615941225,0.023513425988923184,True,3.9824585812410906,-0.04090933953556365,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
33,1.099999189376831,0.9480355388453934,0.05521217922859729,0.040552121389824725,0.02230235203768626,True,4.004840657833213,-0.06590014865281489,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
34,1.1319348812103271,0.9799712306788895,0.11860252348581127,0.08610093371615168,0.06919373279743388,True,4.012651117631649,-0.04866242126494017,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
35,1.1678786277770996,1.0159149772456622,0.11208384267575572,0.08381149473449546,0.072494838548188,True,4.067921109031518,-0.046995492853165136,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
36,1.1999497413635254,1.047986090832088,0.09188270350422356,0.06194301645149481,0.04167670611602589,True,3.8110320259130326,-0.039970498836203724,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
37,1.2319316864013672,1.0799680358699297,0.09957986385206931,0.0670117002188239,0.04677753665062123,True,4.051973243146998,-0.07767425219993142,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
38,1.2679126262664795,1.115948975735042,0.1625183214685949,0.10686368146028123,0.06584961853546675,True,3.8799294173034222,-0.025959719915171684,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
39,1.299898624420166,1.1479349738887286,0.18794860055198204,0.12484557094180625,0.07625122217040868,True,3.9956444127858033,-0.07040256439832657,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
40,1.3319473266601562,1.1799836761287188,0.157738187953258,0.1050385434512361,0.06495447398167173,True,3.9184482827052376,-0.06472283426503492,True,fecfe5c107ef36f7ce31,e6e91e4776f0dbf2b88c
