frame,image_time_s,effective_time_s,left,center,right,valid,force_n,torque_y_nm,aligned_covered,window_version,registration_version
0,0.0,-0.15196365053143768,0.02216041409306284,0.018460604982448236,0.02278919342385932,True,,,False,fecfe5c107ef36f7ce31,6cea902ba9ce82f63b17
1,0.03613543510437012,-0.11582821542706756,0.014280156312968896,0.010613110919732358,0.012704185293913414,True,,,False,fecfe5c107ef36f7ce31,6cea902ba9ce82f63b17
2,0.06820440292358398,-0.08375924760785369,0.012843107111973489,0.009710381562283285,0.01182143786206342,True,,,False,fecfe5c107ef36f7ce31,6cea902ba9ce82f63b17
3,0.1002500057220459,-0.05171364480939178,0.002716322542369141,0.0033927169967327415,0.003793856395703342,True,,,False,fecfe5c107ef36f7ce31,6cea902ba9ce82f63b17
4,0.1361560821533203,-0.015807568378117365,0.003378949276439743,0.0033896767826111156,0.0022926613147053613,True,,,False,fecfe5c107ef36f7ce31,6cea902ba9ce82f63b17
5,0.16811800003051758,0.0161543494990799,0.0029739373053862313,0.0032629347809548133,0.0022303231543274425,True,4.256303014847312,-0.004041893889909091,True,fecfe5c107ef36f7ce31,6cea902ba9ce82f63b17
6,0.20012378692626953,0.048160136394831854,0.004755897600378984,0.00717900067743268,0.01009140814034508,True,4.182127574128577,-0.027982048808919743,True,fecfe5c107ef36f7ce31,6cea902ba9ce82f63b17
7,0.23613715171813965,0.08417350118670197,0.0064947440472669545,0.010355825358894595,0.015131053270062906,True,4.217546239929796,-0.02150247838729669,True,fecfe5c107ef36f7ce31,6cea902ba9ce82f63b17
8,0.2681260108947754,0.11616236036333771,0.007887971523939972,0.013980275292048441,0.021282958666635064,True,4.2289169771227915,-0.016564755470940117,True,fecfe5c107ef36f7ce31,6cea902ba9ce82f63b17
9,0.30006933212280273,0.14810568159136506,0.010628361941925162,0.018507675294591148,0.027208789423823557,True,4.219946471893058,-0.008477101126023678,True,fecfe5c107ef36f7ce31,6cea902ba9ce82f63b17
10,0.3360433578491211,0.18407970731768342,0.01378845306301356,0.01583776478233986,0.022138838468087275,True,4.59215832725894,-0.010567748982721682,True,fecfe5c107ef36f7ce31,6cea902ba9ce82f63b17
11,0.36806225776672363,0.21609860723528596,0.007950031692401894,0.008727299448951975,0.012775269971505836,True,4.4307442966406345,-0.022732691619423533,True,fecfe5c107ef36f7ce31,6cea902ba9ce82f63b17
12,0.40002918243408203,0.24806553190264435,0.008577419776971818,0.01018968854944316,0.009698181188706304,True,4.324733749851792,-0.029045305714605327,True,fecfe5c107ef36f7ce31,6cea902ba9ce82f63b17
