frame,image_time_s,effective_time_s,left,center,right,valid,force_n,torque_y_nm,aligned_covered,window_version,registration_version
0,0.0,-0.15196365053143768,3.23512134657453e-05,4.426288829707659e-05,2.2924400960281995e-05,True,,,False,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
1,0.031891822814941406,-0.12007182771649627,0.0027100893240866804,0.0020731309781418096,0.0011648729919752825,True,,,False,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
2,0.06401586532592773,-0.08794778520550994,0.0030672704452464963,0.002271495173812233,0.0012189262092936084,True,,,False,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
3,0.0999898910522461,-0.051973759479191584,0.0056057598309666,0.003638479419675266,0.0016770647462540083,True,,,False,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
4,0.13208842277526855,-0.019875227756169123,0.0013044185869509103,0.0009046731227207521,0.0004206560290889668,True,3.847231234196783,-0.018389613082487155,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
5,0.16399121284484863,0.012027562313410955,0.0010894825620874063,0.0011614173869320351,0.0006487368661718386,True,3.7488940648142375,-0.028294575460339876,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
6,0.20000147819519043,0.04803782766375275,0.0031416910529929883,0.0036011878543107338,0.002026168057654237,True,3.7777235864881873,-0.015426708779545916,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
7,0.23187923431396484,0.07991558378252717,0.0488933555427332,0.024614633333399073,0.01469973198206934,True,3.747789939698853,-0.004592727570699718,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
8,0.26401233673095703,0.11204868619951935,0.038222941602355,0.019025834382771414,0.011302321918247194,True,3.720054736215922,-0.02441499707617891,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
9,0.2999391555786133,0.1479755050471756,0.035665840655596824,0.0194326763931034,0.01260678125511692,True,3.7821734095103463,-0.04465273877388701,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
10,0.33175015449523926,0.17978650396380158,0.005962138307840048,0.003442893698028101,0.0022485639948373196,True,3.7086596843803945,-0.004932862658981669,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
11,0.3639078140258789,0.21194416349444123,0.001553549965895085,0.000895536444862222,0.0006417496799276397,True,3.780152936882784,-0.03742185991772157,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
12,0.39981961250305176,0.24785596197161408,0.04909332236314259,0.026691485414872755,0.013667711041292153,True,3.738084747308193,-0.02252625504615577,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
13,0.43192148208618164,0.27995783155474396,0.0470665483268913,0.025971660344480584,0.016453768447541102,True,3.823352840143899,-0.011230751408662126,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
14,0.46393704414367676,0.3119733936122391,0.0050144483217999395,0.004141807693717733,0.0054791554123989,True,3.6926860531563372,-0.03125632275830951,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
15,0.4999125003814697,0.34794884985003205,0.011565738864764485,0.008678071259487044,0.012249336542290193,True,3.717339280585972,-0.025249440080979207,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
16,0.5318429470062256,0.3798792964747879,4.51406480676667e-05,2.7981761769877333e-05,1.809134137844563e-05,True,3.7248857573518515,-0.004756142249780456,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
17,0.5639526844024658,0.41198903387102814,0.00017362276410202524,0.00010414793077219892,6.674476744095656e-05,True,3.7546221861149265,-0.03108345362977093,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
18,0.5998415946960449,0.44787794416460724,0.00011789826946792909,6.948998449923734e-05,4.599186856725809e-05,True,3.6575405505676453,-0.03646645034871516,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
19,0.6317870616912842,0.4798234111598465,0.04273443373669399,0.04795333353887992,0.05638428358332458,True,3.741658507812894,-0.017084566312246616,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
20,0.6639604568481445,0.5119968063167069,0.041004022032929785,0.048923535749844226,0.05876548972374182,True,3.645909702386853,-0.037027666078646077,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
21,0.6999197006225586,0.5479560500911209,0.0061877020657443195,0.0048617335222099,0.0036603841586714146,True,3.8096056285960582,-0.03654701496610618,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
22,0.7319116592407227,0.579948008709285,0.006017622478297379,0.004940925547816339,0.00416601722269881,True,3.7950005503760376,-0.012322480328865036,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
23,0.76387619972229,0.6119125491908524,0.0010144470742369422,0.0008556015601657017,0.00044896265899738,True,3.739841550185065,-0.04523575489639818,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
24,0.799915075302124,0.6479514247706863,0.001004981601258228,0.0008446029444527845,0.0004262770981324923,True,3.635399522710783,-0.029625571888625492,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
25,0.8319356441497803,0.6799719936183426,0.00021031693010558288,0.00020818502969318956,0.00012310934519364902,True,3.7600000434480423,-0.008881588140244336,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
26,0.863971471786499,0.7120078212550613,0.0002961347524179703,0.0003096530150536931,0.0001956648462647257,True,3.7382246821056873,-0.04112912069074118,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
27,0.8998608589172363,0.7478972083857987,0.00027344703536693444,0.0002753527771683193,0.00016413473501596964,True,3.767823114421443,-0.05032419804662213,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
28,0.9320015907287598,0.7800379401973221,0.07014926705786917,0.046363880408604646,0.03255472746883926,True,3.763834318316742,-0.043170337688315547,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
29,0.9639558792114258,0.8119922286799881,0.08789762376356185,0.059905362197006005,0.03790261837022883,True,3.7316334568135554,-0.03740469798948783,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
30,0.9998750686645508,0.8479114181331131,0.002296085458459787,0.0012669552360950879,0.0011761378314265642,True,3.7275897117402765,-0.039222986964580625,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
31,1.0318658351898193,0.8799021846583817,0.001003991478382361,0.0005264207620596159,0.00048075433716418314,True,3.6443692562651417,-0.035118299405957294,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
32,1.0638763904571533,0.9119127399257156,0.07667975392733122,0.03952857034415019,0.017272040697913254,True,3.597968144430369,-0.05737235808735638,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
33,1.0998458862304688,0.9478822356990311,0.05943316344329836,0.029332761002270093,0.013287035679051864,True,3.5149819123548367,-0.039550779012209845,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
34,1.1320042610168457,0.980040610485408,0.020640149630112656,0.008948086924481248,0.004665517445672579,True,3.703411678266848,-0.01517594160628982,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
35,1.164053201675415,1.0120895511439776,0.021003703788924948,0.009166031356697961,0.004720015811186254,True,3.744679078933065,-0.05493927704675122,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
36,1.199878215789795,1.0479145652583575,0.015696249244837673,0.007097976470176981,0.0036782497241505774,True,3.735432208227248,-0.057900070410672556,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
37,1.2320001125335693,1.0800364620021319,0.15938665736399568,0.13297612442194998,0.06808650555973837,True,3.645209004154096,-0.025068532386915643,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
38,1.2640137672424316,1.1120501167109942,0.13665601271648897,0.11722304862294812,0.061939686501037504,True,3.6129634757078133,-0.04968908824514864,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
39,1.2999684810638428,1.1480048305324053,0.0001695467436510997,0.00017448700995620142,0.00016555263742290668,True,3.7309742098991965,-0.03334817932460451,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
40,1.3320064544677734,1.180042803936336,0.00020125156501791391,0.00022536478497960482,0.0002259695911815274,True,3.856110892161083,-0.061173997208465516,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
41,1.3640000820159912,1.2120364314845538,0.01531677918719723,0.00970141486779526,0.0058620258863093825,True,3.6547151225606465,-0.05380828987004312,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
42,1.3999452590942383,1.2479816085628008,0.024146833072507843,0.015847910951969402,0.00914374458859404,True,3.7312471251712838,-0.03255407955228243,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
43,1.43198561668396,1.2800219661525225,0.004324572427549603,0.003127955610338649,0.0018093472116548059,True,3.7234317985800973,-0.02614889089286169,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
44,1.4639675617218018,1.3120039111903643,0.008489407642984215,0.006078219178708271,0.0037955354180954763,True,3.7303885068570617,-0.05366535167881468,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
45,1.4997775554656982,1.3478139049342608,0.005079717539692956,0.003955434720381705,0.002377945582327615,True,3.7288999072864395,-0.08973625299648606,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
46,1.531768560409546,1.3798049098781084,0.00037023111183948586,0.0003520714221820794,0.00020307800922581728,True,3.8040561048922292,-0.041954095918915316,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
47,1.563736915588379,1.4117732650569415,0.00042205801408378075,0.00040209721067740697,0.00023355839169002764,True,3.809599303934209,-0.049785833775920454,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
48,1.5997374057769775,1.44777375524554,0.029766976338281913,0.028430519435208274,0.03643823964427043,True,3.851358968334498,-0.05617859616301675,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
49,1.6317636966705322,1.4798000461390948,0.029040255797099793,0.026118644480498637,0.034163105345824896,True,3.6751573389815735,-0.0643423825470872,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
50,1.6638052463531494,1.511841595821712,0.08651537609284984,0.0636280486498906,0.03576757862249528,True,3.6316691078426997,-0.06495487233189705,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
51,1.6997032165527344,1.547739566021297,0.0879878082167295,0.06457796603656171,0.035095157516189156,True,3.68386397437839,-0.04713961160216422,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
52,1.7318036556243896,1.5798400050929522,0.002459601265532082,0.0033502662348518807,0.006060561936295126,True,3.737151707020324,-0.03444318948422192,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
53,1.763779640197754,1.6118159896663165,0.0038648525887524585,0.005268204213957081,0.007814680548909292,True,3.779009965358564,-0.07608600750188985,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
54,1.799816370010376,1.6478527194789385,0.0035476248943078687,0.004898005494711185,0.00787088217469198,True,3.7035182495650556,-0.06835540198135018,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
55,1.8317973613739014,1.679833710842464,0.02239817899497619,0.043130459374045964,0.06736927625403058,True,3.78348519787632,-0.03498314924790464,True,fecfe5c107ef36f7ce31,ab1c7952144bfd3199dd
