frame,image_time_s,effective_time_s,left,center,right,valid,force_n,torque_y_nm,aligned_covered,window_version,registration_version
0,0.0,-0.15196365053143768,0.0032746765807136697,0.009472140296494302,0.013793184563933492,True,,,False,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
1,0.032238006591796875,-0.1197256439396408,0.01088559755237496,0.009279526002501712,0.008575753143871509,True,,,False,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
2,0.06819939613342285,-0.08376425439801483,0.008903422620717673,0.009449300987998892,0.009795775875103746,True,,,False,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
3,0.10032486915588379,-0.05163878137555389,0.0017831350041391787,0.0025661090054553224,0.005463613819440749,True,,,False,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
4,0.13207101821899414,-0.019892632312443537,0.0014617317364862335,0.002016773141645399,0.004193680768390835,True,,,False,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
5,0.16792035102844238,0.015956700497004705,0.003655388525556168,0.005779531669699381,0.01181247193885237,True,4.119593389084149,-0.0227675397711395,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
6,0.19999337196350098,0.0480297214320633,0.004964659019887065,0.010109170360643458,0.017868694818328236,True,4.093307940403004,-0.008534905096959507,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
7,0.2320423126220703,0.08007866209063264,0.0035574001032569794,0.01046390850488004,0.019519572553291325,True,4.145894995535057,-0.034170333936511844,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
8,0.2680351734161377,0.11607152288470002,0.005317714686625342,0.003508867112874716,0.005033653952647725,True,3.936641516887171,-0.020873829473121944,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
9,0.3000037670135498,0.14804011648211213,0.0055118115920801255,0.004730617599628201,0.008282463580781938,True,3.9708738087711066,-0.005590924846441884,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
10,0.3320152759552002,0.18005162542376252,0.004852877913270738,0.010665559605412012,0.02078732411037668,True,4.036934879778137,-0.03084485999508196,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
11,0.3679482936859131,0.2159846431544754,0.0042356790447746545,0.009749183984092481,0.023271789044290853,True,3.9147946735478314,-0.017497123732587577,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
12,0.39997100830078125,0.24800735776934357,0.006801417495024071,0.011355691842237399,0.014100586772086652,True,3.977194332227065,-0.005596602107132112,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
13,0.43200135231018066,0.280037701778743,0.00724139117268707,0.013041823019210981,0.01555029266381976,True,4.008559301636835,-0.024093127473227758,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
14,0.46797990798950195,0.3160162574580643,0.01314889352663397,0.013101891506327264,0.017296752359015163,True,4.115928382637209,-0.009455469518321501,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
15,0.5000519752502441,0.34808832471880646,0.012945225208150737,0.014114386660834644,0.018556551379782005,True,4.235195792256798,-0.0037053137460086724,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
16,0.5320034027099609,0.38003975217852326,0.011772199855284413,0.007123100496579476,0.012682239183322562,True,4.192333704069801,-0.022305568512888622,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
17,0.5679807662963867,0.41601711576494904,0.009817528853813174,0.006905387700649777,0.012578771742188485,True,4.207337823598479,-0.008614511779306515,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
18,0.5999541282653809,0.4479904777339432,0.005676321463041989,0.005236424758715618,0.011674433514419177,True,4.266915058852476,-0.0030392977291709053,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
19,0.6320896148681641,0.4801259643367264,0.005662321217187576,0.0056767297863784885,0.008629344923538283,True,4.043391752510259,-0.017992359204311137,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
20,0.6679630279541016,0.5159993774226639,0.00554722515041257,0.005897754545997317,0.00878846756188037,True,4.012950541138294,-0.009817718919463616,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
21,0.6999988555908203,0.5480352050593826,0.0016339283348716135,0.0013420453939687795,0.001626663186591575,True,4.032914751565366,-0.0025461332970684704,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
22,0.7320103645324707,0.580046714001033,0.0016551222200991054,0.0016466379992124338,0.002160764401358857,True,4.097069150562957,-0.02577766402891918,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
23,0.7689456939697266,0.6169820434382889,0.007512573807171853,0.02263966250550982,0.024622848074433105,True,4.061667638862034,-0.016180026562943817,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
24,0.8000051975250244,0.6480415469935867,0.00873615889542404,0.018297143385312006,0.019308224478740994,True,4.225088020046423,-0.0003948827207828651,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
25,0.8328857421875,0.6809220916560623,0.006288848270637686,0.010609580074796848,0.01402176015794218,True,4.308532327992521,-0.006895601238964077,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
26,0.867927074432373,0.7159634239009354,0.004934733998018328,0.009824829950661312,0.012367132891309985,True,4.158889927374455,-0.0090961574621692,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
27,0.9001102447509766,0.7481465942195389,0.00013231060561959577,8.104151952154201e-05,7.173496111728274e-05,True,4.04117344123573,0.00503382351304294,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
28,0.9320738315582275,0.7801101810267899,0.00013633297813817982,7.801164626069492e-05,6.0239739231774485e-05,True,4.031120855609811,-0.010922702341017861,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
29,0.9679989814758301,0.8160353309443924,9.522954262640662e-05,7.81502558383854e-05,6.542978859725561e-05,True,4.168146640647058,-0.0061912679283464825,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
30,1.0001285076141357,0.8481648570826981,0.010176931619561857,0.02166994888108307,0.011364289665889031,True,4.300851292844763,-0.019128085531003064,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
31,1.032137155532837,0.8801735050013992,0.008617506732103583,0.018671818221299073,0.00908321205165002,True,4.188157512864472,-0.018928336582249346,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
32,1.0680921077728271,0.9161284572413895,0.004209355269610134,0.007051543568288243,0.007405802970703172,True,4.151311286992359,-0.018393182771491233,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
33,1.1001393795013428,0.9481757289699051,0.002840338851484076,0.005077287089906537,0.005849020102800671,True,4.156297539362965,0.003004943334002852,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
34,1.1321213245391846,0.9801576740077469,0.00012451938684154382,0.00020083223066550413,0.00021426372467064057,True,4.273372907736052,-0.004395885441288425,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
35,1.1679198741912842,1.0159562236598467,0.00015115211218001744,0.0002705533929754184,0.0003059558120637901,True,4.377582404791361,-0.01726372407628097,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
36,1.200021505355835,1.0480578548243975,0.00016218932242265178,0.00013848983361967575,0.00021403297929962708,True,4.104273791472557,0.011372475351766763,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
37,1.2319655418395996,1.0800018913081622,0.00017570399477800824,0.0002273200121174839,0.00045588459695872316,True,4.138925040564212,-0.02574079306585969,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
38,1.2680413722991943,1.1160777217677569,0.0017277947372907126,0.0036885534173140516,0.005142494212308746,True,4.075405726646603,-0.0015859207776781536,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
39,1.3000483512878418,1.1480847007564043,0.0024009837071377427,0.006410653981574755,0.008795653465804696,True,4.127839823158711,-0.006276342484343086,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
40,1.332277774810791,1.1803141242793536,0.007991560493216962,0.023993293361592564,0.024310233409043966,True,4.256226091366578,-0.010728895661085685,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
41,1.368114709854126,1.2161510593226885,0.008388799864594766,0.023058634943697576,0.024283477593645842,True,4.311918276025109,-0.006038495059728434,True,fecfe5c107ef36f7ce31,ad7bf082e1827cee866c
