frame,image_time_s,effective_time_s,left,center,right,valid,force_n,torque_y_nm,aligned_covered,window_version,registration_version
0,0.0,-0.15196365053143768,1.7227511670575138e-05,2.0892725309575847e-05,1.8042293888803302e-05,True,,,False,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
1,0.03599095344543457,-0.11597269708600311,8.75283159273589e-05,3.640850153480676e-05,3.1745583702790483e-05,True,,,False,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
2,0.0680241584777832,-0.08393949205365447,7.604924149794143e-05,2.588253284123499e-05,2.2269049716254215e-05,True,,,False,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
3,0.1000831127166748,-0.05188053781476287,7.020616372598311e-05,2.3325373183533447e-05,1.9978252916239056e-05,True,,,False,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
4,0.1359550952911377,-0.016008555240299982,1.5490484251171747e-05,8.671367061939584e-06,6.291660703321581e-06,True,,,False,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
5,0.16803574562072754,0.016072095089289862,1.6104588494736243e-05,9.50204107038838e-06,7.209612951212153e-06,True,4.048742338928028,0.016076818587393495,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
6,0.20006632804870605,0.04810267751726838,6.386991485559296e-05,3.7965019991991156e-05,3.3906716264494375e-05,True,4.156419687169959,0.00022125101076572902,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
7,0.23599028587341309,0.08402663534197541,8.876085034036213e-05,5.213296588672973e-05,4.586009633135918e-05,True,4.171207859456901,-0.003128941066081121,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
8,0.2680094242095947,0.11604577367815705,4.2257178965937385e-05,2.3799761780124817e-05,2.1839271930527465e-05,True,4.15313265229085,0.006459659551164288,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
9,0.3001086711883545,0.14814502065691681,8.015622213361967e-05,4.441397358681409e-05,4.003584287557933e-05,True,4.195022255269545,-0.0035444254782675683,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
10,0.33605504035949707,0.1840913898280594,8.228033580455413e-05,4.722973765124586e-05,3.729751172344695e-05,True,4.0878732518724465,0.022226682005348324,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
11,0.3681514263153076,0.21618777578386994,4.156919768855494e-05,2.308617089482929e-05,1.7889098809848756e-05,True,4.138872645932652,0.00859480723716099,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
12,0.40018796920776367,0.248224318676326,5.922149888476648e-05,3.459444786917425e-05,2.745367820655235e-05,True,4.0328124378619385,0.005312235083883134,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
13,0.43611598014831543,0.28415232961687775,0.0004863332786492454,0.0003967035194659903,0.0003986414478020554,True,3.889496612876129,0.012522545738432157,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
14,0.4682002067565918,0.3162365562251541,0.000571629727631609,0.00045321603131174854,0.0004450445059888688,True,4.112059088178699,0.004567033918532872,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
15,0.5001704692840576,0.34820681875261994,0.0009108267845469644,0.001378038155432251,0.0016559797397371146,True,3.938751275980883,-0.009267090769890539,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
16,0.5361101627349854,0.3841465122035477,0.0009562884597349501,0.0014769742897609787,0.0017498374974656014,True,3.9425662512993087,0.004586115065296065,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
17,0.5680639743804932,0.4161003238490555,8.547044801748323e-05,6.128404516224679e-05,5.107477308464054e-05,True,3.890064775521237,0.01804554596396253,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
18,0.6001684665679932,0.4482048160365555,0.00026476974904403333,0.00019249803106740336,0.0001736947692129438,True,3.9212067155716612,-0.0029972901650707835,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
19,0.636077880859375,0.4841142303279373,5.9881496138604373e-05,5.387748925115667e-05,4.585917872499333e-05,True,3.833305749801015,-0.006282616354286586,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
20,0.6680431365966797,0.516079486065242,9.14405293803796e-05,9.530899983770617e-05,9.304948343136007e-05,True,3.8192331362120324,-0.0017872594660710704,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
21,0.7002010345458984,0.5482373840144608,0.00010497832890191511,0.00011390234456145993,0.00011248008048716437,True,3.8497080632143756,0.003971037983572199,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
22,0.7361323833465576,0.5841687328151199,0.008391562663995463,0.009155725761158173,0.0055328661028170535,True,3.9196790401063577,0.009109091080518446,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
23,0.7680768966674805,0.6161132461360428,0.007986701855604683,0.009599049992498521,0.006223230105480153,True,3.8836840567645305,0.01924104982790612,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
24,0.8002200126647949,0.6482563621333572,0.0007342716258698572,0.001371434058892706,0.0022223068064117957,True,3.9157364303663247,0.008832104651008773,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
25,0.8359014987945557,0.683937848263118,0.0008811896796817517,0.0016295983331426752,0.0029421994822719363,True,3.9429967633086376,0.0011933273794781283,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
26,0.8680036067962646,0.716039956264827,0.002376776415891767,0.00198579538309643,0.0020685250469178918,True,3.9398884375610317,0.004161514975897629,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
27,0.8999385833740234,0.7479749328425858,0.0023657502358399316,0.002256597636455677,0.002877037259551155,True,3.889241241848887,0.008550561731897534,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
28,0.9359498023986816,0.783986151867244,0.00015474108040065192,0.00013914496714338999,0.00017903341595611826,True,4.085122916991298,0.003373079329399774,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
29,0.967980146408081,0.8160164958766434,0.0001669058525985949,0.00016007650922567139,0.00022002288655688485,True,3.9872536104663814,0.017757231866646773,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
30,1.000060796737671,0.8480971462062332,0.00013429988482073653,0.00013044696681725193,0.00017534296699616572,True,3.961159596664416,0.02648137591188343,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
31,1.0359842777252197,0.884020627193782,6.995738659875044e-05,4.7238187712691423e-05,3.3893110259505304e-05,True,3.972737751068955,0.025258331858424535,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
32,1.0682625770568848,0.9162989265254471,6.985222337904463e-05,5.353483640007747e-05,3.925887046379143e-05,True,4.020212309589644,0.02732747668591908,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
33,1.1001253128051758,0.9481616622737381,0.002635244941807739,0.0020016432518564636,0.0021215390066274663,True,3.992606228974311,0.010833195125127665,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
34,1.1361935138702393,0.9842298633388016,0.0024818794480022987,0.0018348705343031804,0.0019991123618917097,True,3.8808982488257766,0.03062857375625775,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
35,1.1683378219604492,1.0163741714290118,0.0021671228495831318,0.0017963778702755262,0.001493594614778205,True,3.944406810413922,0.029917145073693422,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
36,1.200209617614746,1.0482459670833086,0.0016232841009586967,0.0012733545537969083,0.0010450975744644088,True,3.836905236842279,0.014755276695846479,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
37,1.2360928058624268,1.0841291553309893,0.0004201389719813443,0.0003453290060389122,0.0002992434398538052,True,3.824123038820951,0.0053892943906479855,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
38,1.2681248188018799,1.1161611682704424,0.00045067799140998847,0.00039915909424904157,0.0003687143237668359,True,3.7952505987296594,0.041759798832752104,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
39,1.3001763820648193,1.1482127315333819,0.00041464199091449774,0.0004276596055733366,0.0004264187655367097,True,3.903097961127708,0.02737056977359186,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
40,1.336064100265503,1.1841004497340655,0.0008206612615335697,0.00021602781778284967,0.00018564740170517606,True,3.877885132029741,0.05031742358118392,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
41,1.3680219650268555,1.216058314495418,0.0007709363148514048,0.00020633244712752082,0.0001979182098082913,True,4.113553615030397,0.02822590868380077,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
42,1.4000372886657715,1.248073638134334,0.00817254377771738,0.007822532035339294,0.006459834828880572,True,3.9918978065677377,0.031405753645205356,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
43,1.4359643459320068,1.2840006954005694,0.006655175656836613,0.006199862187959687,0.005373066286314276,True,4.084941077063711,0.05154115673028663,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
44,1.467991828918457,1.3160281783870196,0.002035536553336752,0.006339288530741403,0.009498943920773325,True,4.123038331483154,0.04863600833469904,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
45,1.5000865459442139,1.3481228954127764,0.001887114428197558,0.003990444176127663,0.005018547502121766,True,4.358994686444962,0.01587652865345937,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
46,1.535961389541626,1.3839977390101885,0.0038029362837038146,0.0032502997975611104,0.0032995171381574365,True,4.470506852434348,0.02146077258906482,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
47,1.5680160522460938,1.4160524017146563,0.0036323157169853098,0.004199540252846026,0.0052813437638469535,True,4.361450100733966,0.03183227729875946,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
48,1.6000044345855713,1.4480407840541338,0.005593504565131508,0.007699685963451637,0.009479392085440515,True,4.413246941101452,0.014219284358992095,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
49,1.6359686851501465,1.484005034618709,0.002150706075990264,0.012502492781275909,0.026299966350592587,True,4.208800938349445,0.03580773156625911,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
50,1.6679668426513672,1.5160031921199297,0.0019877767109820117,0.012385778943581961,0.02668801234288503,True,3.992049045028941,0.040860292406581636,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
51,1.6999869346618652,1.5480232841304278,0.01028260389317188,0.012433198223065897,0.016780240751486847,True,3.938163345957027,0.025058765986259772,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
52,1.7360401153564453,1.5840764648250079,0.008500647678090782,0.012308282931042901,0.016741063853463977,True,3.5265825465208867,0.03718494811962187,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
53,1.7680251598358154,1.616061509304378,0.0017596729004117262,0.0030764238378378174,0.0035035873195853368,True,3.6258167044428156,0.05392310196474962,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
54,1.8000190258026123,1.6480553752711748,0.0018737157885993314,0.0032358729883320593,0.004090637437897795,True,3.894587087374287,0.025934659449273086,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
55,1.8361749649047852,1.6842113143733477,0.060424747008495254,0.0733571608616709,0.1344122968470836,True,3.7745376906590096,0.04674975465911145,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
56,1.8679304122924805,1.715966761761043,0.07003793256056992,0.07449282114709525,0.12536595372028392,True,3.8321251649289625,0.055220764677865325,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
57,1.9001212120056152,1.7481575614741778,0.061026729606262695,0.05744048876310069,0.09214401274926533,True,4.185790031729642,0.03975152908182955,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
58,1.9362475872039795,1.784283936672542,0.003667225461256274,0.005706136560807628,0.00883484449046785,True,4.22256428239983,0.04444841821199134,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
59,1.9680607318878174,1.81609708135638,0.003889007854566191,0.006878047989404106,0.012174583917672139,True,4.02367667075229,0.05437148769435222,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
60,2.0003628730773926,1.8483992225459551,0.004334775925281447,0.016555071837630265,0.03454129243564763,True,3.924065201920211,0.012260188682976708,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
61,2.03598952293396,1.8840258724025225,0.002669620751462335,0.014841293703778985,0.03131514106521526,True,4.110367475357219,0.04389947470632433,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
62,2.0680205821990967,1.9160569316676592,0.006024189524807905,0.03182165359061622,0.05843941652465591,True,4.210759316704482,0.01678010404225473,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
63,2.1000590324401855,1.948095381908748,0.005934388372715475,0.03658504126499245,0.06984190029264337,True,3.980215270370053,0.018412385812743445,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
64,2.1360344886779785,1.984070838146541,0.006157144230788333,0.0404589289398261,0.0764577402426033,True,4.30328608830019,0.019753826551955008,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
65,2.168046474456787,2.0160828239253497,0.0036381518143015095,0.011777580551009184,0.020732504070039154,True,4.442503886446569,0.015521730294037195,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
66,2.200015068054199,2.0480514175227618,0.0042597576285778385,0.01392483233467425,0.022120854206054,True,4.306711012469459,0.01749788565099608,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
67,2.2359609603881836,2.083997309856746,0.002281038346487014,0.0026029575173611773,0.002609848423773526,True,4.354514032113165,0.01760824580267866,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
68,2.2680275440216064,2.116063893490169,0.0022262856284381706,0.002456602240211419,0.002343598695508451,True,4.096100313676745,0.04079817261147164,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
69,2.3000123500823975,2.14804869955096,0.016314740361324787,0.04373619731885588,0.0731500084349961,True,4.0643016716097,0.013137797306583703,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
70,2.335969924926758,2.1840062743953204,0.016686488933544207,0.0522603080877777,0.08694321113037082,True,4.094081148356274,0.03108785668712883,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
71,2.3680078983306885,2.216044247799251,0.012031292849105821,0.012666937375941408,0.010607612049271202,True,4.213530706033284,0.022931194203964757,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
72,2.4000604152679443,2.248096764736507,0.009236799334168131,0.011032519728801971,0.00994870414617531,True,4.22813437136147,0.009678750978671043,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
73,2.4359941482543945,2.284030497722957,0.006773390766619466,0.008775514508664045,0.008309554090332162,True,4.36059041080866,0.01650329675597313,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
74,2.4680631160736084,2.316099465542171,0.016387195593484123,0.04609212102332844,0.07664640868966952,True,4.261571615755957,0.010408526427748714,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
75,2.500100612640381,2.3481369621089434,0.015313761046519636,0.046297494032858946,0.07859376885758074,True,4.1721366214180104,-0.002548785786200522,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
76,2.536010503768921,2.3840468532374834,0.011873166930469959,0.0190825501964222,0.028263433351044673,True,4.334303020556157,-0.007391452514095142,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
77,2.5680794715881348,2.4161158210566973,0.011007792393742163,0.018357023120699176,0.02782282005946183,True,3.9538745888881,0.03026309574233761,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
78,2.6002938747406006,2.448330224209163,0.00662544192828644,0.010125690467137707,0.013527319222397806,True,4.152089865282818,-0.01790668505921706,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
79,2.636195182800293,2.4842315322688555,0.006568333207218459,0.01036851463075651,0.013069793160776258,True,4.0141365041927015,-0.010958854066660521,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
80,2.6682629585266113,2.516299307995174,0.006135964753483045,0.011895488056690195,0.01620488815359235,True,4.045807836048924,0.013662902320277072,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
81,2.700282096862793,2.5483184463313555,0.005571805273068314,0.012187784976893446,0.019454018748131973,True,4.030279449370097,-0.009886701292575293,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
82,2.736203908920288,2.5842402583888506,0.007196286202365012,0.016136344462822215,0.026372491016994716,True,4.1757240525454495,-0.014931841619258495,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
83,2.768230676651001,2.6162670261195635,0.003459225249127242,0.007773122488656755,0.010055992199054757,True,4.195996020645925,-0.003522231553728503,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
84,2.8000433444976807,2.648079693966243,0.0037071101112540997,0.00858081466546671,0.01136469602261647,True,4.055612672796356,-0.005627104835725536,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
85,2.8359885215759277,2.6840248710444903,0.014503857023001119,0.034982376374584095,0.04999646454746018,True,4.065769622889201,0.0006572161052477724,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
86,2.8680553436279297,2.7160916930964922,0.014108816867223713,0.03234391580780709,0.04404130671234337,True,3.9973473019986723,0.011647832334874528,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
87,2.900099277496338,2.7481356269649004,0.012601415383989048,0.02901483685661155,0.029309324805603502,True,4.036333492811462,-0.023452533422787372,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
88,2.9360125064849854,2.784048855953548,0.010943100059408324,0.027462469028674625,0.02606843383853737,True,4.104189071097265,-0.025393408719575693,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
89,2.9681968688964844,2.816233218365047,0.03265420857871831,0.039880747373992304,0.03649453420480119,True,4.153905031822139,-0.009186373158219031,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
90,3.000047445297241,2.8480837947658038,0.02292086723161466,0.033387689786081406,0.031344512418731964,True,4.136319534488302,-0.029769644241298465,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
91,3.0360920429229736,2.884128392391536,0.021295801602323534,0.031819921681757686,0.030256994790592646,True,4.194949043292829,-0.015559792121389174,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
92,3.0680651664733887,2.916101515941951,0.025016750188149892,0.025136768555550373,0.025677310968619683,True,4.097239233965579,-0.023227495418666713,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
93,3.100088596343994,2.9481249458125567,0.024586946770534506,0.025926328237068363,0.027131542210350298,True,4.088763521087319,-0.054738039727007595,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
94,3.1360387802124023,2.984075129680965,0.051639961365278104,0.0997740261290827,0.12438959964493047,True,4.111352586221032,-0.017447775507029716,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
95,3.168043375015259,3.016079724483821,0.052404800734159124,0.10371345490879667,0.13033068859530025,True,4.284705845239186,-0.020828562379828188,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
96,3.200037717819214,3.048074067287776,0.07295439501261071,0.0917530644150516,0.09822634307951839,True,4.243912364872793,-0.048600124592818386,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
97,3.2360446453094482,3.0840809947780103,0.07338709124227669,0.09426279926318851,0.10979412520207193,True,3.990401453126092,-0.04125746159228104,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
98,3.2680728435516357,3.116109193020198,0.026470622599853486,0.043267060584506106,0.04680442391337173,True,4.06971238356934,-0.02756357410056929,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
99,3.300102710723877,3.148139060192439,0.031037343092832296,0.05658429890720008,0.06472376261114332,True,3.9374456544175604,-0.03295205669676682,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
100,3.335968255996704,3.184004605465266,0.03244443282775103,0.061026612522656516,0.07152708571754396,True,4.116487965780467,-0.06108511113213512,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
101,3.3680615425109863,3.2160978919795484,0.034968299466028786,0.021584366602074294,0.018480015796994535,True,3.8254669742493297,-0.0177166895130286,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
102,3.400085687637329,3.248122037105891,0.03680040921902732,0.022217719214035928,0.019186092727101776,True,3.8890988434588376,-0.055004039116718036,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
103,3.436180353164673,3.284216702633235,0.02281243524468851,0.03056008327008032,0.029206913570613273,True,4.080162521718764,-0.06147878611417555,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
104,3.468207359313965,3.316243708782527,0.025966622923380665,0.03624094986200402,0.03519314656312051,True,3.8760678371898685,-0.03317776663432716,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
105,3.5003304481506348,3.348366797619197,0.03896550495965319,0.03666458557254448,0.02936745113135896,True,4.004181465350971,-0.061904190228790144,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
106,3.536282539367676,3.384318888836238,0.030313286850078055,0.028557913663749785,0.023185040580440883,True,3.622406242771783,-0.05366415806482323,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
107,3.568220376968384,3.416256726436946,0.020767114117771553,0.0187661217416779,0.016609302486934784,True,3.835742849897604,-0.05336014976495425,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
108,3.6002540588378906,3.4482904083064527,0.0329969053075496,0.031265215013973315,0.03028235580555864,True,3.8037218442194645,-0.05343084053974918,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
109,3.636178731918335,3.484215081386897,0.028581817227019957,0.02564781007940844,0.02319542495150396,True,4.037206901581811,-0.04599528148962037,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
110,3.668330192565918,3.51636654203448,0.012067315250956433,0.014951723593641227,0.013600421607526465,True,4.094815348880768,-0.054858294177051806,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
111,3.7001025676727295,3.5481389171412916,0.013096496491830305,0.017248160179156983,0.01714853290273674,True,3.846157622266641,-0.06301346468436161,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
112,3.736032009124756,3.584068358593318,0.03304849356547349,0.033818545199945024,0.031035048901099538,True,3.8141286829762784,-0.06573877624891103,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
113,3.7681009769439697,3.616137326412532,0.02887804142612232,0.031732511848157716,0.028441202905517673,True,3.907133880991503,-0.04389681361278395,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
114,3.800053119659424,3.648089469127986,0.037023989113918694,0.04180876004107782,0.03996924291230299,True,3.9859952547383655,-0.06531026098187243,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
115,3.836061477661133,3.684097827129695,0.036231930018770064,0.04303931825805487,0.04127702761093245,True,4.266201187225242,-0.04505794705362997,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
116,3.8680901527404785,3.7161265022090406,0.008519757892526172,0.012818389760074565,0.01397550298003775,True,4.459052507072289,-0.0339579385390295,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
117,3.90006685256958,3.748103202038142,0.004977661622710546,0.0077010209426417835,0.00831074860334927,True,4.6132341282682905,-0.05147069171775615,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
118,3.936079502105713,3.784115851574275,0.00360538931638279,0.005512842252203147,0.006068796650044826,True,4.573670924903352,-0.060479509271653346,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
119,3.9680304527282715,3.8160668021968336,0.0006437325801380665,0.0007439525703842431,0.0007910300483726663,True,4.184126572213776,-0.04758465324952629,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
120,4.000138759613037,3.848175109081599,0.0009585402890816242,0.001186353644559836,0.0012638416867099512,True,3.9500389798263504,-0.05615019071611754,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
121,4.036031484603882,3.884067834072444,0.000534699706128107,0.0009099182227101595,0.0010769136122236646,True,3.8036041209866283,-0.04730166613170794,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
122,4.06813907623291,3.9161754257014723,0.000717875583308086,0.0012390286472371383,0.0014254545150998532,True,4.03816719124069,-0.03750915759239812,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
123,4.1001012325286865,3.9481375819972486,0.0005377432262137561,0.0004695127864309545,0.00042456986324095064,True,3.74007119520665,-0.03886555974396208,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
124,4.136031627655029,3.9840679771235914,0.0003527908301444051,0.00045689688998324426,0.00045052030158813624,True,3.7867233711168016,-0.052420878036542815,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
125,4.168050050735474,4.016086400204036,0.00020409298653812895,0.00018833128881574427,0.00025350149527013,True,3.802963091494524,-0.030302019504545585,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
126,4.200154781341553,4.048191130810115,0.00024454500710444457,0.0003399390113576403,0.00050501279859383,True,3.850730815762131,-0.06200882191497705,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
127,4.236036777496338,4.0840731269649,0.00038157471652822556,0.0005247170014629428,0.0007564337344320962,True,3.893340726448567,-0.02608691385919463,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
128,4.268056154251099,4.116092503719661,0.0011563382028142808,0.0010871067212756419,0.0010978779167079543,True,3.9959649788472538,-0.017920855389827805,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
129,4.300091028213501,4.148127377682063,0.002290300726985191,0.004039342786941828,0.004818626380361998,True,4.02498218281634,-0.05124082967025851,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
130,4.336074113845825,4.184110463314387,0.008803809851558016,0.011330436915663157,0.013894908468164264,True,3.8153860678886318,0.013508635798803834,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
131,4.368113040924072,4.216149390392634,0.009683191538948135,0.01310563748046621,0.016057421857493672,True,3.988099916241329,-0.012911073784512301,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
132,4.400158643722534,4.248194993191096,0.009585526390748842,0.008000134933633584,0.007930987450947844,True,3.826458203021126,-0.008322422619702572,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
133,4.436082601547241,4.284118951015803,0.005444679908469984,0.005084688282429606,0.005718012477371784,True,3.926694995947107,-0.022935567755910588,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
134,4.4681007862091064,4.3161371356776685,0.003854413491595451,0.005085308465436645,0.005676483461685324,True,3.726962482589438,-0.016032215991347947,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
135,4.500412940979004,4.348449290447566,0.003092265210030506,0.00534666870700276,0.005867668706757995,True,3.781837292775525,-0.03947771977350952,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
136,4.536066055297852,4.384102404766414,0.0029918847709763116,0.004908174196629065,0.005519996056751066,True,3.6705158450811077,-0.024115325697486888,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
137,4.56828236579895,4.416318715267512,0.008378686633861415,0.009525202230997095,0.021724909443156918,True,3.844512040716595,0.006513650942736016,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
138,4.600290536880493,4.448326886349055,0.009106583616496225,0.009420373739236477,0.01942244661777824,True,3.9193016872107966,-0.018134043623781623,True,fecfe5c107ef36f7ce31,b588dd93d837411cf20b
