frame,image_time_s,effective_time_s,left,center,right,valid,force_n,torque_y_nm,aligned_covered,window_version,registration_version
0,0.0,-0.15196365053143768,0.02427214312919669,0.016989397532621853,0.009970392407390793,True,,,False,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
1,0.031917572021484375,-0.1200460785099533,0.019112093226434913,0.013551839518022272,0.008296892557614998,True,,,False,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
2,0.06398963928222656,-0.08797401124921111,0.020051249276681175,0.010303027418705861,0.006405275045214516,True,,,False,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
3,0.09999489784240723,-0.05196875268903045,0.02132992090698957,0.01005613167065004,0.006105128984434392,True,,,False,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
4,0.1320648193359375,-0.019898831195500177,0.014913291129625719,0.0060315224843103385,0.004134500313521637,True,,,False,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
5,0.1641368865966797,0.01217323606524201,0.03087996113104872,0.012336677398709568,0.008430043477751399,True,4.288212986611105,0.0002563474307329261,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
6,0.19997477531433105,0.04801112478289338,0.006453801252881905,0.004295944249506508,0.0018029697604310456,True,4.350180614930384,-0.0006852883756183811,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
7,0.23209285736083984,0.08012920682940217,0.009971829051161453,0.00777605783650921,0.003012023643067752,True,4.2827742126742026,-0.023845986461471007,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
8,0.26411962509155273,0.11215597456011506,0.010144263937272658,0.007869478255474823,0.0028596660141504394,True,4.308821161461521,-0.001761551888666423,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
9,0.2999570369720459,0.14799338644060822,0.0054792868863199114,0.004774772405093926,0.0025273528938581456,True,4.3747833976143875,0.007573719613829505,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
10,0.3322265148162842,0.1802628642848465,0.007084814285893689,0.007300623217195146,0.003807480241821115,True,4.36314592994262,-0.03886639644473858,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
11,0.36413002014160156,0.21216636961016389,0.032367616357087896,0.015594204176894765,0.011256450263128624,True,4.373070371144962,-0.0065977195193660226,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
12,0.40019750595092773,0.24823385541949006,0.02272691119276106,0.0118219425456611,0.007930596733245716,True,4.379645967522508,-0.007257512294947402,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
13,0.4322061538696289,0.28024250333819123,0.03170573334964688,0.016031786659417537,0.014155770365949687,True,4.261238227687362,-0.02427675633640069,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
14,0.46421170234680176,0.3122480518153641,0.024075670607935175,0.01329807827128656,0.013971836621387661,True,4.305577636386433,0.000539627641063083,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
15,0.5001397132873535,0.34817606275591584,0.005386864944066453,0.0032183065159539447,0.003467072684066436,True,4.413139873326764,-0.004469615489801562,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
16,0.5321755409240723,0.3802118903926346,0.0036922994849599732,0.005178971899430779,0.007581218022990808,True,4.490529979104646,-0.01799602176063262,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
17,0.5641787052154541,0.4122150546840164,0.004313503234214302,0.00589127843683819,0.009256346868730768,True,4.390697230812843,0.010183039258810972,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
18,0.6001534461975098,0.4481897956660721,0.0056259102949126364,0.0052601141879522915,0.0037096049215425216,True,4.290907825109021,0.021449390811007014,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
19,0.6322381496429443,0.48027449911150666,0.0055140858336815085,0.0053585073746557285,0.003697334911664749,True,4.312043077085185,-0.011729467767310202,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
20,0.6641597747802734,0.5121961242488358,0.0032461767201687535,0.004792666307204773,0.011553983307462769,True,4.333935450343391,-0.001407737977875233,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
21,0.7001636028289795,0.5481999522975418,0.0035014178328851395,0.005179780764968592,0.013792488344442242,True,4.39718621156932,-0.003708065789832161,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
22,0.7321572303771973,0.5801935798457596,0.015055692621981098,0.005482332288300661,0.004589845774378299,True,4.2906100215831415,-0.004341550467677744,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
23,0.7642590999603271,0.6122954494288895,0.016115933391462483,0.006516810079904601,0.005676759313668219,True,4.452733924513909,0.019872424463567802,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
24,0.8002793788909912,0.6483157283595535,0.01383338550127002,0.009160059199296945,0.028734507359807752,True,4.520096100978785,0.01204955572646008,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
25,0.8322603702545166,0.6802967197230789,0.010303793941439581,0.008922090930537497,0.028544899436923222,True,4.380468864488231,0.00048161213393998006,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
26,0.8642446994781494,0.7122810489467117,0.008506294557902567,0.008904563776094743,0.02821730605244061,True,4.215901408382223,0.02878177828958124,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
27,0.9002735614776611,0.7483099109462235,0.011760622443549773,0.01242028619802097,0.021406437922885886,True,4.160489024094847,0.030943713566282352,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
28,0.9323601722717285,0.7803965217402908,0.010758427718306467,0.012011722192143427,0.021296264530623825,True,4.310173705196035,-0.002339462495535484,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
29,0.9642646312713623,0.8123009807399246,0.025287159495022124,0.004630382000605117,0.003948560378776501,True,4.375427016029462,0.015503252866649051,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
30,1.0001966953277588,0.8482330447963211,0.027365542156837567,0.006064379475689203,0.004904795939603019,True,4.225328695621695,0.031173850322146635,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
31,1.031996488571167,0.8800328380397293,0.013422360127512805,0.0014055944659170953,0.0017209925832587555,True,4.278304224119516,0.00427436043460106,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
32,1.0640296936035156,0.912066043072078,0.019566818470805318,0.0032323553471401215,0.008131322662587967,True,4.469240381459452,0.017205148427097187,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
33,1.1000261306762695,0.9480624801448319,0.01736495837105659,0.002308470444032097,0.0030886504045685133,True,4.444280251578813,0.023061819157055116,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
34,1.1320409774780273,0.9800773269465897,0.01891769472448934,0.0014779025357257226,0.0016628219570250604,True,4.114894589201098,0.017925156275635408,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
35,1.1640570163726807,1.0120933658412432,0.01960149926422246,0.0016560615621836476,0.0020912846282202693,True,4.327700967592204,0.031146558672940555,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
36,1.199974775314331,1.0480111247828936,0.024382854408780158,0.003066189682754384,0.003838337722220908,True,4.285994681815743,0.022450390442852134,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
37,1.2320666313171387,1.0801029807857012,0.02169885991621187,0.0020511339514641255,0.0023349803533840603,True,4.303907258206672,0.009434444201137763,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
38,1.2639999389648438,1.1120362884334063,0.04225363630954825,0.04297768379715763,0.05924052294957753,True,4.510978011403623,0.05482708660044948,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
39,1.3000140190124512,1.1480503684810137,0.04233895942435846,0.042982561651285146,0.055978962484883106,True,4.395675537473066,0.0555228930168464,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
40,1.3320560455322266,1.180092395000789,0.026590923383783417,0.0007236372601995021,0.0007118729165446319,True,4.215599615715136,0.017277864370146414,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
41,1.3641107082366943,1.2121470577052569,0.030269381435279574,0.0007481230496375874,0.0005955246248814473,True,4.165964641197881,0.035741481380801424,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
42,1.400465488433838,1.2485018379024004,0.02484865325917183,0.0009286744343168391,0.0017335333953952545,True,4.2876359838441855,0.03778134337524863,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
43,1.4320673942565918,1.2801037437251543,0.029789943067746634,0.0008514699673380663,0.0014029039429317395,True,4.384432049081383,0.04435924610020232,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
44,1.4645450115203857,1.3125813609889483,0.02779420830748157,0.0008525975831859655,0.0013223585968635974,True,4.540770852675727,0.038210788701886836,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
45,1.4999711513519287,1.3480075008204913,0.04356571513867651,0.002075068229122177,0.000736403700605583,True,4.314134092641851,0.04681259398131781,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
46,1.5320284366607666,1.3800647861293291,0.04886184058957502,0.002405065833027021,0.0007458244483209857,True,4.349604778548667,0.02043615077116777,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
47,1.5640337467193604,1.412070096187923,0.031183289550994423,0.0008798023592018043,0.0007017245858851834,True,4.329419125129753,0.050490003033298925,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
48,1.600015640258789,1.4480519897273516,0.03189459126678995,0.000793217938727662,0.0005995600710378146,True,4.215298767080685,0.05570345896852278,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
49,1.6321167945861816,1.4801531440547442,0.041113443953162986,0.002060607954290833,0.001191093830648658,True,4.2362153765057755,0.035140945619302984,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
50,1.664027214050293,1.5120635635188555,0.045226846824926774,0.0026777387645359023,0.0013117430066635343,True,4.44674428557861,0.05220132689657533,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
51,1.7000184059143066,1.5480547553828692,0.04970861330740943,0.0023980728044477296,0.0015408684412658196,True,4.345411135050107,0.06249205485975503,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
52,1.732027530670166,1.5800638801387286,0.05148747128959967,0.0031111881543183987,0.001945009479754637,True,4.213717227432357,0.04335020672721588,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
53,1.7640259265899658,1.6120622760585284,0.05622232844453449,0.003941270913828861,0.002449700584232622,True,4.247978025413031,0.06242703467374282,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
54,1.8000373840332031,1.6480737335017657,0.0515081870643035,0.0025329182021238367,0.0018634241550974308,True,4.1281483559467915,0.0806569386072782,True,fecfe5c107ef36f7ce31,eeea0ffaa2a8da46a643
