frame,image_time_s,effective_time_s,left,center,right,valid,force_n,torque_y_nm,aligned_covered,window_version,registration_version
0,0.0,-0.15196365053143768,0.00021901608391922524,0.0001771182047620611,0.00013914609238915542,True,,,False,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
1,0.03596901893615723,-0.11599463159528045,0.0025827974728052064,0.0022656248712247507,0.0021333849142600126,True,,,False,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
2,0.0680849552154541,-0.08387869531598358,0.004849185585203595,0.004425260508455878,0.004153402036630083,True,,,False,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
3,0.10002636909484863,-0.051937281436589045,0.017588662352771234,0.01871702977821881,0.017118030485182553,True,,,False,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
4,0.13595008850097656,-0.016013562030461115,0.014328100615251218,0.014859078615578461,0.012809701016181521,True,,,False,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
5,0.1679673194885254,0.016003668957087713,0.013899108551800913,0.014363811440200313,0.011668392000036162,True,3.507865248207325,-0.015312794754187713,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
6,0.2000720500946045,0.048108399563166815,0.010356008526744225,0.011546879978367942,0.01168414492850982,True,3.486242670366292,-0.028432689572691235,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
7,0.23604321479797363,0.08407956426653596,0.009830685180894395,0.01157207990378138,0.01233806649544294,True,3.7487953245784285,-0.0339384614119006,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
8,0.2680997848510742,0.11613613431963654,0.023483496135812715,0.022966033076801513,0.020833983282548277,True,3.793197202487983,-0.009995438948378906,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
9,0.30001163482666016,0.14804798429522248,0.024975165145284833,0.027538423238255116,0.02727038992849265,True,3.8111077662140165,-0.03795228632170932,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
10,0.3363189697265625,0.18435531919512482,0.0005405421341275337,0.0005291249099169111,0.0006187613074862976,True,3.728422560764442,-0.033352748881488474,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
11,0.3682870864868164,0.21632343595537873,0.001278986071364344,0.0012514501052825087,0.001514218659644823,True,3.566921650347285,-0.02863378746503965,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
12,0.40033531188964844,0.24837166135821076,0.000182680208400883,0.00020678000496397215,0.00027967010342305846,True,3.5400424921206692,-0.04663524483742718,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
13,0.43605804443359375,0.2840943939021561,0.00010580325182409573,0.00012841387075979258,0.00017887181478238174,True,3.6762360250554087,-0.04033010194011866,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
14,0.46824145317077637,0.3162778026393387,0.00020459364066128898,0.00023344352680581553,0.0003155143325417149,True,3.789703057251347,-0.006336080195413322,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
15,0.5003399848937988,0.34837633436236115,0.0013578498183196444,0.0014799356662843614,0.0014333780497505805,True,3.829469243267769,-0.024257489129224593,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
16,0.5363545417785645,0.3843908912471268,0.00139099963761032,0.0015039308146988814,0.0014752457440355277,True,3.6358211623862964,-0.04411002737040212,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
17,0.5682752132415771,0.41631156271013947,0.000956056188579271,0.0009381094901341749,0.000954918392581899,True,3.51738249921853,-0.02232423005382089,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
18,0.6003940105438232,0.44843036001238556,0.0015946415539288361,0.0015426907891122018,0.0015647238811393827,True,3.5249798803146337,-0.047445850244766954,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
19,0.6365010738372803,0.4845374233058426,0.018246404510628284,0.014068004396270371,0.014142991354590309,True,3.669005205869978,-0.04297673853414518,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
20,0.6683375835418701,0.5163739330104324,0.01916962079517798,0.015931281979990223,0.016238186625456685,True,3.8559372068661317,-0.027674949014471477,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
21,0.7002139091491699,0.5482502586177322,0.0471212508146655,0.049233360194359456,0.051599868911590414,True,3.954365295555193,-0.06131778752085352,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
22,0.7361817359924316,0.584218085460994,0.029806844384075253,0.032833137196063074,0.03574001814592041,True,3.8010509429493355,-0.03441504071107263,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
23,0.7681963443756104,0.6162326938441727,0.02814366451540155,0.03256669981309114,0.035006861501186676,True,3.427297149042575,-0.020349598597892437,True,fecfe5c107ef36f7ce31,74f3bd3d99bf5a1f2169
