frame,image_time_s,effective_time_s,left,center,right,valid,force_n,torque_y_nm,aligned_covered,window_version,registration_version
0,0.0,-0.15196365053143768,0.001081917782124572,0.001358038378684424,0.0015240684050015526,True,,,False,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
1,0.03204035758972168,-0.119923292941716,1.2387835719076312e-05,1.4341500402653164e-05,1.5708804570233956e-05,True,,,False,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
2,0.06801199913024902,-0.08395165140118865,1.1482672758559888e-05,1.6412592544621596e-05,1.9411722879892357e-05,True,,,False,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
3,0.10010004043579102,-0.05186361009564666,7.056134295172356e-06,1.5226970773642753e-05,1.3756853236822401e-05,True,,,False,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
4,0.13213229179382324,-0.019831358737614435,7.918586737743848e-06,1.5213664169383963e-05,1.41025996217081e-05,True,4.074048082204527,0.02823982674848917,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
5,0.16805005073547363,0.016086400204035955,1.0070308794166978e-05,2.901047268207781e-05,2.7559391282240625e-05,True,3.8966458300038367,0.04100949428018267,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
6,0.20013809204101562,0.04817444150957795,0.00013607222928131807,0.0006350560901747384,0.0005688813942082684,True,3.8945583407030075,0.0100268604109175,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
7,0.23213911056518555,0.08017546003374787,0.0001493476591166239,0.000725396997730518,0.0006195412196226525,True,4.118390113618019,0.02554474859145554,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
8,0.26801443099975586,0.11605078046831818,3.153088616750039e-05,5.786039252229957e-05,0.00010669702690310358,True,3.9589581919461665,0.011459730240327972,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
9,0.3000752925872803,0.1481116420558426,2.7326656764236456e-05,5.4680973149456626e-05,9.928621039068842e-05,True,3.9394377864655485,0.012101330455517267,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
10,0.33208131790161133,0.18011766737017365,0.0003839891396533566,0.001057078399015467,0.0014378478361104026,True,4.432672079494911,0.019401427506713278,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
11,0.36797070503234863,0.21600705450091096,0.00044339481315293496,0.001035895830051375,0.0013321437575821795,True,3.9150528730811356,0.028397195796282453,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
12,0.4000370502471924,0.2480733997157547,0.0004008770439770682,0.0002274291597409977,0.00020814045378479717,True,4.017167870560123,0.0023659668872459006,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
13,0.43204689025878906,0.2800832397273514,0.00017685233632040888,0.00010648520339690068,9.442883810813537e-05,True,3.867321756337107,0.0383586526043816,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
14,0.46796560287475586,0.3160019523433182,0.0001639411100655267,9.415567036946241e-05,8.290095116281679e-05,True,3.8185861186824877,0.030190089434485437,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
15,0.5000169277191162,0.34805327718767853,1.3129402287702493e-05,8.725624058600147e-06,7.152139733503398e-06,True,3.8269270994136577,0.0017816949880936324,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
16,0.5320737361907959,0.3801100856593582,1.2124373175783275e-05,7.857018265651246e-06,6.284133640548907e-06,True,3.8758098650203707,0.021118501912187032,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
17,0.5680341720581055,0.4160705215266678,0.00030134578370205676,0.0002383954210951661,0.0002422416240152352,True,3.7964670672378373,0.01102674068398818,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
18,0.6000387668609619,0.44807511632952424,0.00033530713601785726,0.0002739496960767893,0.0002953332974770327,True,3.8900776637183125,0.005032234668986564,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
19,0.6320130825042725,0.4800494319728348,0.000814600190870689,0.0007181603952322608,0.0015784714032594988,True,3.9605712108190363,0.02278967694555397,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
20,0.6679947376251221,0.5160310870936844,0.0007785657018833841,0.0007330383267397975,0.0017472381681592332,True,3.9567620256193443,0.018156830078792558,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
21,0.7001140117645264,0.5481503612330887,0.0007939553993550399,0.0007627247980233257,0.0009594482745534155,True,3.8290052485340085,0.014867190022491795,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
22,0.7321217060089111,0.5801580554774735,0.001127330016920918,0.0013332117823237604,0.002096189412797147,True,3.9167137762855724,0.03480750645404654,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
23,0.7680034637451172,0.6160398132136795,0.0010631658112341819,0.0011737917179785687,0.0016813227652836469,True,3.770909196352144,0.02659174726547635,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
24,0.8000400066375732,0.6480763561061356,0.006476696458862531,0.008243258985808433,0.01311289726424084,True,3.8195387373493643,-0.00219936462602537,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
25,0.8321173191070557,0.680153668575618,0.006290006102714617,0.008145580388314737,0.011794455431285837,True,3.7107720114414073,0.026359118556189182,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
26,0.8681042194366455,0.7161405689052078,0.009624207319536473,0.012782828701453202,0.02199390814069745,True,3.8260304321400485,0.02179301757550658,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
27,0.9000270366668701,0.7480633861354324,0.00920553235199529,0.013252865784607229,0.021387208796308173,True,3.987491255507776,-0.010488248230831321,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
28,0.9320309162139893,0.7800672656825516,0.0027944678049592287,0.0028880786080021877,0.005655224029512119,True,3.984472905366046,0.027882897857079078,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
29,0.9680044651031494,0.8160408145717117,0.002741573788820844,0.003025405370175334,0.006981642257332816,True,3.988005267611885,0.021840279219116396,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
30,1.0000391006469727,0.848075450115535,0.0066726414146995585,0.013669882325919279,0.04288753963824789,True,4.441333319072559,-0.0070993199943046766,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
31,1.0320515632629395,0.8800879127315018,0.004659353246773327,0.007287759846642693,0.017964698984673438,True,4.094911245081693,0.02205384689603471,True,fecfe5c107ef36f7ce31,3035eff2fc79979d979f
