frame,image_time_s,effective_time_s,left,center,right,valid,force_n,torque_y_nm,aligned_covered,window_version,registration_version
0,0.0,-0.15196365053143768,0.027566442298664402,0.033723539212516584,0.03600800991140337,True,,,False,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
1,0.03199958801269531,-0.11996406251874236,0.02298407419476003,0.023941238716741798,0.026816937485399966,True,,,False,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
2,0.0681452751159668,-0.08381837541547088,0.010846992740400272,0.019689190646922233,0.023346524780360294,True,,,False,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
3,0.1001126766204834,-0.05185097391095428,0.01920953317585573,0.040106331250460425,0.0320127213494513,True,,,False,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
4,0.13207387924194336,-0.019889771289494318,0.015345468602171014,0.03184291700337746,0.02491516641609837,True,,,False,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
5,0.16799092292785645,0.016027272396418768,0.011810199523299276,0.03917698426177602,0.036749231521935086,True,4.362616356944453,-0.013681265659862168,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
6,0.20018362998962402,0.048219979458186346,0.014837332051125258,0.04819753700008849,0.04512806925025826,True,4.218797441843247,0.019617869752097897,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
7,0.23201441764831543,0.08005076711687775,0.036174351831126036,0.04574054218786259,0.03297394651659966,True,4.278904836368741,-0.015899799434735497,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
8,0.2679722309112549,0.1160085803798172,0.03161868352303433,0.041013232187367604,0.02990613961536147,True,4.1605289293286045,-0.022161629943954656,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
9,0.2999308109283447,0.14796716039690705,0.007009783533627038,0.015541083886008946,0.010632693951512963,True,4.202311499210981,0.0007699198405027375,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
10,0.33199644088745117,0.1800327903560135,0.007243676433315675,0.014647732181829024,0.00982539647626969,True,4.233779161385296,-0.0022233117903201526,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
11,0.3678433895111084,0.21587973897967072,0.004481073957591185,0.005246403603148801,0.0032116823631764256,True,4.187186896279703,-0.0075377298878476105,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
12,0.40005016326904297,0.2480865127376053,0.0044949032755211855,0.005665493321746273,0.00356514018854435,True,4.300473182962812,0.0026120342726483298,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
13,0.4319615364074707,0.279997885876033,0.005289071361725979,0.006851781340626837,0.0039401454182160485,True,4.200791184888881,-0.002005933191253536,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
14,0.4678339958190918,0.3158703452876541,0.005219718488064963,0.017972445262315298,0.02581850386117396,True,4.145541640940055,-0.0006252616390950195,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
15,0.49994444847106934,0.34798079793963166,0.006387157210420265,0.021524971138769687,0.031011962245932286,True,4.166936601442474,0.015245660786784944,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
16,0.5320022106170654,0.38003856008562775,0.005718819635838383,0.006316863604345435,0.009667148257758237,True,4.274733292920203,-0.025288896296838666,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
17,0.5679712295532227,0.416007579021785,0.007001744218054131,0.006667532010998358,0.007829249732403563,True,4.0366874291476895,0.009911947427374184,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
18,0.6000256538391113,0.44806200330767365,0.002096819446970387,0.0022409967052570558,0.0021830303201656053,True,4.272275249639726,-0.00786774578837887,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
19,0.6321196556091309,0.4801560050776932,0.00235456598030805,0.0023213614845478195,0.002165805202007042,True,4.238894588528892,-0.013794232605709195,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
20,0.6680915355682373,0.5161278850367996,0.010941412235010219,0.015686008135235227,0.02567041135256362,True,4.2377413305263305,-0.013673978176920829,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
21,0.6999399662017822,0.5479763156703445,0.017187945575635542,0.019233146538725886,0.02681444238712399,True,4.266443210026367,0.0068243044373166055,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
22,0.7320761680603027,0.5801125175288651,0.015154783481057435,0.019824439605222788,0.027698764287749797,True,4.265371622685046,-0.008057898220741998,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
23,0.7678711414337158,0.6159074909022781,0.0031160846049821597,0.006367185494108595,0.0148385776215127,True,4.158836473418441,-0.015000030390867215,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
24,0.7998800277709961,0.6479163772395584,0.003698348561727268,0.008040856361294913,0.018361283313523796,True,4.223154837350088,0.0174408076256059,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
25,0.8319828510284424,0.6800192004970047,0.002830869286091849,0.002672173457203785,0.0031624139836063064,True,4.247022501103427,-0.01462657635492233,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
26,0.8678853511810303,0.7159217006495926,0.0026655659798465368,0.0023692804535543396,0.0028153619533044204,True,4.212431344133675,-0.008680426827020072,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
27,0.8998808860778809,0.7479172355464432,0.008797463907888312,0.009019894889348333,0.006212250182168575,True,4.322879696045458,0.00888146024380411,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
28,0.9319343566894531,0.7799707061580154,0.008189178217744581,0.008645599357252337,0.006714910119314962,True,4.2583255102065944,-0.010161837917253377,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
29,0.9680585861206055,0.8160949355891678,0.008226708549176587,0.00862454973383711,0.0066095474725103645,True,4.311433688882881,-0.011410185814612877,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
30,0.9998834133148193,0.8479197627833817,0.00328186929391638,0.002060598628734259,0.0014838148741193901,True,3.4656176159715057,0.06023161609000419,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
31,1.0319488048553467,0.879985154323909,0.002650629960723179,0.0018936142743457487,0.0015314489772116323,True,4.1016218175879,-0.01699775293208796,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
32,1.0678470134735107,0.9158833629420731,0.002370761326205584,0.0014642923437923235,0.0012914442481760527,True,3.8928508790925322,-0.006412647335627933,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
33,1.0999703407287598,0.9480066901973221,0.001845403078631252,0.0011520039360381957,0.0011678942928233151,True,4.207840001646256,0.005419932859893639,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
34,1.1320326328277588,0.9800689822963211,0.0005297207153252525,0.0005673568942741158,0.0010324950162423597,True,4.1329157699590064,-0.009030784610635625,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
35,1.1679253578186035,1.015961707287166,0.0006214065513907195,0.0005729898820038239,0.000915821855161312,True,4.260552783430507,-0.009913116665041634,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
36,1.1998884677886963,1.0479248172572588,0.000772579748482355,0.0006971701174243439,0.0006035004486852218,True,4.248913579439399,0.01531967258696664,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
37,1.231933832168579,1.0799701816371416,0.0011725883261008885,0.0011369239530996088,0.0010469605879170304,True,4.271021982481129,-0.010656176492210203,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
38,1.2678935527801514,1.115929902248714,0.001028749042513342,0.000880956280989517,0.0007359801120910473,True,4.132406105110079,-0.0014464436607051004,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
39,1.2999227046966553,1.1479590541652178,0.0026458128008586116,0.0019047217997010394,0.0013864048962033463,True,4.3070246806049495,0.005841909282429722,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
40,1.332015037536621,1.1800513870051836,0.002031300099921326,0.0015249615475826546,0.0010916273001805895,True,4.256084548240443,-0.017399948877622383,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
41,1.3679354190826416,1.2159717685512041,0.00337274414230449,0.00926433726503258,0.022940345100608845,True,4.28947093933028,-0.0018485827957846666,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
42,1.400193691253662,1.2482300407222247,0.004383114998387311,0.015152652571428319,0.045700065545552705,True,4.280475249069628,0.017740463425077003,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
43,1.4321515560150146,1.2801879054835772,0.00184027695492684,0.001590372352097117,0.0014349935545159653,True,4.183447011828321,-0.00878521598295341,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
44,1.4679269790649414,1.315963328533504,0.002029318559529077,0.001802933767437216,0.0016744660167319887,True,4.392715673361511,-0.02918107028007009,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
45,1.4999947547912598,1.3480311042598223,8.822369397728071e-05,0.00020092132103147276,0.0004104287261205102,True,4.208205149615949,-0.011920579756189029,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
46,1.5319042205810547,1.3799405700496172,0.00016279282008826963,0.00025128107239201996,0.00048250064501635724,True,4.150749310982097,-0.002953994856792461,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
47,1.5679612159729004,1.415997565441463,0.0008528944869591808,0.0015544467167156548,0.002906986716794255,True,4.164862529792195,-0.015189166135932658,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
48,1.5999252796173096,1.4479616290858721,0.0016260195632436514,0.001432691763358124,0.001202011797983853,True,4.266461768169118,0.011067563714609825,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
49,1.6319596767425537,1.4799960262111163,0.0021905864598545963,0.001854454645132095,0.0014610311249416766,True,4.217284285110613,-0.0022183029412045025,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
50,1.6678533554077148,1.5158897048762774,0.0032772810030176217,0.002632042329538424,0.0025493496774308066,True,4.2530876276818645,-0.004341799940477743,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
51,1.6999359130859375,1.5479722625545,0.003007626161179474,0.0023742365946599823,0.0022828123547602264,True,4.304899495159303,0.006201790873758457,True,fecfe5c107ef36f7ce31,d29202cc0955a2918d13
