frame,image_time_s,effective_time_s,left,center,right,valid,force_n,torque_y_nm,aligned_covered,window_version,registration_version
0,0.0,-0.15196365053143768,0.009793818463168232,0.011731563131283956,0.0034558751654772905,True,,,False,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
1,0.03216409683227539,-0.11979955369916229,0.006046005740750909,0.00428465348843978,0.002100596338390459,True,,,False,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
2,0.06410455703735352,-0.08785909349408416,0.006937172969049593,0.004705008766312653,0.002185270532359486,True,,,False,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
3,0.1000518798828125,-0.05191177064862518,0.0030276394583626165,0.004286494633588444,0.0027546905529019735,True,,,False,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
4,0.13197660446166992,-0.019987046069767755,0.004266669804648435,0.006508938878654182,0.004016792970965604,True,4.110276611246118,-0.022477978470066984,True,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
5,0.16418218612670898,0.012218535595271307,0.020156641267922364,0.025885892776268713,0.013851019477886202,True,4.256835414365354,-0.006188398343146116,True,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
6,0.20025897026062012,0.04829531972918244,0.03177031053854279,0.045707358750950264,0.025390145383533902,True,4.354446355589118,-0.005125883741207059,True,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
7,0.2322390079498291,0.08027535741839142,0.057370390608760855,0.025751271602967578,0.01501453891872061,True,4.305625511829827,-0.011609126596220138,True,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
8,0.26413750648498535,0.11217385595354767,0.07271862104244727,0.029702243335855288,0.01710270761728927,True,4.27596707883015,0.004892654758646282,True,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
9,0.3003361225128174,0.1483724719813797,0.06951498587261924,0.03217790594792511,0.01946456019894465,True,4.24728840030652,-0.014372317925242283,True,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
10,0.3330545425415039,0.18109089201006623,0.030977442645652473,0.021443932314844514,0.014781491158707142,True,4.137535872729715,-0.023166609932361314,True,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
11,0.36413145065307617,0.2121678001216385,0.05094107371115966,0.03113627654014348,0.01939691142104682,True,4.337174308903191,-0.01018454852441244,True,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
12,0.4000992774963379,0.2481356269649002,0.004363629352663078,0.012969254475291937,0.016320220520488316,True,4.314977979097138,-0.001956721978418367,True,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
13,0.4321420192718506,0.2801783687404129,0.0052307676110014455,0.014174140202998687,0.017549204003386325,True,4.28107125024927,-0.02421648875382186,True,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
14,0.46410107612609863,0.31213742559466096,0.00047104671990146063,0.0003722860266771772,0.00029791740744888266,True,4.323829487087487,-0.01543572419647382,True,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
15,0.5001599788665771,0.34819632833513947,0.0007178043121213602,0.0007021204517985567,0.0005559025079049353,True,4.24079042997243,-0.010228683183406929,True,fecfe5c107ef36f7ce31,3464808329428fd0b1a1
