frame,image_time_s,effective_time_s,left,center,right,valid,force_n,torque_y_nm,aligned_covered,window_version,registration_version
0,0.0,-0.15196365053143768,0.06815550847587386,0.043926635338782376,0.014845444105776501,True,,,False,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
1,0.031937599182128906,-0.12002605134930877,0.06633934110741582,0.04512533118044492,0.015915913062071105,True,,,False,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
2,0.06782412528991699,-0.08413952524152069,0.07053341057631597,0.04741124055111659,0.015598300999181037,True,,,False,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
3,0.09993505477905273,-0.05202859575238494,0.027480153089202385,0.018371806265659547,0.012570004987017233,True,,,False,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
4,0.13196039199829102,-0.02000325853314666,0.02762220473838473,0.017071259038412712,0.012017864269695124,True,,,False,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
5,0.16783666610717773,0.015873015575740057,0.03237957991445768,0.025944815418522657,0.007707352527133081,True,4.195877974940945,-0.03401100449408174,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
6,0.19990301132202148,0.04793936079058381,0.035603819908081376,0.02877798086681694,0.007710307908984871,True,4.420975395825759,-0.0011472182988433509,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
7,0.23187971115112305,0.07991606061968537,0.028498796301723306,0.02538994189282183,0.007194427252098077,True,4.456411588681127,-0.018356998576035493,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
8,0.2678544521331787,0.11589080160174103,0.023365334042368038,0.01897091918354058,0.004345577620167159,True,4.268764590880388,-0.024880310207851055,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
9,0.2998921871185303,0.1479285365870926,0.003699700932660423,0.0026269272738099494,0.0008829867464294035,True,4.129482056262438,-0.014324647001784704,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
10,0.33185553550720215,0.17989188497576447,0.009645406220106371,0.006237425366361366,0.0015698919290220558,True,4.051567601509578,-0.02665968774729286,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
11,0.3679046630859375,0.21594101255449982,0.011258107216495703,0.007449702916625943,0.00204602838020039,True,4.2906880144057435,-0.025741595940841293,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
12,0.3998532295227051,0.2478895789912674,0.013312532089620355,0.011295031249649515,0.009086320088220044,True,4.318862349415121,-0.01705740667773464,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
13,0.43193674087524414,0.27997309034380646,0.01398993901980392,0.012062420852642327,0.009186257835935312,True,4.42640343911143,-0.04784642393329276,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
14,0.4678313732147217,0.315867722683284,0.022335179095327708,0.02398132133447079,0.018662714779143386,True,4.067502766786404,-0.015313049225378534,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
15,0.4998757839202881,0.3479121333888504,0.030567379612579777,0.02905418643924401,0.020987522537532645,True,4.208933869965976,-0.014993636010343158,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
16,0.5318737030029297,0.379910052471492,0.014332278686824467,0.021046842016079696,0.026169582815441735,True,4.26924820857126,-0.022925285680357378,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
17,0.5678651332855225,0.4159014827540848,0.014199660195508508,0.021952288817400807,0.028067485270883954,True,4.202212656233486,-0.036379424138241336,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
18,0.5998861789703369,0.44792252843889924,0.012858092793926173,0.023804424015938516,0.03226661303710252,True,4.269280538931941,-0.018602563321971403,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
19,0.6319537162780762,0.4799900657466385,0.007700847394191064,0.006706856661150835,0.006041075022568593,True,4.403150217979412,-0.016907248468206234,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
20,0.6678273677825928,0.5158637172511551,0.008640889534411913,0.008144598617559666,0.008971017278550618,True,4.430462978421614,-0.01630222019793911,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
21,0.6999685764312744,0.5480049258998367,0.02151386045601037,0.025731509107539095,0.01798309973859572,True,4.373311648913776,-0.02002238596182252,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
22,0.7319014072418213,0.5799377567103836,0.018013765082914333,0.022829246526747587,0.015858727065798963,True,4.079319366087562,-0.037225145802734234,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
23,0.7679436206817627,0.615979970150325,0.028131133154213204,0.022022072461900414,0.01970373565222903,True,4.015497183019601,-0.007298165896808922,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
24,0.7998003959655762,0.6478367454341385,0.040264798176943666,0.03222978031430522,0.026474933825605243,True,4.09479917971456,-0.016925268035888983,True,fecfe5c107ef36f7ce31,e552362ca5227e8e3a0b
