scan,mode,moving_controls,accepted_controls,strict_moving_coverage,counterfactual_segment_restarts,tank_min_j,tank_end_j,weak_side_mean_m_s,omega_error_p95_rad_s,pair_residual_p95_m_s,alpha_mean,cost_mean_s,cost_p95_s,deferrals,publication_rejections,old_candidate_final_omega_p95_rad_s
001/RH_Per_C_DtP,recorded_old,4838,4838,,0,0.09793125335521065,0.09816621103219812,,,,0.9791916447707354,0.002424132569888346,0.003177503748884191,0,1,0.02134779766925399
001/RH_Per_C_DtP,confidence_angular_v1,4838,4838,1.0,0,0.1,0.10927196576493481,,3.505293352912545e-11,7.43040557468072e-14,0.9999999997989637,0.0023438246039748497,0.0024330255975655744,0,,
001/RH_Per_C_DtP,confidence_cop_v1,4838,4838,1.0,0,0.1,0.10927197280994473,,3.505293352912545e-11,7.459260721207509e-14,0.9999999997989637,0.0023436369794980257,0.0024332083463377784,0,,
001/RH_Per_C_PtD,recorded_old,4845,4843,,0,0.09999993846327677,0.1180633951934052,0.0011955285273994296,,,0.9121509173579657,0.002777948295704778,0.0037077425993629733,0,2,0.008951338017258344
001/RH_Per_C_PtD,confidence_angular_v1,4845,4845,1.0,0,0.1,0.11978955956677165,0.0010135325970567768,5.4109302455307434e-11,2.3564760362386205e-13,0.9295345386668543,0.002433399404475085,0.002551022199622821,0,,
001/RH_Per_C_PtD,confidence_cop_v1,4845,4845,1.0,0,0.1,0.11918078936136792,0.0010401845787775808,5.410930106752865e-11,2.27288959951233e-13,0.9295345386668641,0.0024331441668073803,0.002550364400667604,0,,
001/RH_Per_L_DtP,recorded_old,4878,4876,,0,0.1,0.10912741196914309,,,,0.9774452087230362,0.0023361984091933453,0.0030482197522360365,0,1,0.03499160916720041
001/RH_Per_L_DtP,confidence_angular_v1,4878,4878,1.0,0,0.1,0.12297238769277609,,3.5172049043802386e-11,7.138407703485831e-14,0.999999999817716,0.002441374966208815,0.00262902750109788,0,,
001/RH_Per_L_DtP,confidence_cop_v1,4878,4878,1.0,0,0.1,0.12297237157744194,,3.5172049043802386e-11,7.185357788322799e-14,0.9999999998177158,0.002438623496899951,0.0026270485461282076,0,,
001/RH_Per_L_PtD,recorded_old,5027,5027,,0,0.09997871158359538,0.10431950123495538,0.0008473909296200329,,,0.8909835270788329,0.0027283282733107316,0.0035604773976956492,0,0,0.00468803367198832
001/RH_Per_L_PtD,confidence_angular_v1,5027,5027,1.0,0,0.1,0.10636916821392092,0.000756294436351444,4.5906457368099996e-11,1.333867911956773e-13,0.9053033412108812,0.002412707423102744,0.002527964399632765,0,,
001/RH_Per_L_PtD,confidence_cop_v1,5027,5027,1.0,0,0.1,0.10618939443568308,0.0007785506267588392,4.5906457368099996e-11,1.2518082578817027e-13,0.9053033412108811,0.002411525431103519,0.0025241690971597565,0,,
001/RH_Per_S_DtP,recorded_old,4857,4855,,0,0.09766249464909404,0.09767048464040698,,,,0.9829365608902348,0.002457844649854231,0.003275333395868074,0,2,0.0206601173054296
