scan,weak_ticks,unique_weak_ticks,nondeadband_unique_weak_ticks,direction_conflict_ticks,positive_gate_conflict_ticks,weak_held_s,unique_weak_held_s,direction_conflict_held_s,unique_weak_frames,nondeadband_unique_weak_frames,direction_conflict_frames,requested_omega_mean_rad_s,requested_omega_abs_mean_rad_s,requested_omega_abs_p95_rad_s
001/RH_Per_C_DtP,0,0,0,0,0,0.0,0.0,0.0,0,0,0,,,
001/RH_Per_C_PtD,2951,2951,2951,0,0,19.511669652980345,19.511669652980345,0.0,386,386,0,-0.004130164897953454,0.004130164897953454,0.006849503021676721
001/RH_Per_L_DtP,0,0,0,0,0,0.0,0.0,0.0,0,0,0,,,
001/RH_Per_L_PtD,3705,3705,3705,0,0,23.905384651996428,23.905384651996428,0.0,473,473,0,-0.004485385466259938,0.004485385466259938,0.008489660515656052
001/RH_Per_S_DtP,0,0,0,0,0,0.0,0.0,0.0,0,0,0,,,
003/LH_Per_C_DtP,1393,1393,1385,0,0,9.288418141004513,9.288418141004513,0.0,184,183,0,-0.001543439930403917,0.001543439930403917,0.0025053968711201005
003/LH_Per_C_PtD,2329,2329,2329,0,0,15.777495418995386,15.777495418995386,0.0,312,312,0,-0.005059495821604224,0.005059495821604224,0.006966520855708748
003/LH_Per_L_DtP,352,352,336,0,0,2.2750622000021394,2.2750622000021394,0.0,46,44,0,-0.0014991670707758715,0.0014991670707758715,0.002405772456134428
003/LH_Per_L_PtD,1575,1575,1575,0,0,10.31242581798142,10.31242581798142,0.0,204,204,0,-0.0012973575493537089,0.0012973575493537089,0.002097163505493713
003/LH_Per_S_DtP,1718,1607,1607,0,0,11.486862814999768,10.769492002000334,0.0,213,213,0,-0.003100902613712648,0.003100902613712648,0.005917196554184372
003/LH_Per_S_PtD,1369,1369,1284,0,0,9.363222742009384,9.363222742009384,0.0,186,174,0,-0.0026024876653086915,0.0026024876653086915,0.004762760802891171
003/RH_Per_C_DtP,1570,1562,1232,0,0,10.708950939013448,10.655076657014433,0.0,211,167,0,-0.0007969562466650095,0.0007969562466650095,0.0016644838442755683
003/RH_Per_C_PtD,1979,1744,1021,0,0,13.71214214101201,12.088835091017245,0.0,238,141,0,-0.0006822159587570123,0.0006822159587570123,0.0012729090678237933
003/RH_Per_L_DtP,730,730,730,0,0,4.899694579005882,4.899694579005882,0.0,98,98,0,-0.0012427180825820155,0.0012427180825820155,0.0021841131273358174
003/RH_Per_L_PtD,1219,1219,1202,0,0,8.34643617500842,8.34643617500842,0.0,164,162,0,-0.001220835938864082,0.001220835938864082,0.0019748372730199466
