scan,mode,moving_samples,acceptance_mask_differences,deferral_count_before,deferral_count_after,max_component_abs_difference,max_z_abs_difference_m_s,max_omega_abs_difference_rad_s,max_reconstructed_alpha_abs_difference,max_tank_trace_abs_difference_j,tank_end_abs_difference_j,omega_error_max_before,omega_error_max_after,pairing_error_max_before,pairing_error_max_after,energy_margin_min_before,energy_margin_min_after,mean_cost_before_s,mean_cost_after_s,p95_cost_before_s,p95_cost_after_s,max_cost_before_s,max_cost_after_s,before_velocity_violation,before_angle_violation_rad,before_consecutive_moving_slew_violation,before_aperture_violation_m_s,after_velocity_violation,after_angle_violation_rad,after_consecutive_moving_slew_violation,after_aperture_violation_m_s
001/RH_Per_C_DtP,confidence_angular_v1,4838,0,0,0,9.851362859447131e-10,1.9238623860423466e-12,9.851362859447131e-10,9.99187288464043e-10,4.184444457600023e-12,2.0702328740185294e-12,1.4326999501865555e-10,8.470329472543003e-22,1.9238623860423466e-12,8.673617379884035e-19,1.1252681572338363,1.125268157317553,0.0023438246039748497,0.0017993481415950266,0.0024330255975655744,0.0018220213500171668,0.003507785004330799,0.002321158994163852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001/RH_Per_C_DtP,confidence_cop_v1,4838,0,0,0,9.851362859447131e-10,1.2113993679973168e-11,9.851362859447131e-10,9.99187288464043e-10,4.185915503107651e-12,1.3897494266501553e-12,1.4326999501569093e-10,8.470329472543003e-22,1.9655352137515434e-12,6.281436380786939e-19,1.1252681564927267,1.1252681565763947,0.0023436369794980257,0.0017994356882736807,0.0024332083463377784,0.0018226453015813605,0.0035321179966558702,0.002418121999653522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001/RH_Per_C_PtD,confidence_angular_v1,4845,0,0,0,1.1788417450835248e-09,2.184554620532353e-12,1.1788417450835248e-09,8.09632239029412e-09,4.1634223846287455e-11,3.984747254381915e-11,1.367996319522058e-10,8.673617379884035e-19,2.184554620532353e-12,8.673617379884035e-19,1.0678812128138637,1.067881212841858,0.002433399404475085,0.0018038956681461654,0.002551022199622821,0.001825673998973798,0.003078061003179755,0.002465024997945875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001/RH_Per_C_PtD,confidence_cop_v1,4845,0,0,0,1.1788417450835248e-09,1.4424725086267798e-11,1.1788417450835248e-09,8.09632239029412e-09,8.459191680465494e-12,6.8981209633278695e-12,1.367996319522058e-10,8.673617379884035e-19,1.9950741972645132e-12,6.403569081242511e-19,1.0678812143047445,1.0678812143317602,0.0024331441668073803,0.0018049389799491917,0.002550364400667604,0.0018258231997606345,0.0030730900034541264,0.002725685997575056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001/RH_Per_L_DtP,confidence_angular_v1,4878,0,0,0,1.019307627043581e-09,4.369608841425787e-12,1.019307627043581e-09,2.125654208207095e-09,4.912945050783435e-12,3.882852372960599e-12,1.1147379725093037e-10,4.235164736271502e-22,4.369608841425787e-12,8.673617379884035e-19,1.1296518289990047,1.1296518290189066,0.002441374966208815,0.0017897917873558025,0.00262902750109788,0.0018131722525140503,0.0032333609997294843,0.002751446001639124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001/RH_Per_L_DtP,confidence_cop_v1,4878,0,0,0,1.0193072304415793e-09,1.547459475012905e-11,1.0193072304415793e-09,2.1257020588194564e-09,2.7134822166985373e-12,2.67708077927864e-12,1.1147379725093037e-10,2.048519608779172e-13,5.91616482865873e-09,5.9155137470206744e-09,1.1296518290804625,1.1296518291004332,0.002438623496899951,0.001791895110519561,0.0026270485461282076,0.0018149095008993753,0.0034970519991475157,0.0025546739998389967,1.188875387025945e-13,0.0,0.0,0.0,1.1888580397911852e-13,0.0,0.0,0.0
001/RH_Per_L_PtD,confidence_angular_v1,5027,0,0,0,9.942707889648572e-10,2.011659285330869e-12,9.942707889648572e-10,7.087594067201053e-09,4.629893690655251e-12,4.243300155692964e-12,1.4259722742882008e-10,8.673617379884035e-19,2.011659285330869e-12,8.673617379884035e-19,1.0703250152030521,1.0703250152244288,0.002412707423102744,0.0018021462715402206,0.002527964399632765,0.001824842201313004,0.0032271640011458658,0.0023442149977199733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001/RH_Per_L_PtD,confidence_cop_v1,5027,0,0,0,9.942707889648572e-10,9.776112211423715e-12,9.942707889648572e-10,7.087594067201053e-09,8.019210295806545e-12,8.019210295806545e-12,1.4259722742882008e-10,8.673617379884035e-19,1.9526106994856133e-12,2.913793338554793e-19,1.0703250145036716,1.0703250145234255,0.002411525431103519,0.0018042685106673274,0.0025241690971597565,0.0018242793012177572,0.002977208001539111,0.0027074940007878467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001/RH_Per_S_DtP,confidence_angular_v1,4857,0,0,0,9.174385558355219e-10,1.934685647046211e-12,9.174385558355219e-10,9.986336202416624e-10,1.428815399329153e-11,1.428815399329153e-11,1.2319029741609286e-10,4.235164736271502e-22,1.934685647046211e-12,4.336808689942018e-19,1.1377487473283976,1.1377487473126038,0.002399059068368505,0.0017950405814532464,0.002482235198840499,0.0018180987986852414,0.006260590998863336,0.002713765003136359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001/RH_Per_S_DtP,confidence_cop_v1,4857,0,0,0,9.174385558355219e-10,9.666624249429328e-12,9.174385558355219e-10,9.986336202416624e-10,5.8116428336418835e-12,5.8116428336418835e-12,1.2319029741609286e-10,4.235164736271502e-22,1.9339844411610367e-12,4.507075547229933e-19,1.1377487473063637,1.1377487472905539,0.002395802018542761,0.0017967518013245508,0.0024820471997372808,0.0018194684002082796,0.0033071260040742345,0.002386516993283294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/LH_Per_C_DtP,confidence_angular_v1,4126,0,0,0,1.2751923620778899e-09,1.958748267749666e-12,1.2751923620778899e-09,5.82284942485245e-09,1.0259737504014765e-11,0.0,1.2835040777599283e-10,2.168404344971009e-19,1.958748267749666e-12,8.673617379884035e-19,1.1505763525953785,1.1505763525554447,0.0024112235704755926,0.0018124849624028422,0.002488016751158284,0.0018352980023337295,0.0035212530056014657,0.001998191000893712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/LH_Per_C_DtP,confidence_cop_v1,4126,0,0,0,1.2751923620778899e-09,1.392959115024614e-11,1.2751923620778899e-09,5.82284942485245e-09,7.442213512121043e-12,0.0,1.2835040777599283e-10,2.168404344971009e-19,1.958732034596471e-12,6.434803421172513e-19,1.1505763498836687,1.1505763498423842,0.0024089401815214923,0.0018131691338754987,0.002483770504113636,0.0018338642512389924,0.0028821519954362884,0.002517337998142466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/LH_Per_C_PtD,confidence_angular_v1,4582,0,0,0,1.0373611024003249e-09,2.3362134709409288e-12,1.0373611024003249e-09,3.60998859694206e-08,8.501852000186716e-12,8.323744471461225e-12,1.227943649539931e-10,8.673617379884035e-19,2.3362134709409288e-12,8.673617379884035e-19,1.0987299065884348,1.0987299064702276,0.002407650867964139,0.0018069440597775356,0.002491979447950143,0.001827909104031278,0.003183758999512065,0.0024666710014571436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/LH_Per_C_PtD,confidence_cop_v1,4582,0,0,0,1.0373611024003249e-09,9.724343292411008e-12,1.0373611024003249e-09,3.60998859694206e-08,1.1770057151139213e-11,1.1515205455836508e-11,1.227943649539931e-10,8.673617379884035e-19,2.336391513609476e-12,6.369687763352339e-19,1.0987299046769157,1.0987299045577124,0.002407611051897858,0.001808036417904852,0.0024907935519877357,0.0018280758980836254,0.003463180997641757,0.0025528639962431043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
