scan,mode,moving_controls,accepted_controls,strict_moving_coverage,counterfactual_segment_restarts,tank_min_j,tank_end_j,weak_side_mean_m_s,omega_error_p95_rad_s,pair_residual_p95_m_s,alpha_mean,cost_mean_s,cost_p95_s,deferrals,publication_rejections,old_candidate_final_omega_p95_rad_s
001/RH_Per_C_DtP,recorded_old,4838,4838,,0,0.09793125335521065,0.09816621103219812,,,,0.9791916447707354,0.002424132569888346,0.003177503748884191,0,1,0.02134779766925399
001/RH_Per_C_DtP,confidence_angular_v1,4838,4838,1.0,0,0.1,0.10927196576286458,,1.0587911840678754e-22,0.0,1.0,0.0017993481415950266,0.0018220213500171668,0,,
001/RH_Per_C_DtP,confidence_cop_v1,4838,4838,1.0,0,0.1,0.10927197280855498,,1.0587911840678754e-22,1.0720396189512543e-19,1.0,0.0017994356882736807,0.0018226453015813605,0,,
001/RH_Per_C_PtD,recorded_old,4845,4843,,0,0.09999993846327677,0.1180633951934052,0.0011955285273994296,,,0.9121509173579657,0.002777948295704778,0.0037077425993629733,0,2,0.008951338017258344
001/RH_Per_C_PtD,confidence_angular_v1,4845,4845,1.0,0,0.1,0.11978955952692417,0.0010135325910199248,4.336808689942018e-19,0.0,0.9295345388583988,0.0018038956681461654,0.001825673998973798,0,,
001/RH_Per_C_PtD,confidence_cop_v1,4845,4845,1.0,0,0.1,0.11918078936826604,0.00104018457000515,4.336808689942018e-19,1.0842021724855044e-19,0.9295345388583988,0.0018049389799491917,0.0018258231997606345,0,,
001/RH_Per_L_DtP,recorded_old,4878,4876,,0,0.1,0.10912741196914309,,,,0.9774452087230362,0.0023361984091933453,0.0030482197522360365,0,1,0.03499160916720041
001/RH_Per_L_DtP,confidence_angular_v1,4878,4878,1.0,0,0.1,0.12297238768889324,,1.0587911840678754e-22,0.0,1.0,0.0017897917873558025,0.0018131722525140503,0,,
001/RH_Per_L_DtP,confidence_cop_v1,4878,4878,1.0,0,0.1,0.12297237157476486,,1.0587911840678754e-22,1.36360765338397e-19,0.9999999999999948,0.001791895110519561,0.0018149095008993753,0,,
001/RH_Per_L_PtD,recorded_old,5027,5027,,0,0.09997871158359538,0.10431950123495538,0.0008473909296200329,,,0.8909835270788329,0.0027283282733107316,0.0035604773976956492,0,0,0.00468803367198832
