scan,mode,moving_samples,source_age_at_proposal_p95_s,source_age_at_proposal_max_s,deadline_15ms_count_lower,deadline_15ms_count_upper,deadline_15ms_fraction_lower,deadline_15ms_fraction_upper,cost_p95_deadline_scenario_count,compute_over_5ms_count_lower,compute_over_5ms_count_upper,compute_over_5ms_fraction_lower,compute_over_5ms_fraction_upper,cost_mean_s,cost_p95_s,cost_max_s
001/RH_Per_C_DtP,confidence_angular_v1,4838,0.005139513946778606,0.008113720999972429,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017993481415950266,0.0018220213500171668,0.002321158994163852
001/RH_Per_C_DtP,confidence_cop_v1,4838,0.005139513946778606,0.008113720999972429,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017994356882736807,0.0018226453015813605,0.002418121999653522
001/RH_Per_C_PtD,confidence_angular_v1,4845,0.005116193600406405,0.009004407002066728,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018038956681461654,0.001825673998973798,0.002465024997945875
001/RH_Per_C_PtD,confidence_cop_v1,4845,0.005116193600406405,0.009004407002066728,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018049389799491917,0.0018258231997606345,0.002725685997575056
001/RH_Per_L_DtP,confidence_angular_v1,4878,0.005117761203291591,0.007949434002512135,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017897917873558025,0.0018131722525140503,0.002751446001639124
001/RH_Per_L_DtP,confidence_cop_v1,4878,0.005117761203291591,0.007949434002512135,0,0,0.0,0.0,0,0,0,0.0,0.0,0.001791895110519561,0.0018149095008993753,0.0025546739998389967
001/RH_Per_L_PtD,confidence_angular_v1,5027,0.005095107002853183,0.009382320997247007,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018021462715402206,0.001824842201313004,0.0023442149977199733
001/RH_Per_L_PtD,confidence_cop_v1,5027,0.005095107002853183,0.009382320997247007,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018042685106673274,0.0018242793012177572,0.0027074940007878467
001/RH_Per_S_DtP,confidence_angular_v1,4857,0.0051103456004057074,0.009947850994649343,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017950405814532464,0.0018180987986852414,0.002713765003136359
001/RH_Per_S_DtP,confidence_cop_v1,4857,0.0051103456004057074,0.009947850994649343,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0017967518013245508,0.0018194684002082796,0.002386516993283294
003/LH_Per_C_DtP,confidence_angular_v1,4126,0.0050153764968854375,0.007736542000202462,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018124849624028422,0.0018352980023337295,0.001998191000893712
003/LH_Per_C_DtP,confidence_cop_v1,4126,0.0050153764968854375,0.007736542000202462,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018131691338754987,0.0018338642512389924,0.002517337998142466
003/LH_Per_C_PtD,confidence_angular_v1,4582,0.005101101748732617,0.007792263997544069,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018069440597775356,0.001827909104031278,0.0024666710014571436
003/LH_Per_C_PtD,confidence_cop_v1,4582,0.005101101748732617,0.007792263997544069,0,0,0.0,0.0,0,0,0,0.0,0.0,0.001808036417904852,0.0018280758980836254,0.0025528639962431043
003/LH_Per_L_DtP,confidence_angular_v1,4044,0.0051275891488330675,0.0077754289959557354,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018031653715578255,0.0018250887555041118,0.002350249997107312
003/LH_Per_L_DtP,confidence_cop_v1,4044,0.0051275891488330675,0.0077754289959557354,0,0,0.0,0.0,0,0,0,0.0,0.0,0.001805548825325253,0.0018268913489009719,0.002539136999985203
003/LH_Per_L_PtD,confidence_angular_v1,3918,0.005060397351189749,0.009044484999321867,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018078604321194556,0.0018300759034900692,0.002358058001846075
003/LH_Per_L_PtD,confidence_cop_v1,3918,0.005060397351189749,0.009044484999321867,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018090562176878756,0.001829461298257229,0.0025932749995263293
003/LH_Per_S_DtP,confidence_angular_v1,4801,0.005124819996126462,0.010347634000936523,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018028245353367458,0.0018252440058859065,0.0025275669977418147
003/LH_Per_S_DtP,confidence_cop_v1,4801,0.005124819996126462,0.010347634000936523,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018051858012535576,0.0018271090011694469,0.0029596430031233467
003/LH_Per_S_PtD,confidence_angular_v1,4294,0.0050634078503208,0.007159398999647237,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018017187093670153,0.0018249182005092735,0.002050777999102138
003/LH_Per_S_PtD,confidence_cop_v1,4294,0.0050634078503208,0.007159398999647237,0,0,0.0,0.0,0,0,0,0.0,0.0,0.001804813696097939,0.0018278304465638938,0.0026065330021083355
003/RH_Per_C_DtP,confidence_angular_v1,3862,0.00508796794529189,0.007466235001629684,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018020993008705207,0.001823709995005629,0.0023480289964936674
003/RH_Per_C_DtP,confidence_cop_v1,3862,0.00508796794529189,0.007466235001629684,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018043514155607293,0.0018263942019984825,0.002532541002437938
003/RH_Per_C_PtD,confidence_angular_v1,3615,0.005100918097741668,0.007149017998017371,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018045484771536447,0.001827780398161849,0.0023510190003435127
003/RH_Per_C_PtD,confidence_cop_v1,3615,0.005100918097741668,0.007149017998017371,0,791,0.0,0.21881051175656985,0,0,182,0.0,0.05034578146611342,0.001808682369242727,0.001828420999663649,0.01131951199931791
003/RH_Per_L_DtP,confidence_angular_v1,3951,0.0051473239982442465,0.00855207000131486,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018039874509935868,0.0018276070004503708,0.001924340998812113
003/RH_Per_L_DtP,confidence_cop_v1,3951,0.0051473239982442465,0.00855207000131486,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0018067999091650536,0.0018298835020686965,0.002299813997524325
