scan,mode,moving_samples,source_age_at_proposal_p95_s,source_age_at_proposal_max_s,deadline_15ms_count_lower,deadline_15ms_count_upper,deadline_15ms_fraction_lower,deadline_15ms_fraction_upper,cost_p95_deadline_scenario_count,compute_over_5ms_count_lower,compute_over_5ms_count_upper,compute_over_5ms_fraction_lower,compute_over_5ms_fraction_upper,cost_mean_s,cost_p95_s,cost_max_s
001/RH_Per_C_DtP,confidence_angular_v1,4838,0.005139513946778606,0.008113720999972429,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023438246039748497,0.0024330255975655744,0.003507785004330799
001/RH_Per_C_DtP,confidence_cop_v1,4838,0.005139513946778606,0.008113720999972429,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023436369794980257,0.0024332083463377784,0.0035321179966558702
001/RH_Per_C_PtD,confidence_angular_v1,4845,0.005116193600406405,0.009004407002066728,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002433399404475085,0.002551022199622821,0.003078061003179755
001/RH_Per_C_PtD,confidence_cop_v1,4845,0.005116193600406405,0.009004407002066728,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024331441668073803,0.002550364400667604,0.0030730900034541264
001/RH_Per_L_DtP,confidence_angular_v1,4878,0.005117761203291591,0.007949434002512135,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002441374966208815,0.00262902750109788,0.0032333609997294843
001/RH_Per_L_DtP,confidence_cop_v1,4878,0.005117761203291591,0.007949434002512135,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002438623496899951,0.0026270485461282076,0.0034970519991475157
001/RH_Per_L_PtD,confidence_angular_v1,5027,0.005095107002853183,0.009382320997247007,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002412707423102744,0.002527964399632765,0.0032271640011458658
001/RH_Per_L_PtD,confidence_cop_v1,5027,0.005095107002853183,0.009382320997247007,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002411525431103519,0.0025241690971597565,0.002977208001539111
001/RH_Per_S_DtP,confidence_angular_v1,4857,0.0051103456004057074,0.009947850994649343,0,3,0.0,0.0006176652254478073,0,0,244,0.0,0.050236771669754994,0.002399059068368505,0.002482235198840499,0.006260590998863336
001/RH_Per_S_DtP,confidence_cop_v1,4857,0.0051103456004057074,0.009947850994649343,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002395802018542761,0.0024820471997372808,0.0033071260040742345
003/LH_Per_C_DtP,confidence_angular_v1,4126,0.0050153764968854375,0.007736542000202462,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024112235704755926,0.002488016751158284,0.0035212530056014657
003/LH_Per_C_DtP,confidence_cop_v1,4126,0.0050153764968854375,0.007736542000202462,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024089401815214923,0.002483770504113636,0.0028821519954362884
003/LH_Per_C_PtD,confidence_angular_v1,4582,0.005101101748732617,0.007792263997544069,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002407650867964139,0.002491979447950143,0.003183758999512065
003/LH_Per_C_PtD,confidence_cop_v1,4582,0.005101101748732617,0.007792263997544069,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002407611051897858,0.0024907935519877357,0.003463180997641757
003/LH_Per_L_DtP,confidence_angular_v1,4044,0.0051275891488330675,0.0077754289959557354,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023921006706675084,0.0024770619500486648,0.0034055180003633723
003/LH_Per_L_DtP,confidence_cop_v1,4044,0.0051275891488330675,0.0077754289959557354,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002389907654005772,0.002475749847872066,0.0032177400062209927
003/LH_Per_L_PtD,confidence_angular_v1,3918,0.005060397351189749,0.009044484999321867,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023774838499078933,0.0024636850466777105,0.0032584529981249943
003/LH_Per_L_PtD,confidence_cop_v1,3918,0.005060397351189749,0.009044484999321867,0,225,0.0,0.05742725880551302,0,0,197,0.0,0.05028075548749362,0.002377622008095682,0.0024611707453004784,0.010035061000962742
003/LH_Per_S_DtP,confidence_angular_v1,4801,0.005124819996126462,0.010347634000936523,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023575283121938986,0.002443445999233518,0.0032613319999654777
003/LH_Per_S_DtP,confidence_cop_v1,4801,0.005124819996126462,0.010347634000936523,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023556595317438234,0.0024418539978796616,0.002964674997201655
003/LH_Per_S_PtD,confidence_angular_v1,4294,0.0050634078503208,0.007159398999647237,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023584608702805587,0.002456118402915308,0.0025763630037545227
003/LH_Per_S_PtD,confidence_cop_v1,4294,0.0050634078503208,0.007159398999647237,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023562702631515385,0.002453119450365193,0.003319358002045192
003/RH_Per_C_DtP,confidence_angular_v1,3862,0.00508796794529189,0.007466235001629684,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002305542583142767,0.0024031082495639565,0.002950943999167066
003/RH_Per_C_DtP,confidence_cop_v1,3862,0.00508796794529189,0.007466235001629684,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002303637588538465,0.002401026600637124,0.0029180850033299066
003/RH_Per_C_PtD,confidence_angular_v1,3615,0.005100918097741668,0.007149017998017371,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002356276991147948,0.0024456567000015637,0.0030804010020801798
003/RH_Per_C_PtD,confidence_cop_v1,3615,0.005100918097741668,0.007149017998017371,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002353250726970588,0.002442795396927977,0.0026936970025417395
003/RH_Per_L_DtP,confidence_angular_v1,3951,0.0051473239982442465,0.00855207000131486,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023529576256625957,0.0024405764997936785,0.0031338479966507293
003/RH_Per_L_DtP,confidence_cop_v1,3951,0.0051473239982442465,0.00855207000131486,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002351644842093672,0.002439776999381138,0.003249603003496304
003/RH_Per_L_PtD,confidence_angular_v1,3682,0.005149691450060345,0.007085413002641872,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023257454318485245,0.0024359464972803836,0.0029753990020253696
003/RH_Per_L_PtD,confidence_cop_v1,3682,0.005149691450060345,0.007085413002641872,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023246146309559928,0.0024342004471691325,0.002999598000315018
003/RH_Per_S_DtP,confidence_angular_v1,4202,0.00516486590313434,0.00784054999530781,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023625969316733958,0.0024548684988985768,0.00321681700006593
003/RH_Per_S_DtP,confidence_cop_v1,4202,0.00516486590313434,0.00784054999530781,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002359242356937278,0.002449523249742924,0.003514933996484615
003/RH_Per_S_PtD,confidence_angular_v1,3920,0.005108725298487116,0.008964654000010341,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023424794257579733,0.0024578980002843307,0.0029776060036965646
003/RH_Per_S_PtD,confidence_cop_v1,3920,0.005108725298487116,0.008964654000010341,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002341599425293754,0.0024625070032925577,0.0029613419974339195
007/LH_Per_C_DtP,confidence_angular_v1,3827,0.0052138368992018505,0.009810076997382566,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00243402046747506,0.002550727802736219,0.003021205004188232
007/LH_Per_C_DtP,confidence_cop_v1,3827,0.0052138368992018505,0.009810076997382566,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002434086253162753,0.00254480280491407,0.0029660590007551946
007/LH_Per_C_PtD,confidence_angular_v1,3308,0.005223279699202972,0.007374161999905482,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024572447647894942,0.0026669572482205693,0.003275852999649942
007/LH_Per_C_PtD,confidence_cop_v1,3308,0.005223279699202972,0.007374161999905482,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024580026548230533,0.0026674141983676234,0.0032092559995362535
007/LH_Per_L_DtP,confidence_angular_v1,3325,0.00529425780114252,0.009931282998877577,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024132125392705866,0.0025074220015085303,0.003058600996155292
007/LH_Per_L_DtP,confidence_cop_v1,3325,0.00529425780114252,0.009931282998877577,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024152425566317925,0.0025075394005398266,0.0030593219998991117
007/LH_Per_L_PtD,confidence_angular_v1,3327,0.005255638700327833,0.0110943550025695,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024098604836521897,0.002512293600739213,0.0033087280025938526
007/LH_Per_L_PtD,confidence_cop_v1,3327,0.005255638700327833,0.0110943550025695,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002407990159583698,0.002507598701777169,0.0034442830001353286
007/LH_Per_S_DtP,confidence_angular_v1,3418,0.005172742549984832,0.008888844000466634,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0024000707899831213,0.0024838235549395904,0.0029579529946204275
007/LH_Per_S_DtP,confidence_cop_v1,3418,0.005172742549984832,0.008888844000466634,0,0,0.0,0.0,0,0,0,0.0,0.0,0.00240062239705306,0.00248414659545233,0.003452112003287766
007/LH_Per_S_PtD,confidence_angular_v1,3460,0.005164036349742673,0.008858708002662752,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023874372586040493,0.002475812098782626,0.0034466279976186343
007/LH_Per_S_PtD,confidence_cop_v1,3460,0.005164036349742673,0.008858708002662752,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023871298366892617,0.002475865196902305,0.0032211050056503154
007/RH_Per_C_DtP,confidence_angular_v1,3595,0.0052937406966520936,0.008792669999820646,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023901735468876387,0.0024801071973342913,0.0025970640053856187
007/RH_Per_C_DtP,confidence_cop_v1,3595,0.0052937406966520936,0.008792669999820646,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002390335497627458,0.002480011799343629,0.003130323995719664
007/RH_Per_C_PtD,confidence_angular_v1,3539,0.005260887699114391,0.0075844950042665005,0,0,0.0,0.0,0,0,0,0.0,0.0,0.002393540612260136,0.002477002501836978,0.0036402169935172424
007/RH_Per_C_PtD,confidence_cop_v1,3539,0.005260887699114391,0.0075844950042665005,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023931521593190458,0.0024774188990704716,0.0031737999961478636
007/RH_Per_L_DtP,confidence_angular_v1,3581,0.005187775997910649,0.009613858004740905,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0023887559029280385,0.002469444996677339,0.0025302320063929074
