sample_t_mono_s,status_t_mono_s,force_seq,force_t_s,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,desired_fz_n,stage,contact,vz_cmd_mm_s,valid,stale,wrench_complete,force_source,mode,status_msg
916253.499333943,916253.49710573,6071,1788821919.4429107,0.15967234177074302,0.3426446284218679,-0.21151988867462895,0.0666027514206491,-0.015144665142738533,0.011658979223817815,4.0,approach,0,0.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+0.0
916253.50926749,916253.506590994,6073,1788821919.4681451,0.28558067605539084,0.41452795610961,-0.21948558861369646,0.0710718011464825,-0.028058386852744775,0.01014201671791215,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.519292929,916253.516441995,6075,1788821919.4779987,0.11326767349997152,0.17545203155740843,-0.1978560090305107,0.0533470581653444,-0.012676590853654031,0.0019866375152934462,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.529357955,916253.526861138,6077,1788821919.488418,0.20686760094903223,0.24494832813481895,-0.3296893790830261,0.059218800755480666,-0.015753770400261845,0.0082161822119157,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.539318801,916253.536552064,6079,1788821919.4981074,0.03706919062743223,0.13874484808130458,-0.18991986012398251,0.0503312335753638,-0.007371084587072375,-0.0016359510328553227,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.549372098,916253.546260924,6081,1788821919.5078177,0.21880380508857186,0.3591177574505502,0.20047269977026447,0.07630289515261535,-0.03047490599899094,0.008446378095672245,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.559343382,916253.556323163,6083,1788821919.5178783,0.013631196308784621,0.2176788529503638,-0.3535381510533618,0.055312497295715995,-0.0014996497079944721,-0.0005484332770998024,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.569349029,916253.566505602,6085,1788821919.5280635,0.08811163889363717,0.24985749667494778,-0.3093016197262914,0.05845765889868647,-0.011240728743031527,0.009138052096361596,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.579368739,916253.576519711,6087,1788821919.5380752,0.1580828192426243,0.22460965570707808,-0.07828429147129556,0.05760166400278355,-0.019992273438852088,-0.000927834633981918,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.589352309,916253.586346931,6089,1788821919.5479047,0.0782058326540393,0.32276439176186417,-0.3592260568403357,0.06306308847875014,-0.010631660786762203,0.011596571008333167,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
