t_wall_s,phase,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w
0.0013,move->d,0.0050,0.005000,-0.001100,-0.454152,0.419997,1.504666,-0.024993,1.571791,0.418477,0.000000,-0.001100,-0.454152,0.419996,1.504666,-0.024993,1.571791,0.418478,0.244305,-0.313412,0.236872,3.138204,0.523818,3.141130,-0.00003,0.00005,-0.00005,-0.00003,0.00014,0.00023,0.038,0.0000,0.00000,0,0,0,1,0.451,-0.126,0.041,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.12833,0.00022,0.0001,0.00010,0.0000,1.0000,5.000,0.00000,0.0000
0.0062,move->d,0.0100,0.009992,-0.001075,-0.454190,0.419858,1.504706,-0.024979,1.571788,0.418361,0.005000,-0.001065,-0.454152,0.419996,1.504701,-0.024976,1.571826,0.418460,0.244283,-0.308408,0.236852,3.138227,0.523747,3.141187,0.00002,-0.00995,-0.00001,0.00001,0.00000,0.00014,4.977,0.0020,0.00000,0,0,1,0,0.450,-0.126,0.041,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.12833,0.03850,0.0500,0.00500,0.0000,0.9167,4.968,0.00000,0.0000
0.0130,move->d,0.0150,0.014977,-0.001028,-0.454267,0.419582,1.504785,-0.024951,1.571781,0.418128,0.009992,-0.001100,-0.454187,0.420013,1.504736,-0.024993,1.571826,0.418478,0.244280,-0.303431,0.236849,3.138256,0.523757,3.141153,0.00003,-0.01991,-0.00000,0.00006,0.00002,0.00023,9.953,0.0089,0.00001,0,0,1,0,0.447,-0.125,0.042,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.12833,0.07702,0.0999,0.00999,0.0000,0.8335,4.935,0.00000,0.0000
0.0181,move->d,0.0200,0.019955,-0.000955,-0.454383,0.419168,1.504904,-0.024910,1.571772,0.417780,0.014977,-0.001117,-0.454100,0.420013,1.504701,-0.024976,1.571791,0.418460,0.244296,-0.298434,0.236845,3.138222,0.523726,3.141154,-0.00001,-0.02990,0.00001,0.00000,-0.00004,0.00020,14.950,0.0247,0.00001,0,0,1,0,0.444,-0.124,0.044,nan,nan,nan,nan,nan,nan,0,0.9975,0.9010,0.12833,0.11543,0.1498,0.01499,0.0000,0.7504,4.903,0.00000,0.0000
0.0217,move->d,0.0250,0.024925,-0.000860,-0.454537,0.418615,1.505062,-0.024855,1.571760,0.417316,0.019955,-0.001100,-0.454187,0.420048,1.504701,-0.024923,1.571826,0.418460,0.244275,-0.293432,0.236854,3.138206,0.523761,3.141212,0.00004,-0.03990,-0.00001,-0.00002,0.00003,0.00007,19.953,0.0505,0.00002,0,0,1,0,0.442,-0.124,0.044,nan,nan,nan,nan,nan,nan,0,0.9926,0.8009,0.12833,0.15378,0.1995,0.01999,0.0000,0.6674,4.870,0.00000,0.0000
0.0262,move->d,0.0299,0.029887,-0.000740,-0.454729,0.417926,1.505259,-0.024787,1.571745,0.416737,0.024925,-0.001065,-0.454152,0.420048,1.504753,-0.024976,1.571791,0.418425,0.244279,-0.288474,0.236837,3.138282,0.523731,3.141289,0.00003,-0.04982,0.00002,0.00011,-0.00003,-0.00001,24.910,0.0821,0.00002,0,0,1,0,0.439,-0.125,0.046,nan,nan,nan,nan,nan,nan,0,0.9853,0.7018,0.12832,0.19193,0.2492,0.02500,0.0000,0.5846,4.838,0.00000,0.0000
0.0312,move->d,0.0348,0.034842,-0.000597,-0.454959,0.417099,1.505495,-0.024705,1.571728,0.416043,0.029887,-0.001100,-0.454100,0.420013,1.504701,-0.024976,1.571791,0.418460,0.244295,-0.283520,0.236845,3.138222,0.523726,3.141172,-0.00000,-0.05973,0.00001,0.00001,-0.00004,0.00016,29.864,0.1196,0.00003,0,0,1,0,0.435,-0.125,0.049,nan,nan,nan,nan,nan,nan,0,0.9758,0.6027,0.12832,0.23011,0.2988,0.03002,0.0000,0.5019,4.806,0.00000,0.0000
0.0362,move->d,0.0396,0.039789,-0.000431,-0.455227,0.416136,1.505770,-0.024611,1.571707,0.415233,0.034842,-0.001065,-0.454187,0.420048,1.504683,-0.024941,1.571826,0.418478,0.244277,-0.278540,0.236862,3.138204,0.523784,3.141226,0.00003,-0.06969,-0.00003,-0.00002,0.00007,0.00003,34.845,0.1690,0.00003,0,0,1,0,0.431,-0.124,0.052,nan,nan,nan,nan,nan,nan,0,0.9640,0.5031,0.12831,0.26815,0.3484,0.03507,0.0000,0.4193,4.773,0.00000,0.0000
0.0412,move->d,0.0443,0.044729,-0.000243,-0.455533,0.415038,1.506084,-0.024504,1.571684,0.414309,0.039789,-0.001047,-0.454117,0.419961,1.504701,-0.024976,1.571826,0.418460,0.244284,-0.273622,0.236845,3.138209,0.523712,3.141164,0.00002,-0.07952,0.00001,-0.00001,-0.00007,0.00016,39.763,0.2191,0.00003,0,0,1,0,0.428,-0.124,0.054,nan,nan,nan,nan,nan,nan,0,0.9500,0.4047,0.12830,0.30590,0.3978,0.04014,0.0000,0.3368,4.741,0.00000,0.0000
0.0462,move->d,0.0490,0.049662,-0.000032,-0.455876,0.413804,1.506435,-0.024383,1.571658,0.413269,0.044729,-0.001100,-0.454170,0.420013,1.504683,-0.024976,1.571826,0.418478,0.244288,-0.268681,0.236862,3.138218,0.523780,3.141151,0.00001,-0.08940,-0.00003,0.00000,0.00006,0.00020,44.704,0.2851,0.00004,0,0,1,0,0.425,-0.123,0.057,nan,nan,nan,nan,nan,nan,0,0.9339,0.3059,0.12829,0.34378,0.4472,0.04524,0.0000,0.2545,4.709,0.00000,0.0000
