t_wall_s,phase,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0013,move->d,0.0000,0.000498,0.231153,-0.813949,-0.540263,0.669061,-0.003731,2.198665,-0.131350,-0.000002,0.230994,-0.814161,-0.539813,0.669351,-0.003281,2.199115,-0.130900,0.122963,-0.495064,0.422342,2.827947,-0.516618,-3.073299,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0000,0.51120,1,1,0,1,-0.055,-0.139,-0.332,nan,nan,nan,nan,nan,nan,0,0.0001,1.0000,0.08053,0.58423,5.5023,0.00000,0.0000,1.0000,0.247,0.46579,4.0000,0.000498,-0.000002,,0,0.000000
0.0062,move->d,0.0001,0.000998,0.231762,-0.813944,-0.541163,0.669221,-0.004631,2.197765,-0.132250,-0.000002,0.231029,-0.814161,-0.539813,0.669334,-0.003281,2.199080,-0.130952,0.122972,-0.495067,0.422357,2.828012,-0.516571,-3.073290,-0.00002,0.00001,-0.00003,0.00011,0.00010,-0.00008,0.018,0.0286,0.42942,1,1,0,1,-0.055,-0.139,-0.331,nan,nan,nan,nan,nan,nan,0,0.0167,1.0000,0.08054,0.62903,5.0023,0.00110,0.0000,0.9917,0.157,0.46529,4.0000,0.000998,-0.000002,,0,-0.000500
0.0112,move->d,0.0003,0.001498,0.232821,-0.814276,-0.542513,0.669831,-0.005981,2.196575,-0.133600,-0.000002,0.231047,-0.814126,-0.539778,0.669386,-0.003316,2.199080,-0.130952,0.122981,-0.495060,0.422338,2.828028,-0.516661,-3.073269,-0.00004,-0.00001,0.00001,0.00015,-0.00008,-0.00014,0.019,0.0794,0.34896,1,1,0,1,-0.052,-0.138,-0.327,nan,nan,nan,nan,nan,nan,0,0.0333,1.0000,0.08065,0.73631,4.5023,0.00299,0.0000,0.9834,0.239,0.46479,4.0000,0.001498,-0.000002,,0,-0.001000
0.0162,move->d,0.0005,0.001998,0.234330,-0.814983,-0.544313,0.670891,-0.007781,2.195141,-0.135400,-0.000002,0.230977,-0.814126,-0.539813,0.669334,-0.003281,2.199080,-0.130952,0.122974,-0.495072,0.422354,2.828018,-0.516605,-3.073345,-0.00002,0.00002,-0.00002,0.00012,0.00003,0.00002,0.018,0.1547,0.27311,1,1,0,1,-0.050,-0.137,-0.322,nan,nan,nan,nan,nan,nan,0,0.0500,1.0000,0.08085,0.88730,4.0023,0.00584,0.0000,0.9750,0.410,0.46429,4.0000,0.001998,-0.000002,,0,-0.001500
0.0212,move->d,0.0008,0.002498,0.236289,-0.816074,-0.546366,0.672401,-0.010031,2.193463,-0.137650,-0.000002,0.230977,-0.814126,-0.539813,0.669334,-0.003281,2.199080,-0.130952,0.122974,-0.495072,0.422354,2.828018,-0.516605,-3.073345,-0.00002,0.00002,-0.00002,0.00012,0.00003,0.00002,0.018,0.2578,0.19853,1,1,0,1,-0.047,-0.136,-0.317,nan,nan,nan,nan,nan,nan,0,0.0667,1.0000,0.08116,1.04933,3.5023,0.00973,0.0000,0.9667,0.561,0.46379,4.0000,0.002498,-0.000002,,0,-0.002000
0.0262,move->d,0.0013,0.002998,0.238697,-0.817121,-0.548869,0.673461,-0.012411,2.192089,-0.140350,-0.000002,0.230994,-0.814161,-0.539813,0.669351,-0.003299,2.199097,-0.130952,0.122966,-0.495072,0.422345,2.828000,-0.516609,-3.073322,-0.00000,0.00002,-0.00001,0.00009,0.00003,-0.00001,0.009,0.3857,0.13180,1,1,0,1,-0.044,-0.134,-0.313,nan,nan,nan,nan,nan,nan,0,0.0833,1.0000,0.08156,1.12047,3.0023,0.01460,0.0000,0.9584,0.633,0.46329,4.0000,0.002998,-0.000002,,0,-0.002500
0.0312,move->d,0.0018,0.003498,0.241556,-0.817954,-0.551823,0.674071,-0.014747,2.190902,-0.143261,-0.000002,0.230994,-0.814161,-0.539813,0.669351,-0.003299,2.199097,-0.130952,0.122966,-0.495071,0.422345,2.828000,-0.516609,-3.073322,-0.00000,0.00001,-0.00001,0.00009,0.00003,-0.00001,0.008,0.5384,0.08060,1,1,0,1,-0.038,-0.134,-0.308,nan,nan,nan,nan,nan,nan,0,0.1000,1.0000,0.08196,1.18097,2.5023,0.01995,0.0000,0.9500,0.669,0.46279,4.0000,0.003498,-0.000002,,0,-0.003000
0.0362,move->d,0.0023,0.003998,0.244124,-0.818482,-0.554539,0.674231,-0.016633,2.190068,-0.145783,-0.000002,0.230994,-0.814196,-0.539778,0.669351,-0.003281,2.199080,-0.130935,0.122965,-0.495063,0.422359,2.828012,-0.516548,-3.073303,-0.00000,-0.00000,-0.00003,0.00010,0.00015,-0.00006,0.017,0.7063,0.05767,1,1,0,1,-0.032,-0.134,-0.303,nan,nan,nan,nan,nan,nan,0,0.1167,1.0000,0.08237,1.01766,2.0023,0.02562,0.0000,0.9417,0.499,0.46229,4.0000,0.003998,-0.000002,,0,-0.003500
0.0412,move->d,0.0030,0.004498,0.246243,-0.818755,-0.556842,0.673940,-0.018069,2.189675,-0.147855,-0.000002,0.231029,-0.814161,-0.539830,0.669386,-0.003299,2.199097,-0.130935,0.122969,-0.495066,0.422333,2.827960,-0.516642,-3.073275,-0.00001,0.00001,0.00002,0.00003,-0.00005,-0.00006,0.011,0.8507,0.03856,1,1,0,1,-0.028,-0.134,-0.298,nan,nan,nan,nan,nan,nan,0,0.1333,1.0000,0.08271,0.82513,1.5023,0.03049,0.0000,0.9334,0.299,0.46179,4.0000,0.004498,-0.000002,,0,-0.004000
0.0462,move->d,0.0038,0.004998,0.247930,-0.818763,-0.558744,0.673200,-0.019054,2.189714,-0.149477,-0.000002,0.231029,-0.814179,-0.539830,0.669351,-0.003299,2.199097,-0.130952,0.122965,-0.495071,0.422345,2.827983,-0.516593,-3.073290,-0.00000,0.00001,-0.00001,0.00006,0.00005,-0.00005,0.008,0.9747,0.02481,1,1,0,1,-0.023,-0.134,-0.294,nan,nan,nan,nan,nan,nan,0,0.1500,1.0000,0.08294,0.65938,1.0023,0.03435,0.0000,0.9250,0.114,0.46129,4.0000,0.004998,-0.000002,,0,-0.004500
