t_wall_s,phase,controller_mode,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,twist_requested_vx,twist_requested_vy,twist_requested_vz,twist_requested_wx,twist_requested_wy,twist_requested_wz,twist_achieved_vx,twist_achieved_vy,twist_achieved_vz,twist_achieved_wx,twist_achieved_wy,twist_achieved_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,damping_ke_z,damping_dimeas_z,damping_passivity_z,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,dt_actual_s,sensor_age_s,fx_raw_comp,fy_raw_comp,fz_raw_comp,fz_dot,fz_predicted,fz_error_predicted,vz_surface,vz_surface_raw,vz_surface_observed,vz_integral,vz_feedback,vz_unclamped,vz_achieved_tool,surface_confidence,passivity_scale,passivity_energy_j,contact_present,active_reference_reset,sensor_stale,safety_stop,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0011,move->d,none,0.0000,0.000000,-0.034610,-0.459632,0.007679,1.460334,0.029304,1.121566,1.560185,0.000000,-0.034610,-0.459615,0.007645,1.460387,0.029322,1.121549,1.560185,0.209782,-0.399272,0.399260,3.127213,-0.551255,-3.140438,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0030,0.00000,0,0,0,0,0.226,0.965,0.393,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005000,0.000686,0.226,0.965,0.393,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,0,0,0,0,0.0002,1.0000,0.12116,0.00000,0.0000,0.00007,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,0.000000,0.000000,1,0.000000
0.0067,move->d,none,0.0001,0.000000,-0.034610,-0.459632,0.007679,1.460335,0.029304,1.121566,1.560185,0.000000,-0.034610,-0.459632,0.007662,1.460369,0.029322,1.121566,1.560167,0.209777,-0.399269,0.399267,3.127241,-0.551237,-3.140427,0.00001,-0.00001,-0.00001,0.00005,0.00003,-0.00005,0.00001,-0.00001,-0.00001,0.00005,0.00003,-0.00005,-0.00091,0.00064,0.00130,-0.00455,-0.00336,0.00489,0.009,0.0020,0.00000,0,0,0,0,0.225,0.964,0.392,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005637,0.001223,0.128,0.939,0.330,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000620,nan,nan,nan,0,0,0,0,0.0190,1.0000,0.12116,0.00007,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,0.000000,0.000000,1,0.000000
0.0125,move->d,none,0.0003,0.000000,-0.034610,-0.459632,0.007679,1.460334,0.029304,1.121565,1.560185,0.000000,-0.034610,-0.459615,0.007662,1.460439,0.029356,1.121618,1.560185,0.209765,-0.399259,0.399233,3.127185,-0.551376,-3.140388,0.00003,-0.00003,0.00005,-0.00005,-0.00024,-0.00007,0.00003,-0.00003,0.00005,-0.00005,-0.00024,-0.00007,-0.00206,0.00173,-0.00595,0.00836,0.02449,0.00186,0.034,0.0060,0.00000,0,0,0,0,0.223,0.963,0.390,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005761,0.001311,0.171,0.906,0.342,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006170,nan,nan,nan,0,0,0,0,0.0382,1.0000,0.12116,0.00019,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0182,move->d,none,0.0006,0.000000,-0.034610,-0.459632,0.007679,1.460334,0.029304,1.121565,1.560185,-0.000000,-0.034610,-0.459615,0.007662,1.460387,0.029356,1.121549,1.560167,0.209782,-0.399261,0.399260,3.127205,-0.551254,-3.140390,-0.00000,-0.00002,-0.00000,-0.00001,0.00000,-0.00009,-0.00000,-0.00002,-0.00000,-0.00001,0.00000,-0.00009,0.00287,-0.00035,0.00471,-0.00297,-0.02118,0.00136,0.011,0.0030,0.00000,0,0,0,0,0.219,0.961,0.387,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005757,0.001318,0.171,0.906,0.343,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.005515,nan,nan,nan,0,0,0,0,0.0574,1.0000,0.12116,0.00006,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0235,move->d,none,0.0009,0.000000,-0.034610,-0.459632,0.007679,1.460334,0.029304,1.121565,1.560185,-0.000000,-0.034627,-0.459615,0.007610,1.460369,0.029304,1.121601,1.560185,0.209773,-0.399289,0.399258,3.127212,-0.551289,-3.140495,0.00002,0.00003,0.00000,-0.00000,-0.00007,0.00011,0.00002,0.00003,0.00000,-0.00000,-0.00007,0.00011,-0.00151,-0.00488,-0.00035,-0.00103,0.00616,-0.01766,0.019,0.0040,0.00000,0,0,0,0,0.215,0.959,0.384,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005284,0.000883,0.237,1.088,0.418,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001026,nan,nan,nan,0,0,0,0,0.0750,1.0000,0.12116,0.00014,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0287,move->d,none,0.0014,0.000000,-0.034610,-0.459633,0.007679,1.460334,0.029304,1.121564,1.560185,-0.000000,-0.034575,-0.459580,0.007679,1.460422,0.029304,1.121566,1.560185,0.209781,-0.399260,0.399239,3.127246,-0.551343,-3.140398,0.00000,-0.00002,0.00004,0.00006,-0.00018,-0.00011,0.00000,-0.00002,0.00004,0.00006,-0.00018,-0.00011,0.00162,0.00557,-0.00377,-0.00557,0.01038,0.02213,0.024,0.0050,0.00000,0,0,0,0,0.211,0.958,0.382,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005195,0.000927,0.083,0.850,0.392,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002438,nan,nan,nan,0,0,0,0,0.0923,1.0000,0.12116,0.00014,0.0000,0.00001,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0339,move->d,none,0.0020,0.000000,-0.034610,-0.459633,0.007679,1.460334,0.029304,1.121564,1.560185,-0.000000,-0.034627,-0.459580,0.007679,1.460387,0.029304,1.121566,1.560167,0.209784,-0.399272,0.399250,3.127265,-0.551308,-3.140451,-0.00000,0.00000,0.00002,0.00009,-0.00011,-0.00003,-0.00000,0.00000,0.00002,0.00009,-0.00011,-0.00003,0.00049,-0.00246,0.00223,-0.00314,-0.00692,-0.00855,0.010,0.0030,0.00000,0,0,0,0,0.205,0.957,0.381,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005145,0.001034,0.122,1.020,0.392,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002196,nan,nan,nan,0,0,0,0,0.1095,1.0000,0.12116,0.00012,0.0001,0.00001,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0393,move->d,none,0.0026,0.000000,-0.034610,-0.459633,0.007679,1.460334,0.029304,1.121564,1.560185,-0.000000,-0.034610,-0.459580,0.007662,1.460369,0.029356,1.121566,1.560167,0.209785,-0.399261,0.399256,3.127204,-0.551289,-3.140389,-0.00001,-0.00002,0.00001,-0.00002,-0.00007,-0.00009,-0.00001,-0.00002,0.00001,-0.00002,-0.00007,-0.00009,0.00025,0.00209,0.00109,0.00941,-0.00348,0.00552,0.012,0.0030,0.00000,0,0,0,0,0.199,0.958,0.381,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005401,0.000982,0.269,1.107,0.460,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001034,nan,nan,nan,0,0,0,0,0.1275,1.0000,0.12116,0.00012,0.0000,0.00001,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0448,move->d,none,0.0033,0.000000,-0.034611,-0.459633,0.007679,1.460334,0.029304,1.121564,1.560185,-0.000000,-0.034645,-0.459667,0.007645,1.460387,0.029356,1.121566,1.560167,0.209770,-0.399272,0.399269,3.127198,-0.551219,-3.140437,0.00002,0.00000,-0.00002,-0.00003,0.00007,0.00001,0.00002,0.00000,-0.00002,-0.00003,0.00007,0.00001,-0.00278,-0.00209,0.00234,0.00096,-0.01288,-0.00933,0.014,0.0030,0.00000,0,0,0,0,0.195,0.961,0.383,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005514,0.001060,0.189,0.982,0.402,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000561,nan,nan,nan,0,0,0,0,0.1458,1.0000,0.12116,0.00012,0.0001,0.00001,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0498,move->d,none,0.0041,0.000000,-0.034610,-0.459633,0.007679,1.460334,0.029304,1.121564,1.560185,-0.000000,-0.034645,-0.459615,0.007662,1.460387,0.029322,1.121566,1.560150,0.209778,-0.399278,0.399258,3.127257,-0.551272,-3.140462,0.00001,0.00001,0.00001,0.00007,-0.00004,0.00000,0.00001,0.00001,0.00001,0.00007,-0.00004,0.00000,0.00155,-0.00101,-0.00212,-0.00948,0.01008,0.00112,0.007,0.0030,0.00000,0,0,0,0,0.191,0.965,0.385,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005054,0.000823,0.083,0.883,0.337,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000976,nan,nan,nan,0,0,0,0,0.1627,1.0000,0.12116,0.00007,0.0000,0.00001,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,0.000000,1,0.000000
