t_wall_s,phase,controller_mode,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,twist_requested_vx,twist_requested_vy,twist_requested_vz,twist_requested_wx,twist_requested_wy,twist_requested_wz,twist_achieved_vx,twist_achieved_vy,twist_achieved_vz,twist_achieved_wx,twist_achieved_wy,twist_achieved_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,damping_ke_z,damping_dimeas_z,damping_passivity_z,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,dt_actual_s,sensor_age_s,fx_raw_comp,fy_raw_comp,fz_raw_comp,fz_dot,fz_predicted,fz_error_predicted,vz_surface,vz_surface_raw,vz_surface_observed,vz_integral,vz_feedback,vz_unclamped,vz_achieved_tool,surface_confidence,passivity_scale,passivity_energy_j,contact_present,active_reference_reset,force_event_active,force_event_reason,force_event_count,sensor_stale,safety_stop,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0009,move->d,none,0.0000,0.000000,-0.025779,-0.543269,0.001047,1.597989,0.028100,1.066449,1.555734,-0.000000,-0.025779,-0.543269,0.001047,1.597989,0.028100,1.066449,1.555734,0.197059,-0.399505,0.379451,3.128628,-0.550035,-3.137956,0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0000,0.00000,0,0,0,1,0.154,0.984,0.436,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005000,0.001956,0.154,0.984,0.436,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,0,0,0,,0,0,0,0.0002,1.0000,0.12968,0.00000,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0070,move->d,none,0.0001,0.000000,-0.025778,-0.543268,0.001047,1.597989,0.028100,1.066449,1.555734,-0.000000,-0.025813,-0.543304,0.001030,1.597936,0.028065,1.066449,1.555734,0.197058,-0.399524,0.379475,3.128656,-0.549949,-3.138037,0.00000,0.00004,-0.00005,0.00005,0.00017,0.00013,0.00000,0.00004,-0.00005,0.00005,0.00017,0.00013,-0.00010,-0.00260,0.00326,-0.00320,-0.01178,-0.00911,0.031,0.0030,0.00000,0,0,0,0,0.150,0.981,0.432,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006048,0.000718,0.109,0.951,0.394,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002754,nan,nan,nan,0,0,0,,0,0,0,0.0204,1.0000,0.12968,0.00017,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0129,move->d,none,0.0003,0.000000,-0.025778,-0.543269,0.001047,1.597990,0.028100,1.066449,1.555734,-0.000000,-0.025813,-0.543216,0.001047,1.597936,0.028082,1.066449,1.555734,0.197070,-0.399516,0.379458,3.128645,-0.550036,-3.138009,-0.00002,0.00002,-0.00001,0.00003,-0.00000,0.00009,-0.00002,0.00002,-0.00001,0.00003,-0.00000,0.00009,0.00207,0.00135,-0.00291,0.00143,0.01476,0.00399,0.017,0.0030,0.00000,0,0,0,0,0.153,0.991,0.436,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005928,0.000747,0.214,1.119,0.497,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001414,nan,nan,nan,0,0,0,,0,0,0,0.0401,1.0000,0.12968,0.00017,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0187,move->d,none,0.0006,0.000000,-0.025778,-0.543269,0.001048,1.597990,0.028101,1.066449,1.555734,-0.000000,-0.025813,-0.543234,0.000995,1.597936,0.028082,1.066449,1.555734,0.197068,-0.399528,0.379462,3.128614,-0.550018,-3.138037,-0.00002,0.00005,-0.00002,-0.00002,0.00004,0.00018,-0.00002,0.00005,-0.00002,-0.00002,0.00004,0.00018,-0.00046,-0.00229,0.00066,0.00489,-0.00333,-0.00823,0.027,0.0031,0.00000,0,0,0,0,0.160,1.007,0.443,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005769,0.001062,0.214,1.119,0.497,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000347,nan,nan,nan,0,0,0,,0,0,0,0.0593,1.0000,0.12968,0.00018,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0247,move->d,none,0.0010,0.000000,-0.025778,-0.543269,0.001048,1.597991,0.028101,1.066449,1.555734,-0.000000,-0.025761,-0.543286,0.001047,1.597936,0.028082,1.066449,1.555717,0.197061,-0.399507,0.379472,3.128665,-0.549966,-3.137957,-0.00000,0.00000,-0.00004,0.00006,0.00014,-0.00004,-0.00000,0.00000,-0.00004,0.00006,0.00014,-0.00004,-0.00123,0.00369,0.00173,-0.00736,-0.00880,0.01809,0.021,0.0031,0.00000,0,0,0,0,0.157,1.015,0.444,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005997,0.001184,0.087,1.014,0.420,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000788,nan,nan,nan,0,0,0,,0,0,0,0.0793,1.0000,0.12968,0.00013,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0309,move->d,none,0.0015,0.000000,-0.025778,-0.543269,0.001048,1.597991,0.028101,1.066449,1.555734,-0.000000,-0.025813,-0.543269,0.001030,1.597936,0.028082,1.066449,1.555734,0.197063,-0.399520,0.379468,3.128637,-0.549983,-3.138019,-0.00001,0.00003,-0.00003,0.00001,0.00010,0.00012,-0.00001,0.00003,-0.00003,0.00001,0.00010,0.00012,0.00038,-0.00209,-0.00053,0.00386,0.00273,-0.01211,0.023,0.0031,0.00000,0,0,0,0,0.149,1.020,0.443,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006221,0.001256,0.087,1.014,0.420,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000231,nan,nan,nan,0,0,0,,0,0,0,0.1001,1.0000,0.12968,0.00015,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0408,move->d,none,0.0022,0.000000,-0.025777,-0.543269,0.001048,1.597991,0.028101,1.066449,1.555734,-0.000000,-0.025831,-0.543286,0.001047,1.597971,0.028082,1.066449,1.555734,0.197058,-0.399519,0.379460,3.128647,-0.550001,-3.138027,0.00000,0.00003,-0.00002,0.00003,0.00007,0.00012,0.00000,0.00003,-0.00002,0.00003,0.00007,0.00012,-0.00056,0.00009,-0.00087,-0.00093,0.00191,-0.00027,0.017,0.0031,0.00000,0,0,0,0,0.149,1.031,0.451,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.009863,0.001838,0.175,1.068,0.492,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001039,nan,nan,nan,0,0,0,,0,0,0,0.1330,1.0000,0.12968,0.00011,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0474,move->d,none,0.0029,0.000000,-0.025777,-0.543269,0.001048,1.597991,0.028102,1.066449,1.555734,-0.000000,-0.025831,-0.543286,0.001047,1.597971,0.028082,1.066449,1.555734,0.197058,-0.399519,0.379460,3.128647,-0.550001,-3.138027,0.00000,0.00003,-0.00002,0.00003,0.00007,0.00012,0.00000,0.00003,-0.00002,0.00003,0.00007,0.00012,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.017,0.0031,0.00000,0,0,0,0,0.151,1.031,0.452,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006646,0.000716,0.159,0.999,0.437,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,0,0,0,,0,0,0,0.1551,1.0000,0.12968,0.00011,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0536,move->d,none,0.0038,0.000000,-0.025777,-0.543268,0.001048,1.597991,0.028102,1.066449,1.555734,-0.000000,-0.025779,-0.543286,0.001047,1.597989,0.028082,1.066414,1.555734,0.197063,-0.399509,0.379460,3.128647,-0.549983,-3.137975,-0.00001,0.00001,-0.00002,0.00003,0.00010,0.00002,-0.00001,0.00001,-0.00002,0.00003,0.00010,0.00002,0.00095,0.00194,-0.00012,0.00001,-0.00333,0.00983,0.010,0.0020,0.00000,0,0,0,0,0.144,1.022,0.448,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006149,0.001622,0.074,0.930,0.404,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000374,nan,nan,nan,0,0,0,,0,0,0,0.1756,1.0000,0.12968,0.00009,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0591,move->d,none,0.0048,0.000000,-0.025777,-0.543268,0.001048,1.597991,0.028102,1.066449,1.555734,-0.000000,-0.025779,-0.543286,0.001047,1.597989,0.028082,1.066414,1.555734,0.197063,-0.399509,0.379460,3.128647,-0.549983,-3.137975,-0.00001,0.00001,-0.00002,0.00003,0.00010,0.00002,-0.00001,0.00001,-0.00002,0.00003,0.00010,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.010,0.0020,0.00000,0,0,0,0,0.137,1.020,0.446,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005584,0.001046,0.097,1.059,0.443,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,0,0,0,,0,0,0,0.1942,1.0000,0.12968,0.00009,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
