t_wall_s,phase,controller_mode,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,twist_requested_vx,twist_requested_vy,twist_requested_vz,twist_requested_wx,twist_requested_wy,twist_requested_wz,twist_achieved_vx,twist_achieved_vy,twist_achieved_vz,twist_achieved_wx,twist_achieved_wy,twist_achieved_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,damping_ke_z,damping_dimeas_z,v_force_z,ke_est,f_des_z_eff,v_r_z,force_reference_scale_n,force_reference_drive,force_reference_gate_scale,takeover,dt_actual_s,sensor_age_s,fx_raw_comp,fy_raw_comp,fz_raw_comp,vz_achieved_tool,contact_present,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0020,move->d,none,0.0000,0.000000,-0.114738,-0.358229,0.138195,1.633733,0.140831,0.997107,1.471958,-0.000000,-0.114738,-0.358229,0.138195,1.633733,0.140831,0.997107,1.471958,0.228197,-0.367608,0.336864,3.127085,-0.700996,-3.012930,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0000,0.00000,0,0,0,1,0.395,0.867,0.094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005000,0.003303,0.395,0.867,0.094,0.000000,0,0.0004,1.0000,0.13172,0.00000,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0106,move->d,none,0.0001,0.000000,-0.114739,-0.358228,0.138194,1.633733,0.140830,0.997107,1.471958,-0.000000,-0.114633,-0.358299,0.138248,1.633733,0.140848,0.997107,1.471958,0.228185,-0.367566,0.336878,3.127109,-0.700931,-3.012787,0.00002,-0.00008,-0.00003,0.00002,0.00013,-0.00032,0.00002,-0.00008,-0.00003,0.00002,0.00013,-0.00032,-0.00112,0.00400,0.00141,-0.00092,-0.00641,0.01525,0.046,0.0060,0.00000,0,0,0,0,0.395,0.867,0.094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.008618,0.001541,0.395,0.867,0.094,-0.000636,0,0.0291,1.0000,0.13172,0.00026,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0166,move->d,none,0.0004,0.000000,-0.114739,-0.358228,0.138194,1.633733,0.140830,0.997107,1.471959,-0.000000,-0.114703,-0.358246,0.138195,1.633750,0.140831,0.997072,1.471941,0.228199,-0.367601,0.336866,3.127109,-0.700962,-3.012903,-0.00000,-0.00001,-0.00000,0.00003,0.00007,-0.00008,-0.00000,-0.00001,-0.00000,0.00003,0.00007,-0.00008,0.00222,-0.00570,-0.00200,-0.00065,0.00493,-0.01892,0.007,0.0020,0.00000,0,0,0,0,0.395,0.868,0.094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006039,0.001416,0.413,0.932,0.128,0.000492,0,0.0492,1.0000,0.13172,0.00011,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0243,move->d,none,0.0008,0.000000,-0.114739,-0.358228,0.138194,1.633733,0.140830,0.997107,1.471959,-0.000000,-0.114703,-0.358229,0.138213,1.633750,0.140831,0.997072,1.471958,0.228200,-0.367596,0.336862,3.127094,-0.700980,-3.012888,-0.00001,-0.00002,0.00000,0.00001,0.00003,-0.00009,-0.00001,-0.00002,0.00000,0.00001,0.00003,-0.00009,0.00014,0.00074,-0.00057,0.00122,0.00264,0.00068,0.013,0.0021,0.00000,0,0,0,0,0.396,0.870,0.095,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.007694,0.001686,0.413,0.932,0.128,0.000293,0,0.0749,1.0000,0.13172,0.00010,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0304,move->d,none,0.0012,0.000000,-0.114739,-0.358228,0.138194,1.633732,0.140830,0.997108,1.471959,-0.000000,-0.114703,-0.358229,0.138213,1.633750,0.140831,0.997072,1.471958,0.228200,-0.367596,0.336862,3.127094,-0.700980,-3.012888,-0.00001,-0.00002,0.00000,0.00001,0.00003,-0.00009,-0.00001,-0.00002,0.00000,0.00001,0.00003,-0.00009,0.00014,0.00074,-0.00057,0.00122,0.00264,0.00068,0.013,0.0021,0.00000,0,0,0,0,0.397,0.873,0.097,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006046,0.007621,0.413,0.932,0.128,0.000293,0,0.0950,1.0000,0.13172,0.00010,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0358,move->d,none,0.0018,0.000000,-0.114739,-0.358228,0.138194,1.633733,0.140830,0.997108,1.471959,-0.000000,-0.114738,-0.358246,0.138195,1.633698,0.140848,0.997072,1.471958,0.228207,-0.367603,0.336883,3.127077,-0.700908,-3.012921,-0.00002,-0.00001,-0.00004,-0.00003,0.00017,-0.00001,-0.00002,-0.00001,-0.00004,-0.00003,0.00017,-0.00001,0.00058,-0.00059,0.00169,0.00173,-0.00560,-0.00350,0.022,0.0021,0.00000,0,0,0,0,0.398,0.877,0.099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005454,0.000645,0.346,0.887,0.113,-0.001621,0,0.1132,1.0000,0.13172,0.00011,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0410,move->d,none,0.0025,0.000000,-0.114740,-0.358227,0.138193,1.633733,0.140830,0.997108,1.471959,-0.000000,-0.114703,-0.358281,0.138248,1.633698,0.140848,0.997072,1.471958,0.228201,-0.367582,0.336890,3.127112,-0.700879,-3.012860,-0.00001,-0.00005,-0.00005,0.00001,0.00024,-0.00018,-0.00001,-0.00005,-0.00005,0.00001,0.00024,-0.00018,-0.00113,0.00409,0.00129,-0.00427,-0.00626,0.01612,0.037,0.0031,0.00000,0,0,0,0,0.398,0.883,0.102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005121,0.000558,0.471,1.063,0.205,-0.000543,0,0.1303,1.0000,0.13172,0.00019,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0462,move->d,none,0.0032,0.000000,-0.114740,-0.358227,0.138193,1.633733,0.140830,0.997109,1.471959,-0.000000,-0.114703,-0.358246,0.138213,1.633750,0.140831,0.997072,1.471958,0.228198,-0.367595,0.336866,3.127099,-0.700963,-3.012892,-0.00000,-0.00002,-0.00000,0.00001,0.00007,-0.00009,-0.00000,-0.00002,-0.00000,0.00001,0.00007,-0.00009,-0.00058,-0.00267,-0.00459,-0.00025,0.01634,-0.00772,0.012,0.0021,0.00000,0,0,0,0,0.399,0.890,0.106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005282,0.000626,0.365,0.926,0.072,0.004060,0,0.1479,1.0000,0.13172,0.00011,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0514,move->d,none,0.0040,0.000000,-0.114740,-0.358227,0.138193,1.633733,0.140830,0.997109,1.471959,-0.000000,-0.114703,-0.358246,0.138265,1.633733,0.140813,0.997072,1.471993,0.228199,-0.367583,0.336870,3.127112,-0.700952,-3.012878,-0.00000,-0.00005,-0.00001,0.00003,0.00009,-0.00014,-0.00000,-0.00005,-0.00001,0.00003,0.00009,-0.00014,0.00018,0.00231,0.00082,-0.00157,-0.00236,0.00426,0.025,0.0041,0.00000,0,0,0,0,0.399,0.896,0.109,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005193,0.000571,0.296,0.799,0.102,-0.000896,0,0.1652,1.0000,0.13172,0.00019,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0564,move->d,none,0.0049,0.000000,-0.114741,-0.358227,0.138193,1.633733,0.140830,0.997110,1.471959,-0.000000,-0.114703,-0.358246,0.138195,1.633733,0.140848,0.997054,1.471958,0.228205,-0.367595,0.336874,3.127074,-0.700925,-3.012887,-0.00002,-0.00002,-0.00002,-0.00004,0.00014,-0.00007,-0.00002,-0.00002,-0.00002,-0.00004,0.00014,-0.00007,0.00107,-0.00240,0.00077,0.00643,-0.00451,-0.00685,0.018,0.0031,0.00000,0,0,0,0,0.396,0.900,0.111,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.004995,0.000552,0.367,0.866,0.122,-0.001112,0,0.1818,1.0000,0.13172,0.00013,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
