t_wall_s,phase,controller_mode,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,twist_requested_vx,twist_requested_vy,twist_requested_vz,twist_requested_wx,twist_requested_wy,twist_requested_wz,twist_achieved_vx,twist_achieved_vy,twist_achieved_vz,twist_achieved_wx,twist_achieved_wy,twist_achieved_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,damping_ke_z,damping_dimeas_z,v_force_z,ke_est,f_des_z_eff,v_r_z,force_reference_scale_n,force_reference_drive,force_reference_gate_scale,force_reference_accel_m_s2,force_reference_reversal_reset,mass_z_eff,takeover,dt_actual_s,sensor_age_s,fx_raw_comp,fy_raw_comp,fz_raw_comp,vz_achieved_tool,contact_present,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0025,move->d,none,0.0000,0.341681,-0.060685,-0.431707,0.013893,1.423508,0.055432,1.129717,1.540899,0.341681,-0.060650,-0.431760,0.013893,1.423525,0.055449,1.129717,1.540846,0.215484,-0.057126,0.404149,3.123937,-0.549690,-3.134389,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0030,0.00000,0,0,0,0,0.391,1.067,0.167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005000,0.001516,0.391,1.067,0.167,0.000000,0,0.0004,1.0000,0.11869,0.00000,0.0000,0.00009,0.0000,0.0000,0.000,0.06223,4.0000,0.341681,0.341681,0.000000,1,0.000000
0.0144,move->d,none,0.0002,0.341681,-0.060685,-0.431707,0.013893,1.423508,0.055432,1.129717,1.540898,0.341681,-0.060685,-0.431742,0.013910,1.423525,0.055449,1.129717,1.540881,0.215487,-0.057126,0.404145,3.123910,-0.549708,-3.134412,-0.00001,0.00000,0.00001,-0.00005,-0.00004,0.00007,-0.00001,0.00000,0.00001,-0.00005,-0.00004,0.00007,0.00023,-0.00003,-0.00030,0.00186,0.00143,-0.00294,0.005,0.0020,0.00000,0,0,0,0,0.390,1.067,0.167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.011892,0.000752,0.327,0.983,0.135,0.000134,0,0.0400,1.0000,0.11869,0.00011,0.0001,0.00000,0.0000,0.0000,0.000,0.06223,4.0000,0.341681,0.341681,0.000000,1,0.000000
0.0210,move->d,none,0.0005,0.341681,-0.060685,-0.431708,0.013893,1.423508,0.055432,1.129717,1.540898,0.341681,-0.060703,-0.431742,0.013910,1.423525,0.055449,1.129717,1.540881,0.215487,-0.057130,0.404145,3.123910,-0.549708,-3.134430,-0.00001,0.00001,0.00001,-0.00005,-0.00004,0.00011,-0.00001,0.00001,0.00001,-0.00005,-0.00004,0.00011,0.00000,-0.00058,0.00000,0.00000,0.00000,-0.00268,0.006,0.0020,0.00000,0,0,0,0,0.389,1.065,0.166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.006577,0.000783,0.425,1.080,0.141,-0.000010,0,0.0620,1.0000,0.11869,0.00013,0.0001,0.00000,0.0000,0.0000,0.000,0.06223,4.0000,0.341681,0.341681,0.000000,1,0.000000
0.0266,move->d,none,0.0009,0.341681,-0.060685,-0.431708,0.013893,1.423508,0.055432,1.129717,1.540898,0.341681,-0.060650,-0.431742,0.013893,1.423525,0.055432,1.129717,1.540846,0.215487,-0.057130,0.404145,3.123953,-0.549708,-3.134407,-0.00001,0.00001,0.00001,0.00003,-0.00004,0.00002,-0.00001,0.00001,0.00001,0.00003,-0.00004,0.00002,-0.00004,-0.00003,-0.00001,-0.00698,-0.00000,0.00851,0.006,0.0029,0.00000,0,0,0,0,0.388,1.063,0.165,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005622,0.001075,0.406,1.071,0.156,0.000032,0,0.0807,1.0000,0.11869,0.00005,0.0000,0.00001,0.0000,0.0000,0.000,0.06223,4.0000,0.341681,0.341681,0.000000,1,0.000000
0.0318,move->d,none,0.0014,0.341681,-0.060685,-0.431708,0.013893,1.423508,0.055433,1.129717,1.540897,0.341681,-0.060685,-0.431742,0.013910,1.423508,0.055414,1.129699,1.540881,0.215491,-0.057135,0.404153,3.123945,-0.549674,-3.134451,-0.00001,0.00002,-0.00001,0.00001,0.00003,0.00011,-0.00001,0.00002,-0.00001,0.00001,0.00003,0.00011,0.00082,-0.00082,0.00149,0.00127,-0.00625,-0.00885,0.012,0.0020,0.00000,0,0,0,0,0.387,1.061,0.163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005240,0.000961,0.269,0.917,0.095,-0.001709,0,0.0982,1.0000,0.11869,0.00015,0.0001,0.00001,0.0000,0.0000,0.000,0.06223,4.0000,0.341681,0.341681,0.000000,1,0.000000
0.0372,move->d,none,0.0020,0.341681,-0.060684,-0.431708,0.013893,1.423508,0.055433,1.129717,1.540897,0.341681,-0.060737,-0.431742,0.013910,1.423543,0.055449,1.129699,1.540846,0.215489,-0.057141,0.404142,3.123944,-0.549708,-3.134465,-0.00001,0.00003,0.00001,0.00001,-0.00004,0.00014,-0.00001,0.00003,0.00001,0.00001,-0.00004,0.00014,-0.00040,-0.00108,-0.00203,0.00019,0.00614,-0.00278,0.017,0.0030,0.00000,0,0,0,0,0.385,1.057,0.160,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005348,0.000840,0.338,1.009,0.147,0.001923,0,0.1160,1.0000,0.11869,0.00014,0.0001,0.00001,0.0000,0.0000,0.000,0.06223,4.0000,0.341681,0.341681,0.000000,1,0.000000
0.0424,move->d,none,0.0027,0.341681,-0.060684,-0.431708,0.013892,1.423508,0.055433,1.129717,1.540896,0.341681,-0.060685,-0.431760,0.013910,1.423508,0.055449,1.129717,1.540899,0.215485,-0.057125,0.404155,3.123895,-0.549673,-3.134413,-0.00000,-0.00000,-0.00001,-0.00007,0.00003,0.00009,-0.00000,-0.00000,-0.00001,-0.00007,0.00003,0.00009,-0.00071,0.00302,0.00240,0.00810,-0.00664,0.00495,0.006,0.0029,0.00000,0,0,0,0,0.382,1.053,0.157,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005255,0.000876,0.467,1.128,0.170,-0.001636,0,0.1335,1.0000,0.11869,0.00014,0.0001,0.00001,0.0000,0.0000,0.000,0.06223,4.0000,0.341681,0.341681,0.000000,1,0.000000
0.0478,move->d,none,0.0034,0.341681,-0.060684,-0.431708,0.013892,1.423508,0.055433,1.129717,1.540896,0.341681,-0.060650,-0.431742,0.013893,1.423525,0.055449,1.129699,1.540881,0.215490,-0.057124,0.404148,3.123902,-0.549690,-3.134390,-0.00001,-0.00000,0.00000,-0.00006,-0.00000,0.00004,-0.00001,-0.00000,0.00000,-0.00006,-0.00000,0.00004,0.00088,0.00022,-0.00125,-0.00111,0.00312,0.00506,0.007,0.0020,0.00000,0,0,0,0,0.380,1.050,0.155,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005333,0.000810,0.384,1.040,0.147,0.000605,0,0.1513,1.0000,0.11869,0.00008,0.0000,0.00001,0.0000,0.0000,0.000,0.06223,4.0000,0.341681,0.341681,0.000000,1,0.000000
0.0537,move->d,none,0.0043,0.341681,-0.060684,-0.431709,0.013893,1.423511,0.055434,1.129717,1.540896,0.341681,-0.060685,-0.431637,0.013893,1.423246,0.055432,1.129717,1.540881,0.215523,-0.057136,0.404213,3.123928,-0.549534,-3.134446,-0.00008,0.00002,-0.00013,-0.00002,0.00031,0.00012,-0.00008,0.00002,-0.00013,-0.00002,0.00031,0.00012,0.00582,-0.00227,0.01141,-0.00376,-0.02752,-0.00742,0.075,0.0150,0.00000,0,0,0,0,0.380,1.048,0.144,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005924,0.001055,0.398,0.974,-1.090,-0.012797,0,0.1710,1.0000,0.11869,0.00062,0.0004,0.00001,0.0000,0.0000,0.001,0.06223,4.0000,0.341681,0.341667,0.000000,1,0.000000
0.0591,move->d,none,0.0052,0.341681,-0.060684,-0.431710,0.013893,1.423514,0.055434,1.129717,1.540896,0.341667,-0.060703,-0.431672,0.013910,1.423194,0.055432,1.129699,1.540846,0.215524,-0.057152,0.404240,3.123978,-0.549430,-3.134455,-0.00008,0.00005,-0.00018,0.00007,0.00052,0.00009,-0.00008,0.00005,-0.00018,0.00007,0.00052,0.00009,0.00021,-0.00280,0.00482,-0.00757,-0.01875,0.00293,0.102,0.0182,0.00000,0,0,0,0,0.379,1.046,0.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005455,0.000941,0.256,1.232,0.933,-0.004255,0,0.1892,1.0000,0.11869,0.00071,0.0004,0.00001,0.0000,0.0000,0.001,0.06223,4.0000,0.341681,0.341667,0.000000,1,0.000000
