t_wall_s,phase,controller_mode,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,twist_requested_vx,twist_requested_vy,twist_requested_vz,twist_requested_wx,twist_requested_wy,twist_requested_wz,twist_achieved_vx,twist_achieved_vy,twist_achieved_vz,twist_achieved_wx,twist_achieved_wy,twist_achieved_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,damping_ke_z,damping_dimeas_z,v_force_z,ke_est,f_des_z_eff,v_r_z,force_reference_scale_n,force_reference_drive,force_reference_gate_scale,force_reference_accel_m_s2,force_reference_reversal_reset,force_reference_fast_clear,force_fast_z,retract_guard_armed,retract_fast_hold,retract_fast_stop_count,retract_fast_rearm_count,force_task_latched,physical_contact_state,physical_contact_acquire_event,physical_contact_loss_event,physical_contact_reacquire_event,physical_contact_low_timer_s,physical_contact_high_timer_s,mass_z_eff,takeover,dt_actual_s,sensor_age_s,fx_raw_comp,fy_raw_comp,fz_raw_comp,vz_achieved_tool,contact_present,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0009,move->d,none,0.0000,0.000000,-0.149959,0.282726,0.115209,1.437017,-0.284524,0.205303,2.169183,-0.000003,-0.149994,0.282674,0.115227,1.437069,-0.284541,0.205338,2.169183,0.538590,-0.435990,0.346291,2.807372,0.314139,2.814659,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0030,0.00000,0,0,0,1,0.325,0.478,0.518,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005000,0.000526,0.325,0.478,0.518,0.000000,0,0.0002,1.0000,0.11608,0.00000,0.0000,0.00009,0.0000,1.0000,0.003,0.40401,4.0000,0.000000,-0.000003,0.000000,1,0.000000
0.0062,move->d,none,0.0001,0.000000,-0.149959,0.282726,0.115209,1.437017,-0.284524,0.205304,2.169182,-0.000003,-0.149994,0.282691,0.115209,1.437052,-0.284506,0.205286,2.169183,0.538600,-0.435993,0.346302,2.807323,0.314178,2.814635,-0.00002,0.00001,-0.00002,-0.00006,0.00010,0.00002,-0.00002,0.00001,-0.00002,-0.00006,0.00010,0.00002,0.00197,-0.00069,0.00237,0.00657,-0.01062,-0.00197,0.015,0.0020,0.00000,0,0,0,0,0.325,0.479,0.517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005236,0.000995,0.301,0.561,0.483,-0.001522,0,0.0176,1.0000,0.11608,0.00013,0.0001,0.00000,0.0000,1.0000,0.000,0.40400,4.0000,0.000000,-0.000003,-0.000000,1,-0.000000
0.0113,move->d,none,0.0003,0.000000,-0.149959,0.282726,0.115209,1.437018,-0.284524,0.205304,2.169182,-0.000003,-0.149959,0.282674,0.115192,1.436999,-0.284471,0.205338,2.169183,0.538600,-0.435985,0.346322,2.807292,0.314188,2.814623,-0.00002,-0.00001,-0.00006,-0.00011,0.00014,0.00002,-0.00002,-0.00001,-0.00006,-0.00011,0.00014,0.00002,0.00009,0.00169,0.00399,0.00492,-0.00381,-0.00031,0.034,0.0030,0.00000,0,0,0,0,0.325,0.481,0.517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005187,0.001133,0.362,0.549,0.514,-0.003184,0,0.0349,1.0000,0.11608,0.00017,0.0001,0.00000,0.0000,1.0000,0.000,0.40400,4.0000,0.000000,-0.000003,-0.000000,1,-0.000000
0.0168,move->d,none,0.0005,0.000000,-0.149959,0.282726,0.115209,1.437018,-0.284524,0.205304,2.169182,-0.000003,-0.149994,0.282656,0.115192,1.437017,-0.284506,0.205286,2.169183,0.538600,-0.436002,0.346337,2.807311,0.314246,2.814613,-0.00002,0.00002,-0.00009,-0.00004,0.00024,0.00005,-0.00002,0.00002,-0.00009,-0.00004,0.00024,0.00005,0.00004,-0.00291,0.00249,-0.00613,-0.00835,-0.00276,0.049,0.0040,0.00000,0,0,0,0,0.326,0.485,0.515,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005488,0.000698,0.399,0.535,0.471,-0.002855,0,0.0532,1.0000,0.11608,0.00016,0.0001,0.00000,0.0000,1.0000,0.000,0.40400,4.0000,0.000000,-0.000003,-0.000000,1,-0.000000
0.0217,move->d,none,0.0009,0.000000,-0.149958,0.282726,0.115209,1.437018,-0.284524,0.205305,2.169182,-0.000003,-0.150011,0.282674,0.115227,1.437052,-0.284506,0.205286,2.169183,0.538598,-0.435994,0.346312,2.807315,0.314194,2.814631,-0.00002,0.00001,-0.00004,-0.00007,0.00014,0.00002,-0.00002,0.00001,-0.00004,-0.00007,0.00014,0.00002,-0.00051,0.00159,-0.00499,0.00268,0.00999,0.00339,0.023,0.0030,0.00000,0,0,0,0,0.327,0.489,0.514,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.004909,0.000533,0.259,0.417,0.480,0.004631,0,0.0696,1.0000,0.11608,0.00014,0.0001,0.00000,0.0000,1.0000,0.000,0.40400,4.0000,0.000000,-0.000003,-0.000000,1,-0.000000
0.0269,move->d,none,0.0013,0.000000,-0.149958,0.282725,0.115210,1.437019,-0.284525,0.205305,2.169182,-0.000003,-0.150011,0.282726,0.115209,1.437052,-0.284524,0.205286,2.169183,0.538603,-0.436004,0.346283,2.807347,0.314148,2.814627,-0.00003,0.00003,0.00001,-0.00004,0.00003,0.00005,-0.00003,0.00003,0.00001,-0.00004,0.00003,0.00005,0.00104,-0.00223,-0.00595,-0.00300,0.01119,-0.00300,0.020,0.0030,0.00000,0,0,0,0,0.328,0.491,0.511,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005149,0.000961,0.309,0.518,0.464,0.005260,0,0.0867,1.0000,0.11608,0.00016,0.0001,0.00001,0.0000,1.0000,0.000,0.40400,4.0000,0.000000,-0.000003,-0.000000,1,-0.000000
0.0323,move->d,none,0.0018,0.000000,-0.149958,0.282725,0.115210,1.437019,-0.284525,0.205306,2.169182,-0.000003,-0.149994,0.282691,0.115209,1.437052,-0.284506,0.205286,2.169183,0.538600,-0.435993,0.346302,2.807323,0.314178,2.814635,-0.00002,0.00001,-0.00002,-0.00006,0.00010,0.00002,-0.00002,0.00001,-0.00002,-0.00006,0.00010,0.00002,-0.00058,0.00217,0.00362,0.00234,-0.00682,0.00290,0.015,0.0020,0.00000,0,0,0,0,0.328,0.494,0.508,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005368,0.001170,0.426,0.667,0.478,-0.003001,0,0.1046,1.0000,0.11608,0.00013,0.0001,0.00001,0.0000,1.0000,0.000,0.40400,4.0000,0.000000,-0.000003,-0.000000,1,-0.000000
0.0374,move->d,none,0.0024,0.000000,-0.149958,0.282725,0.115210,1.437019,-0.284525,0.205307,2.169182,-0.000003,-0.150011,0.282726,0.115209,1.437052,-0.284506,0.205251,2.169183,0.538607,-0.436001,0.346292,2.807318,0.314175,2.814624,-0.00003,0.00002,-0.00000,-0.00007,0.00010,0.00004,-0.00003,0.00002,-0.00000,-0.00007,0.00010,0.00004,0.00126,-0.00142,-0.00183,0.00098,0.00012,-0.00163,0.020,0.0031,0.00000,0,0,0,0,0.330,0.500,0.504,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005164,0.000884,0.388,0.586,0.456,0.001820,0,0.1218,1.0000,0.11608,0.00022,0.0001,0.00001,0.0000,1.0000,0.000,0.40400,4.0000,0.000000,-0.000003,-0.000000,1,-0.000000
0.0430,move->d,none,0.0031,0.000000,-0.149958,0.282724,0.115210,1.437019,-0.284525,0.205307,2.169182,-0.000003,-0.149994,0.282691,0.115227,1.437052,-0.284506,0.205286,2.169165,0.538600,-0.435985,0.346302,2.807335,0.314181,2.814661,-0.00002,-0.00001,-0.00002,-0.00004,0.00010,-0.00003,-0.00002,-0.00001,-0.00002,-0.00004,0.00010,-0.00003,-0.00114,0.00286,0.00181,-0.00304,0.00001,0.00565,0.016,0.0020,0.00000,0,0,0,0,0.333,0.507,0.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005615,0.001055,0.227,0.413,0.492,-0.001440,0,0.1405,1.0000,0.11608,0.00013,0.0001,0.00001,0.0000,1.0000,0.000,0.40400,4.0000,0.000000,-0.000003,-0.000000,1,-0.000000
0.0485,move->d,none,0.0039,0.000000,-0.149958,0.282725,0.115210,1.437019,-0.284526,0.205307,2.169182,-0.000003,-0.149994,0.282656,0.115227,1.437052,-0.284471,0.205303,2.169183,0.538595,-0.435983,0.346316,2.807282,0.314185,2.814629,-0.00001,-0.00001,-0.00005,-0.00013,0.00014,0.00000,-0.00001,-0.00001,-0.00005,-0.00013,0.00014,0.00000,-0.00095,0.00037,0.00245,0.00792,-0.00351,-0.00266,0.027,0.0039,0.00000,0,0,0,0,0.333,0.511,0.496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005420,0.000557,0.294,0.511,0.459,-0.002485,0,0.1586,1.0000,0.11608,0.00016,0.0001,0.00001,0.0000,1.0000,0.000,0.40400,4.0000,0.000000,-0.000003,-0.000000,1,-0.000000
