t_s,x_tgt_m,x_meas_m,err_mm,v_ff_m_s,v_cmd_m_s,rpm_cmd
0.0000,0.000000,0.000000,0.000,0.00000,0.00000,0.0
0.0201,0.000005,-0.000000,0.005,0.00021,0.00000,0.0
0.0402,0.000021,0.000000,0.021,0.00068,0.00138,8.3
0.0601,0.000047,0.000003,0.045,0.00118,0.00257,15.4
0.0801,0.000084,0.000025,0.059,0.00170,0.00342,20.5
0.1001,0.000131,0.000075,0.055,0.00220,0.00373,22.4
0.1201,0.000187,0.000138,0.049,0.00270,0.00404,24.3
0.1401,0.000254,0.000209,0.044,0.00320,0.00441,26.4
0.1601,0.000330,0.000286,0.043,0.00368,0.00489,29.4
0.1801,0.000415,0.000371,0.044,0.00416,0.00541,32.4
0.2001,0.000510,0.000469,0.041,0.00463,0.00576,34.6
0.2202,0.000615,0.000582,0.033,0.00511,0.00598,35.9
0.2401,0.000728,0.000698,0.030,0.00553,0.00635,38.1
0.2601,0.000850,0.000816,0.034,0.00599,0.00696,41.7
0.2801,0.000981,0.000947,0.033,0.00644,0.00738,44.3
0.3002,0.001121,0.001092,0.029,0.00690,0.00770,46.2
0.3201,0.001269,0.001237,0.032,0.00730,0.00820,49.2
0.3401,0.001426,0.001390,0.036,0.00772,0.00874,52.5
0.3601,0.001591,0.001560,0.030,0.00814,0.00896,53.8
0.3801,0.001764,0.001736,0.028,0.00855,0.00932,55.9
0.4001,0.001944,0.001914,0.030,0.00894,0.00980,58.8
0.4201,0.002133,0.002104,0.030,0.00934,0.01016,60.9
0.4401,0.002330,0.002299,0.031,0.00973,0.01061,63.6
0.4601,0.002534,0.002505,0.028,0.01010,0.01088,65.3
0.4801,0.002745,0.002723,0.022,0.01048,0.01106,66.3
0.5001,0.002964,0.002940,0.024,0.01084,0.01151,69.0
0.5201,0.003190,0.003163,0.028,0.01123,0.01203,72.2
0.5401,0.003423,0.003393,0.031,0.01156,0.01244,74.6
0.5601,0.003662,0.003641,0.021,0.01186,0.01239,74.4
0.5801,0.003909,0.003886,0.023,0.01225,0.01290,77.4
0.6001,0.004161,0.004137,0.024,0.01255,0.01322,79.3
0.6201,0.004420,0.004392,0.028,0.01287,0.01368,82.1
0.6401,0.004686,0.004662,0.024,0.01320,0.01384,83.1
0.6601,0.004958,0.004937,0.021,0.01351,0.01408,84.5
0.6801,0.005235,0.005214,0.021,0.01380,0.01440,86.4
0.7001,0.005518,0.005494,0.024,0.01409,0.01478,88.7
0.7201,0.005807,0.005787,0.020,0.01439,0.01493,89.6
0.7401,0.006102,0.006084,0.018,0.01466,0.01515,90.9
0.7601,0.006402,0.006380,0.022,0.01494,0.01559,93.5
0.7801,0.006707,0.006691,0.016,0.01518,0.01559,93.5
0.8001,0.007018,0.007004,0.014,0.01547,0.01583,95.0
0.8201,0.007333,0.007316,0.017,0.01570,0.01619,97.1
0.8401,0.007653,0.007638,0.015,0.01595,0.01637,98.2
0.8601,0.007978,0.007960,0.018,0.01619,0.01670,100.2
0.8801,0.008307,0.008287,0.020,0.01641,0.01699,102.0
0.9001,0.008641,0.008625,0.016,0.01664,0.01708,102.5
0.9201,0.008979,0.008961,0.018,0.01685,0.01736,104.2
0.9401,0.009321,0.009302,0.020,0.01705,0.01761,105.7
0.9601,0.009668,0.009652,0.016,0.01726,0.01768,106.1
0.9801,0.010018,0.010004,0.014,0.01746,0.01785,107.1
1.0001,0.010371,0.010357,0.015,0.01763,0.01805,108.3
1.0201,0.010729,0.010716,0.012,0.01782,0.01815,108.9
1.0401,0.011089,0.011077,0.012,0.01799,0.01832,109.9
1.0601,0.011453,0.011440,0.014,0.01816,0.01856,111.3
1.0801,0.011821,0.011810,0.011,0.01832,0.01859,111.6
1.1001,0.012191,0.012180,0.011,0.01847,0.01879,112.7
1.1201,0.012564,0.012554,0.009,0.01861,0.01886,113.2
1.1401,0.012940,0.012933,0.006,0.01876,0.01892,113.5
1.1601,0.013318,0.013311,0.007,0.01887,0.01907,114.4
1.1801,0.013699,0.013694,0.005,0.01901,0.01913,114.8
1.2001,0.014081,0.014073,0.009,0.01911,0.01937,116.2
1.2201,0.014466,0.014456,0.010,0.01922,0.01952,117.1
1.2401,0.014853,0.014845,0.009,0.01933,0.01957,117.4
1.2601,0.015242,0.015235,0.007,0.01942,0.01960,117.6
1.2801,0.015633,0.015627,0.006,0.01951,0.01965,117.9
1.3001,0.016025,0.016019,0.005,0.01959,0.01974,118.4
1.3201,0.016418,0.016411,0.008,0.01966,0.01989,119.4
1.3401,0.016814,0.016808,0.005,0.01973,0.01986,119.2
1.3601,0.017210,0.017204,0.006,0.01979,0.01995,119.7
1.3801,0.017607,0.017603,0.004,0.01984,0.01993,119.6
1.4001,0.018004,0.018001,0.003,0.01988,0.01998,119.9
1.4201,0.018403,0.018399,0.004,0.01992,0.02004,120.2
1.4401,0.018802,0.018802,-0.000,0.01995,0.01993,119.6
1.4601,0.019202,0.019201,0.000,0.01997,0.01999,119.9
1.4801,0.019602,0.019603,-0.001,0.01998,0.01994,119.6
1.5001,0.020002,0.020001,0.000,0.01999,0.02001,120.1
1.5201,0.020401,0.020399,0.002,0.02000,0.02007,120.4
1.5401,0.020801,0.020802,-0.001,0.02000,0.01996,119.7
1.5601,0.021201,0.021202,-0.001,0.01997,0.01994,119.7
1.5802,0.021602,0.021602,0.000,0.02005,0.02006,120.3
1.6001,0.021999,0.022001,-0.002,0.01990,0.01983,119.0
1.6201,0.022396,0.022398,-0.003,0.01984,0.01977,118.6
1.6401,0.022794,0.022799,-0.005,0.01988,0.01973,118.4
1.6601,0.023190,0.023194,-0.004,0.01982,0.01971,118.3
1.6801,0.023585,0.023587,-0.003,0.01975,0.01969,118.1
1.7001,0.023978,0.023979,-0.002,0.01968,0.01964,117.8
1.7201,0.024370,0.024371,-0.001,0.01962,0.01960,117.6
1.7401,0.024761,0.024767,-0.006,0.01959,0.01941,116.4
1.7601,0.025149,0.025160,-0.010,0.01943,0.01912,114.7
1.7802,0.025539,0.025543,-0.005,0.01946,0.01936,116.2
1.8001,0.025921,0.025928,-0.007,0.01920,0.01899,113.9
1.8201,0.026304,0.026312,-0.008,0.01916,0.01893,113.6
1.8401,0.026685,0.026695,-0.010,0.01906,0.01877,112.6
1.8601,0.027063,0.027074,-0.011,0.01895,0.01864,111.8
1.8801,0.027439,0.027448,-0.009,0.01881,0.01858,111.5
1.9001,0.027812,0.027822,-0.010,0.01870,0.01841,110.5
1.9201,0.028182,0.028188,-0.007,0.01852,0.01836,110.2
1.9402,0.028552,0.028554,-0.003,0.01850,0.01845,110.7
1.9602,0.028915,0.028921,-0.006,0.01824,0.01806,108.3
1.9801,0.029274,0.029290,-0.017,0.01798,0.01744,104.6
2.0001,0.029631,0.029650,-0.019,0.01789,0.01734,104.0
2.0201,0.029985,0.029997,-0.012,0.01774,0.01745,104.7
2.0401,0.030334,0.030342,-0.007,0.01753,0.01736,104.1
2.0601,0.030681,0.030694,-0.013,0.01737,0.01698,101.9
2.0801,0.031023,0.031038,-0.015,0.01715,0.01670,100.2
2.1001,0.031361,0.031374,-0.013,0.01697,0.01663,99.8
2.1201,0.031695,0.031711,-0.016,0.01675,0.01629,97.8
2.1401,0.032025,0.032042,-0.017,0.01655,0.01608,96.5
2.1601,0.032350,0.032364,-0.014,0.01628,0.01589,95.3
2.1801,0.032669,0.032687,-0.017,0.01605,0.01556,93.4
2.2001,0.032985,0.033001,-0.016,0.01583,0.01540,92.4
2.2201,0.033295,0.033310,-0.015,0.01558,0.01518,91.1
2.2401,0.033601,0.033619,-0.018,0.01532,0.01479,88.7
2.2601,0.033900,0.033917,-0.016,0.01506,0.01462,87.7
2.2801,0.034195,0.034211,-0.016,0.01480,0.01434,86.1
2.3001,0.034484,0.034504,-0.020,0.01452,0.01395,83.7
2.3201,0.034768,0.034790,-0.022,0.01427,0.01364,81.8
2.3401,0.035045,0.035069,-0.024,0.01392,0.01322,79.3
2.3601,0.035317,0.035339,-0.022,0.01367,0.01308,78.5
2.3801,0.035583,0.035603,-0.021,0.01336,0.01279,76.7
2.4001,0.035841,0.035860,-0.018,0.01301,0.01251,75.0
2.4201,0.036094,0.036117,-0.023,0.01271,0.01204,72.2
2.4401,0.036340,0.036358,-0.018,0.01239,0.01191,71.5
2.4601,0.036580,0.036603,-0.024,0.01206,0.01136,68.2
2.4801,0.036812,0.036835,-0.023,0.01171,0.01108,66.5
2.5001,0.037038,0.037062,-0.024,0.01138,0.01071,64.3
2.5200,0.037256,0.037277,-0.021,0.01100,0.01042,62.5
2.5401,0.037468,0.037490,-0.022,0.01067,0.01005,60.3
2.5601,0.037672,0.037700,-0.028,0.01031,0.00951,57.0
2.5801,0.037868,0.037894,-0.026,0.00990,0.00919,55.1
2.6001,0.038057,0.038082,-0.025,0.00954,0.00884,53.1
2.6201,0.038238,0.038262,-0.024,0.00914,0.00847,50.8
2.6401,0.038411,0.038437,-0.025,0.00877,0.00805,48.3
2.6600,0.038576,0.038609,-0.034,0.00832,0.00732,43.9
2.6801,0.038732,0.038764,-0.032,0.00793,0.00704,42.3
2.7001,0.038881,0.038905,-0.025,0.00752,0.00687,41.2
2.7200,0.039020,0.039046,-0.026,0.00708,0.00634,38.0
2.7401,0.039151,0.039179,-0.027,0.00667,0.00590,35.4
2.7601,0.039273,0.039302,-0.029,0.00621,0.00541,32.4
2.7801,0.039387,0.039419,-0.033,0.00577,0.00483,29.0
2.8001,0.039491,0.039523,-0.033,0.00532,0.00441,26.5
2.8201,0.039586,0.039619,-0.033,0.00487,0.00393,23.6
2.8401,0.039671,0.039701,-0.030,0.00439,0.00358,21.5
2.8601,0.039747,0.039778,-0.030,0.00392,0.00306,18.4
2.8801,0.039813,0.039843,-0.029,0.00343,0.00262,15.7
2.9001,0.039870,0.039903,-0.033,0.00295,0.00199,12.0
2.9202,0.039917,0.039951,-0.035,0.00246,0.00147,8.8
2.9401,0.039953,0.039986,-0.033,0.00194,0.00101,6.1
2.9601,0.039979,0.040014,-0.035,0.00144,0.00043,2.6
2.9801,0.039995,0.040034,-0.040,0.00092,-0.00021,-1.3
3.0001,0.040000,0.040042,-0.042,0.00039,-0.00080,-4.8
3.0202,0.040000,0.040040,-0.040,0.00008,-0.00104,-6.2
3.0401,0.040000,0.040037,-0.037,0.00002,-0.00100,-6.0
3.0601,0.040000,0.040030,-0.030,0.00000,-0.00080,-4.8
3.0801,0.040000,0.040021,-0.021,0.00000,-0.00053,-3.2
3.1001,0.040000,0.040014,-0.014,0.00000,0.00000,0.0
3.1201,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.1401,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.1602,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.1802,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.2002,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.2202,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.2401,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.2601,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.2802,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.3002,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.3202,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.3402,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.3602,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.3803,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.4001,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.4201,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.4401,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.4601,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.4801,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.5001,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.5202,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.5401,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.5601,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.5801,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.6001,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.6201,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.6401,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.6601,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.6801,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.7001,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.7201,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.7401,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.7601,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.7801,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.8001,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.8201,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.8401,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.8602,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.8802,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.9002,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.9202,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.9402,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
3.9602,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
3.9802,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
4.0002,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
4.0202,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
4.0402,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
4.0602,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
4.0802,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
4.1002,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
4.1202,0.040000,0.040013,-0.013,0.00000,0.00000,0.0
4.1402,0.040000,0.040012,-0.012,0.00000,0.00000,0.0
