t_s,x_tgt_m,x_meas_m,err_mm,v_ff_m_s,a_ff,v_cmd_m_s,a_cmd
0.0000,0.000000,-0.000000,0.000,0.00000,0.05280,0.00000,0.00000
0.0201,0.000011,-0.000000,0.011,0.00105,0.05195,0.00153,0.07659
0.0401,0.000042,0.000004,0.038,0.00208,0.05111,0.00369,0.10813
0.0601,0.000094,0.000022,0.072,0.00310,0.05026,0.00591,0.11096
0.0801,0.000166,0.000100,0.066,0.00409,0.04942,0.00626,0.01748
0.1001,0.000257,0.000217,0.040,0.00507,0.04857,0.00615,-0.00559
0.1201,0.000368,0.000346,0.023,0.00604,0.04773,0.00661,0.02283
0.1401,0.000499,0.000468,0.031,0.00698,0.04688,0.00811,0.07525
0.1601,0.000648,0.000599,0.049,0.00791,0.04604,0.00977,0.08267
0.1801,0.000815,0.000768,0.047,0.00882,0.04519,0.01040,0.03188
0.2001,0.001000,0.000966,0.035,0.00972,0.04435,0.01076,0.01767
0.2201,0.001204,0.001174,0.030,0.01060,0.04350,0.01155,0.03970
0.2401,0.001424,0.001397,0.027,0.01146,0.04266,0.01236,0.04026
0.2601,0.001662,0.001631,0.031,0.01230,0.04181,0.01341,0.05244
0.2801,0.001916,0.001883,0.033,0.01313,0.04097,0.01428,0.04385
0.3001,0.002188,0.002155,0.033,0.01394,0.04012,0.01506,0.03900
0.3201,0.002474,0.002448,0.026,0.01474,0.03928,0.01553,0.02323
0.3401,0.002776,0.002746,0.030,0.01551,0.03843,0.01658,0.05267
0.3601,0.003094,0.003059,0.036,0.01627,0.03759,0.01755,0.04831
0.3801,0.003427,0.003398,0.029,0.01702,0.03675,0.01793,0.01939
0.4001,0.003775,0.003750,0.024,0.01774,0.03590,0.01852,0.02931
0.4201,0.004137,0.004114,0.023,0.01845,0.03506,0.01922,0.03477
0.4401,0.004513,0.004489,0.024,0.01915,0.03421,0.01996,0.03739
0.4601,0.004902,0.004874,0.028,0.01982,0.03337,0.02083,0.04356
0.4801,0.005305,0.005276,0.029,0.02048,0.03252,0.02147,0.03190
0.5001,0.005722,0.005699,0.022,0.02112,0.03168,0.02181,0.01684
0.5201,0.006151,0.006132,0.019,0.02175,0.03083,0.02234,0.02676
0.5401,0.006592,0.006572,0.020,0.02236,0.02999,0.02306,0.03569
0.5601,0.007045,0.007021,0.024,0.02295,0.02914,0.02382,0.03782
0.5801,0.007510,0.007486,0.023,0.02352,0.02830,0.02431,0.02467
0.6001,0.007985,0.007967,0.019,0.02408,0.02745,0.02466,0.01770
0.6201,0.008472,0.008458,0.015,0.02462,0.02661,0.02508,0.02083
0.6401,0.008970,0.008949,0.021,0.02514,0.02576,0.02593,0.04236
0.6601,0.009478,0.009455,0.023,0.02565,0.02492,0.02647,0.02738
0.6801,0.009996,0.009979,0.017,0.02614,0.02407,0.02664,0.00839
0.7001,0.010524,0.010512,0.012,0.02661,0.02323,0.02695,0.01526
0.7201,0.011060,0.011045,0.016,0.02707,0.02238,0.02764,0.03473
0.7401,0.011606,0.011588,0.018,0.02751,0.02154,0.02815,0.02553
0.7601,0.012161,0.012146,0.015,0.02793,0.02069,0.02842,0.01321
0.7801,0.012724,0.012709,0.015,0.02834,0.01985,0.02885,0.02151
0.8001,0.013294,0.013278,0.016,0.02872,0.01900,0.02926,0.02065
0.8201,0.013872,0.013858,0.014,0.02910,0.01816,0.02957,0.01559
0.8401,0.014458,0.014447,0.010,0.02945,0.01731,0.02976,0.00919
0.8601,0.015050,0.015037,0.013,0.02979,0.01647,0.03026,0.02544
0.8801,0.015650,0.015635,0.015,0.03011,0.01562,0.03063,0.01824
0.9001,0.016254,0.016246,0.008,0.03041,0.01478,0.03063,-0.00018
0.9201,0.016865,0.016859,0.006,0.03070,0.01394,0.03088,0.01273
0.9401,0.017482,0.017475,0.007,0.03097,0.01309,0.03122,0.01683
0.9601,0.018104,0.018093,0.011,0.03122,0.01225,0.03164,0.02134
0.9801,0.018731,0.018717,0.014,0.03146,0.01140,0.03197,0.01624
1.0001,0.019362,0.019354,0.008,0.03168,0.01056,0.03191,-0.00300
1.0201,0.019998,0.019995,0.003,0.03188,0.00971,0.03192,0.00072
1.0401,0.020638,0.020631,0.007,0.03207,0.00887,0.03236,0.02168
1.0601,0.021281,0.021273,0.008,0.03224,0.00802,0.03254,0.00902
1.0801,0.021927,0.021920,0.007,0.03239,0.00718,0.03261,0.00392
1.1001,0.022576,0.022573,0.003,0.03253,0.00633,0.03261,-0.00047
1.1201,0.023228,0.023225,0.004,0.03264,0.00549,0.03277,0.00837
1.1401,0.023882,0.023879,0.003,0.03274,0.00464,0.03282,0.00230
1.1601,0.024538,0.024537,0.001,0.03283,0.00380,0.03284,0.00094
1.1802,0.025198,0.025192,0.006,0.03290,0.00295,0.03316,0.01591
1.2001,0.025853,0.025851,0.002,0.03295,0.00211,0.03298,-0.00867
1.2201,0.026512,0.026515,-0.003,0.03298,0.00126,0.03282,-0.00807
1.2401,0.027173,0.027173,0.000,0.03300,0.00042,0.03303,0.01059
1.2601,0.027833,0.027830,0.003,0.03300,-0.00043,0.03313,0.00494
1.2801,0.028493,0.028494,-0.001,0.03298,-0.00127,0.03289,-0.01188
1.3001,0.029152,0.029153,-0.001,0.03295,-0.00212,0.03291,0.00074
1.3202,0.029813,0.029810,0.004,0.03290,-0.00296,0.03307,0.00825
1.3401,0.030467,0.030470,-0.003,0.03283,-0.00380,0.03267,-0.02031
1.3601,0.031123,0.031125,-0.002,0.03274,-0.00465,0.03270,0.00183
1.3802,0.031780,0.031779,0.001,0.03264,-0.00550,0.03270,-0.00007
1.4001,0.032429,0.032434,-0.006,0.03252,-0.00634,0.03225,-0.02248
1.4201,0.033077,0.033084,-0.007,0.03239,-0.00718,0.03215,-0.00522
1.4402,0.033727,0.033728,-0.001,0.03224,-0.00803,0.03226,0.00570
1.4601,0.034367,0.034375,-0.008,0.03207,-0.00887,0.03172,-0.02720
1.4801,0.035007,0.035018,-0.011,0.03188,-0.00972,0.03149,-0.01162
1.5001,0.035644,0.035648,-0.004,0.03168,-0.01057,0.03162,0.00652
1.5201,0.036274,0.036281,-0.007,0.03146,-0.01141,0.03119,-0.02150
1.5401,0.036901,0.036910,-0.009,0.03122,-0.01225,0.03088,-0.01534
1.5601,0.037522,0.037534,-0.012,0.03097,-0.01310,0.03055,-0.01625
1.5801,0.038139,0.038149,-0.010,0.03070,-0.01394,0.03038,-0.00879
1.6001,0.038750,0.038757,-0.006,0.03041,-0.01479,0.03023,-0.00740
1.6201,0.039356,0.039363,-0.007,0.03011,-0.01563,0.02985,-0.01912
1.6401,0.039954,0.039965,-0.011,0.02979,-0.01648,0.02938,-0.02328
1.6601,0.040547,0.040560,-0.013,0.02945,-0.01732,0.02896,-0.02112
1.6801,0.041132,0.041142,-0.011,0.02909,-0.01817,0.02877,-0.00968
1.7001,0.041710,0.041723,-0.013,0.02872,-0.01901,0.02827,-0.02468
1.7201,0.042281,0.042298,-0.017,0.02833,-0.01986,0.02772,-0.02785
1.7401,0.042843,0.042859,-0.016,0.02793,-0.02070,0.02739,-0.01649
1.7601,0.043398,0.043413,-0.015,0.02751,-0.02155,0.02700,-0.01949
1.7801,0.043944,0.043956,-0.012,0.02707,-0.02239,0.02669,-0.01509
1.8001,0.044481,0.044495,-0.014,0.02661,-0.02323,0.02609,-0.03002
1.8201,0.045008,0.045025,-0.017,0.02614,-0.02408,0.02554,-0.02768
1.8401,0.045528,0.045546,-0.018,0.02564,-0.02493,0.02501,-0.02641
1.8601,0.046034,0.046052,-0.018,0.02514,-0.02577,0.02451,-0.02527
1.8801,0.046532,0.046551,-0.019,0.02462,-0.02661,0.02397,-0.02708
1.9001,0.047019,0.047036,-0.017,0.02407,-0.02746,0.02352,-0.02249
1.9201,0.047494,0.047515,-0.021,0.02352,-0.02830,0.02275,-0.03806
1.9401,0.047959,0.047982,-0.023,0.02294,-0.02915,0.02212,-0.03160
1.9601,0.048412,0.048438,-0.026,0.02235,-0.02999,0.02143,-0.03466
1.9801,0.048853,0.048875,-0.022,0.02174,-0.03084,0.02103,-0.01999
2.0001,0.049281,0.049301,-0.020,0.02112,-0.03168,0.02046,-0.02841
2.0201,0.049697,0.049720,-0.022,0.02048,-0.03253,0.01969,-0.03873
2.0401,0.050101,0.050126,-0.025,0.01982,-0.03337,0.01892,-0.03831
2.0601,0.050490,0.050518,-0.029,0.01914,-0.03422,0.01814,-0.03918
2.0801,0.050866,0.050892,-0.026,0.01845,-0.03506,0.01760,-0.02709
2.1001,0.051228,0.051249,-0.021,0.01774,-0.03591,0.01706,-0.02665
2.1201,0.051575,0.051601,-0.026,0.01701,-0.03675,0.01609,-0.04859
2.1401,0.051908,0.051937,-0.029,0.01627,-0.03760,0.01525,-0.04191
2.1601,0.052226,0.052257,-0.031,0.01551,-0.03844,0.01445,-0.04034
2.1801,0.052528,0.052560,-0.032,0.01473,-0.03929,0.01364,-0.04052
2.2001,0.052815,0.052844,-0.029,0.01394,-0.04013,0.01300,-0.03197
2.2201,0.053086,0.053109,-0.024,0.01313,-0.04098,0.01238,-0.03103
2.2401,0.053340,0.053371,-0.031,0.01230,-0.04182,0.01116,-0.06053
2.2601,0.053578,0.053609,-0.031,0.01145,-0.04267,0.01040,-0.03829
2.2801,0.053798,0.053832,-0.034,0.01059,-0.04351,0.00942,-0.04901
2.3001,0.054001,0.054031,-0.030,0.00971,-0.04436,0.00872,-0.03508
2.3201,0.054186,0.054219,-0.033,0.00882,-0.04520,0.00768,-0.05196
2.3401,0.054354,0.054388,-0.034,0.00790,-0.04604,0.00674,-0.04703
2.3601,0.054502,0.054533,-0.030,0.00697,-0.04689,0.00599,-0.03755
2.3801,0.054633,0.054662,-0.029,0.00603,-0.04774,0.00506,-0.04645
2.4001,0.054743,0.054776,-0.032,0.00507,-0.04858,0.00393,-0.05633
2.4201,0.054835,0.054868,-0.033,0.00408,-0.04942,0.00295,-0.04899
2.4401,0.054907,0.054944,-0.037,0.00309,-0.05027,0.00178,-0.05839
2.4601,0.054958,0.054998,-0.039,0.00207,-0.05111,0.00072,-0.05318
2.4801,0.054990,0.055025,-0.035,0.00104,-0.05196,-0.00012,-0.04203
2.5001,0.055000,0.055033,-0.033,0.00000,0.00000,-0.00107,-0.04759
2.5201,0.055000,0.055030,-0.030,0.00000,0.00000,-0.00097,0.00509
2.5402,0.055000,0.055023,-0.023,0.00000,0.00000,-0.00070,0.01347
2.5601,0.055000,0.055015,-0.015,0.00000,0.00000,0.00000,0.03509
2.5801,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.6002,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.6202,0.055000,0.055011,-0.011,0.00000,0.00000,0.00000,0.00000
2.6402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.6601,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.6802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.7002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.7202,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.7402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.7602,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.7802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.8002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.8202,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.8402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.8602,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.8802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.9002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.9202,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.9402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.9602,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.9802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.0002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.0202,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.0402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.0602,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.0802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.1002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.1202,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.1402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.1602,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.1802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.2002,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.2202,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.2402,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.2602,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
3.2802,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
