t_s,x_tgt_m,x_meas_m,err_mm,v_ff_m_s,a_ff,v_cmd_m_s,a_cmd
0.0000,0.000000,0.000258,-0.258,0.00000,0.05280,-0.00009,0.00000
0.0201,0.000011,0.000258,-0.247,0.00105,0.05195,-0.00006,0.00000
0.0401,0.000042,0.000257,-0.215,0.00208,0.05111,-0.00004,0.00000
0.0601,0.000094,0.000257,-0.163,0.00310,0.05026,-0.00002,0.00000
0.0801,0.000166,0.000257,-0.091,0.00409,0.04942,0.00173,0.08746
0.1001,0.000257,0.000261,-0.003,0.00507,0.04857,0.00610,0.21812
0.1201,0.000369,0.000283,0.085,0.00604,0.04773,0.01027,0.20851
0.1401,0.000499,0.000405,0.094,0.00698,0.04688,0.01046,0.00976
0.1601,0.000648,0.000607,0.041,0.00791,0.04604,0.00869,-0.08832
0.1801,0.000815,0.000807,0.009,0.00882,0.04519,0.00872,0.00103
0.2001,0.001001,0.000978,0.023,0.00972,0.04435,0.01072,0.10031
0.2201,0.001204,0.001152,0.051,0.01060,0.04350,0.01282,0.10473
0.2401,0.001424,0.001371,0.054,0.01146,0.04266,0.01342,0.03042
0.2601,0.001662,0.001630,0.032,0.01230,0.04181,0.01320,-0.01148
0.2801,0.001916,0.001897,0.019,0.01313,0.04097,0.01364,0.02213
0.3001,0.002187,0.002166,0.021,0.01394,0.04012,0.01475,0.05560
0.3201,0.002474,0.002439,0.035,0.01474,0.03928,0.01616,0.07061
0.3401,0.002776,0.002736,0.040,0.01551,0.03844,0.01704,0.04375
0.3601,0.003094,0.003068,0.026,0.01627,0.03759,0.01700,-0.00162
0.3801,0.003427,0.003408,0.019,0.01702,0.03675,0.01760,0.02952
0.4001,0.003775,0.003748,0.026,0.01774,0.03590,0.01878,0.05921
0.4201,0.004137,0.004110,0.027,0.01845,0.03506,0.01943,0.03271
0.4401,0.004513,0.004488,0.024,0.01915,0.03421,0.01999,0.02776
0.4601,0.004902,0.004880,0.022,0.01982,0.03337,0.02058,0.02947
0.4801,0.005306,0.005284,0.022,0.02048,0.03252,0.02129,0.03554
0.5001,0.005722,0.005700,0.022,0.02112,0.03168,0.02193,0.03209
0.5201,0.006150,0.006130,0.020,0.02175,0.03083,0.02245,0.02606
0.5401,0.006592,0.006572,0.020,0.02236,0.02999,0.02309,0.03177
0.5601,0.007044,0.007026,0.018,0.02295,0.02914,0.02357,0.02399
0.5801,0.007509,0.007493,0.016,0.02352,0.02830,0.02409,0.02614
0.6001,0.007985,0.007966,0.019,0.02408,0.02745,0.02481,0.03594
0.6201,0.008473,0.008453,0.020,0.02462,0.02661,0.02535,0.02685
0.6401,0.008970,0.008952,0.019,0.02514,0.02576,0.02580,0.02257
0.6601,0.009478,0.009462,0.017,0.02565,0.02492,0.02623,0.02155
0.6801,0.009996,0.009981,0.014,0.02614,0.02407,0.02662,0.01958
0.7001,0.010523,0.010507,0.015,0.02661,0.02323,0.02718,0.02822
0.7201,0.011060,0.011044,0.016,0.02707,0.02238,0.02763,0.02239
0.7401,0.011606,0.011590,0.016,0.02751,0.02154,0.02810,0.02319
0.7601,0.012160,0.012148,0.012,0.02793,0.02069,0.02832,0.01119
0.7801,0.012723,0.012710,0.012,0.02834,0.01985,0.02878,0.02282
0.8001,0.013294,0.013279,0.015,0.02872,0.01900,0.02928,0.02508
0.8201,0.013872,0.013859,0.013,0.02910,0.01816,0.02953,0.01280
0.8402,0.014461,0.014446,0.015,0.02945,0.01731,0.03005,0.02562
0.8601,0.015049,0.015041,0.009,0.02979,0.01647,0.03001,-0.00184
0.8801,0.015650,0.015639,0.010,0.03011,0.01562,0.03051,0.02505
0.9001,0.016254,0.016242,0.012,0.03041,0.01478,0.03087,0.01803
0.9201,0.016866,0.016854,0.012,0.03070,0.01394,0.03114,0.01326
0.9401,0.017482,0.017471,0.010,0.03097,0.01309,0.03132,0.00932
0.9601,0.018104,0.018099,0.005,0.03122,0.01225,0.03133,0.00016
0.9802,0.018735,0.018723,0.011,0.03146,0.01140,0.03195,0.03121
1.0001,0.019362,0.019353,0.009,0.03168,0.01056,0.03199,0.00211
1.0201,0.019999,0.019996,0.003,0.03188,0.00971,0.03190,-0.00450
1.0401,0.020638,0.020633,0.004,0.03207,0.00887,0.03224,0.01674
1.0601,0.021281,0.021273,0.008,0.03224,0.00802,0.03259,0.01782
1.0801,0.021928,0.021918,0.010,0.03239,0.00718,0.03275,0.00781
1.1001,0.022576,0.022572,0.004,0.03253,0.00633,0.03262,-0.00657
1.1201,0.023228,0.023227,0.002,0.03264,0.00549,0.03268,0.00286
1.1401,0.023882,0.023879,0.003,0.03274,0.00464,0.03286,0.00930
1.1601,0.024537,0.024532,0.005,0.03283,0.00380,0.03302,0.00813
1.1801,0.025195,0.025193,0.002,0.03290,0.00295,0.03293,-0.00452
1.2001,0.025853,0.025851,0.002,0.03295,0.00211,0.03300,0.00335
1.2201,0.026513,0.026510,0.003,0.03298,0.00126,0.03312,0.00579
1.2401,0.027173,0.027173,-0.000,0.03300,0.00042,0.03295,-0.00811
1.2601,0.027833,0.027834,-0.001,0.03300,-0.00043,0.03294,-0.00077
1.2802,0.028496,0.028494,0.002,0.03298,-0.00128,0.03309,0.00775
1.3001,0.029152,0.029156,-0.004,0.03295,-0.00212,0.03272,-0.01889
1.3201,0.029810,0.029817,-0.007,0.03290,-0.00296,0.03260,-0.00596
1.3401,0.030468,0.030469,-0.001,0.03283,-0.00381,0.03286,0.01309
1.3601,0.031124,0.031125,-0.001,0.03274,-0.00465,0.03274,-0.00613
1.3801,0.031778,0.031782,-0.004,0.03264,-0.00550,0.03247,-0.01349
1.4001,0.032430,0.032431,-0.002,0.03252,-0.00634,0.03248,0.00049
1.4202,0.033082,0.033084,-0.002,0.03239,-0.00719,0.03231,-0.00804
1.4401,0.033726,0.033732,-0.006,0.03224,-0.00803,0.03195,-0.01818
1.4601,0.034368,0.034377,-0.009,0.03207,-0.00887,0.03172,-0.01144
1.4801,0.035007,0.035017,-0.010,0.03188,-0.00972,0.03150,-0.01130
1.5001,0.035642,0.035647,-0.005,0.03168,-0.01056,0.03157,0.00375
1.5201,0.036273,0.036277,-0.004,0.03146,-0.01141,0.03133,-0.01188
1.5401,0.036901,0.036906,-0.005,0.03122,-0.01225,0.03104,-0.01472
1.5601,0.037523,0.037532,-0.009,0.03097,-0.01310,0.03061,-0.02140
1.5801,0.038139,0.038151,-0.012,0.03070,-0.01394,0.03021,-0.02013
1.6001,0.038750,0.038760,-0.010,0.03041,-0.01479,0.03007,-0.00677
1.6201,0.039356,0.039362,-0.006,0.03011,-0.01563,0.02996,-0.00575
1.6401,0.039954,0.039963,-0.008,0.02979,-0.01648,0.02945,-0.02552
1.6601,0.040548,0.040561,-0.013,0.02945,-0.01732,0.02893,-0.02612
1.6801,0.041132,0.041149,-0.017,0.02909,-0.01817,0.02845,-0.02380
1.7001,0.041710,0.041727,-0.016,0.02872,-0.01901,0.02814,-0.01545
1.7201,0.042282,0.042293,-0.011,0.02833,-0.01986,0.02798,-0.00785
1.7401,0.042844,0.042855,-0.010,0.02793,-0.02070,0.02757,-0.02064
1.7601,0.043399,0.043414,-0.015,0.02750,-0.02155,0.02691,-0.03305
1.7801,0.043944,0.043960,-0.016,0.02707,-0.02239,0.02650,-0.02068
1.8001,0.044481,0.044493,-0.012,0.02661,-0.02324,0.02622,-0.01403
1.8201,0.045009,0.045023,-0.014,0.02614,-0.02408,0.02561,-0.03046
1.8401,0.045527,0.045544,-0.017,0.02565,-0.02493,0.02497,-0.03157
1.8601,0.046034,0.046054,-0.020,0.02514,-0.02577,0.02437,-0.03044
1.8801,0.046531,0.046549,-0.018,0.02462,-0.02661,0.02401,-0.01773
1.9001,0.047019,0.047034,-0.015,0.02407,-0.02746,0.02357,-0.02204
1.9201,0.047494,0.047512,-0.018,0.02352,-0.02830,0.02284,-0.03649
1.9401,0.047959,0.047978,-0.019,0.02294,-0.02915,0.02225,-0.02957
1.9601,0.048412,0.048431,-0.020,0.02235,-0.02999,0.02164,-0.03056
1.9801,0.048853,0.048871,-0.018,0.02174,-0.03084,0.02113,-0.02519
2.0001,0.049282,0.049303,-0.021,0.02112,-0.03168,0.02032,-0.04071
2.0201,0.049697,0.049722,-0.025,0.02048,-0.03253,0.01953,-0.03960
2.0401,0.050100,0.050127,-0.026,0.01982,-0.03337,0.01884,-0.03429
2.0601,0.050490,0.050512,-0.022,0.01914,-0.03422,0.01841,-0.02182
