Log file created at: 2023/07/20 09:11:41
Running on machine: passoni
Running duration (h:mm:ss): 0:00:00
Log line format: [IWEF]yyyymmdd hh:mm:ss.uuuuuu threadid file:line] msg
[I20230720 09:11:41.967425  2604 DeviceManager.cpp:54] DeviceManager init ...
[I20230720 09:11:41.967743  2604 LinuxPal.cpp:21] createObPal: create LinuxPal!
[I20230720 09:11:42.058300  2604 EnumeratorLibusb.cpp:325] queryDevicesInfo done!
[I20230720 09:11:42.058956  2604 DeviceManager.cpp:373] Current usb device port list::
[I20230720 09:11:42.059036  2604 DeviceManager.cpp:375]         - 3-2.2-8.0 | Orbbec(R) Astra(TM) 3D Camera(F) Depth
[I20230720 09:11:42.059082  2604 DeviceManager.cpp:375]         - 3-2.1-7.0 | USB Camera
[W20230720 09:11:42.059146  2604 OpenNIDeviceInfo.cpp:172] New openni device matched.
[I20230720 09:11:42.059242  2604 DeviceManager.cpp:345] Devices matched:
[I20230720 09:11:42.059278  2604 DeviceManager.cpp:359]   - openniDevice = 1
[I20230720 09:11:42.059387  2604 LinuxPal.cpp:142] Create PollingDeviceWatcher!
[I20230720 09:11:42.059439  2604 DeviceManager.cpp:99] DeviceManager init  done!
[I20230720 09:11:42.059476  2604 DeviceManager.cpp:50] DeviceManager construct done
[I20230720 09:11:42.059526  2604 Context.cpp:51] Context created!
[I20230720 09:11:42.060118  2604 DeviceManager.cpp:211] DeviceManager  createDevice...
[I20230720 09:11:42.061861  2604 OpenNIHostProtocol.cpp:487] Hardware versions: FW=5.8.23(14),HW=0, Chip=7,Sensor=0,SYS=12
[E20230720 09:11:42.062348  2604 OpenNIHostProtocol.cpp:502] Get usb core type failed!
[I20230720 09:11:42.062429  2604 OpenNIHostProtocol.cpp:574] Requesting KeepAlive...
[I20230720 09:11:42.062922  2604 OpenNIHostProtocol.cpp:581] Got KeepAlive Reply.
[I20230720 09:11:42.064451  2604 OpenNIHostProtocol.cpp:574] Requesting KeepAlive...
[I20230720 09:11:42.064905  2604 OpenNIHostProtocol.cpp:581] Got KeepAlive Reply.
[I20230720 09:11:42.064958  2604 OpenNIHostProtocol.cpp:596] Getting the fixed params...
[I20230720 09:11:42.065436  2604 OpenNIHostProtocol.cpp:633] Reading sensor serial number...
[I20230720 09:11:42.065866  2604 OpenNISensorFirmware.cpp:892] Sensor serial number:AY2B43100A7
[I20230720 09:11:42.066242  2604 OpenNIHostProtocol.cpp:702] Reading sensor platform string...
[I20230720 09:11:42.066605  2604 OpenNISensorFirmware.cpp:920] Firmware version RD3013
[I20230720 09:11:42.067113  2604 OpenNISensorFirmware.cpp:926] Device frequency 50
